Symbol,Idol Invested On,Idol Close Price on Invest,Idol Exit On,Idol Close Price on Exit,Idol Investment,Idol No of Shares,Idol Returns,Actual Invested On,Actual Close Price on Invest,Actual Exit On,Actual Close Price on Exit,Actual Investment,Actual No of Shares,Actual Returns,Actual Total Investment,Unsold Shares,Remained Amount
LMT,2021-09-07,349.20001220703125,2022-06-02,438.8299865722656,99871.20349121094,286,25634.17266845703,[],[],[],[],[],[],0.0,0.0,0,0
XOM,2021-09-03,54.869998931884766,2022-06-02,97.56500244140624,99973.13805389404,1822,77790.29639434812,[],[],[],[],[],[],0.0,0.0,0,0
CRM,2021-09-07,265.2099914550781,2022-06-02,187.759994506836,99984.16677856445,377,-29198.64884948729,"['2021-09-07', '2021-09-08', '2021-09-09', '2021-09-10', '2021-09-13', '2021-09-14', '2021-09-15', '2021-09-16', '2021-09-17', '2021-09-20', '2021-09-21', '2021-09-22', '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-13', '2022-01-14', '2022-01-18', '2022-01-19', '2022-01-20', '2022-01-21', '2022-01-24', '2022-01-25', '2022-01-26', '2022-01-27', '2022-01-28', '2022-02-02', '2022-02-03', '2022-02-04', '2022-02-07', '2022-02-08', '2022-02-09', '2022-02-10', '2022-02-11', '2022-02-14', '2022-02-15', '2022-02-16', '2022-02-17', '2022-02-18', '2022-02-22', '2022-02-23', '2022-02-24', '2022-02-25', '2022-02-28', '2022-03-01', '2022-03-02', '2022-03-03', '2022-03-04', '2022-03-07', '2022-03-08', '2022-03-09', '2022-03-10', '2022-03-11', '2022-03-14', '2022-03-15', '2022-03-16', '2022-03-17', '2022-03-18', '2022-03-21', '2022-03-22', '2022-03-23', '2022-03-24', '2022-03-25', '2022-03-28', '2022-03-29', '2022-03-30', '2022-03-31', '2022-04-01', '2022-04-05', '2022-04-06', '2022-04-07', '2022-04-08', '2022-04-11', '2022-04-12', '2022-04-13', '2022-04-14', '2022-04-18', '2022-04-19', '2022-04-20', '2022-04-21', '2022-04-22', '2022-04-25', '2022-04-26', '2022-04-27', '2022-04-28', '2022-04-29', '2022-05-02', '2022-05-03', '2022-05-04', '2022-05-05', '2022-05-06', '2022-05-09', '2022-05-10', '2022-05-11', '2022-05-12', '2022-05-13', '2022-05-16', '2022-05-17', '2022-05-18', '2022-05-19', '2022-05-20', '2022-05-23', '2022-05-24', '2022-05-25', '2022-05-26', '2022-06-02']","[265.2099914550781, 262.6199951171875, 260.739990234375, 257.20001220703125, 254.1100006103516, 254.3699951171875, 256.1600036621094, 260.3599853515625, 260.5299987792969, 258.2200012207031, 257.9700012207031, 259.1700134277344, 227.6699981689453, 229.1499938964844, 228.3099975585937, 228.6300048828125, 231.22999572753903, 226.0599975585937, 226.2700042724609, 222.94000244140625, 218.6300048828125, 223.02999877929688, 215.38999938964844, 211.0, 212.7400054931641, 222.1300048828125, 225.009994506836, 212.7700042724609, 219.22999572753903, 216.97000122070312, 217.42999267578125, 222.0399932861328, 217.6699981689453, 207.8999938964844, 206.3999938964844, 214.25, 211.7400054931641, 200.02999877929688, 196.83999633789065, 195.1300048828125, 190.5399932861328, 204.2899932861328, 208.08999633789065, 210.52999877929688, 208.88999938964844, 210.38999938964844, 204.75, 203.009994506836, 196.22999572753903, 192.0800018310547, 203.1600036621093, 200.1499938964844, 197.8999938964844, 193.1199951171875, 196.13999938964844, 205.57000732421875, 210.4100036621093, 218.8000030517578, 213.72000122070312, 218.2100067138672, 211.1100006103516, 213.97999572753903, 211.02999877929688, 215.27999877929688, 221.2899932861328, 214.94000244140625, 212.32000732421875, 212.25, 210.13999938964844, 200.82000732421875, 200.1600036621093, 197.1699981689453, 195.4499969482422, 194.8099975585937, 195.72000122070312, 189.4100036621093, 187.009994506836, 191.38999938964844, 186.22999572753903, 177.22999572753906, 171.42999267578125, 174.57000732421875, 170.0800018310547, 174.67999267578125, 185.7400054931641, 175.94000244140625, 177.57000732421875, 178.36000061035156, 185.47999572753903, 172.3000030517578, 169.6999969482422, 163.60000610351562, 167.14999389648438, 161.27000427246094, 160.4199981689453, 166.91000366210938, 164.1199951171875, 163.72999572753906, 157.3300018310547, 157.30999755859375, 159.64999389648438, 160.32000732421875, 156.92999267578125, 159.64999389648438, 162.4600067138672, 187.759994506836]",[],[],"[99984.16677856445, 99795.59814453125, 99863.41625976562, 99793.60473632812, 99865.23023986818, 99967.40808105469, 99902.40142822266, 99978.234375, 99782.9895324707, 99931.14047241211, 99834.39047241211, 99780.45516967773, 99947.12919616699, 99909.3973388672, 99999.77893066403, 99911.31213378906, 99891.35815429686, 99918.51892089841, 99785.07188415526, 99877.12109375, 99913.91223144531, 99917.439453125, 99940.95971679688, 99803.0, 99987.80258178712, 99958.50219726562, 99904.43756103519, 99789.13200378417, 99968.8780517578, 99806.20056152344, 99800.3666381836, 99917.99697875977, 99910.5291595459, 99999.897064209, 99897.59704589845, 99840.5, 99941.28259277345, 99814.96939086914, 99994.71813964845, 99906.5625, 99842.9564819336, 99897.80671691895, 99883.19824218751, 99791.21942138672, 99849.41970825195, 99935.24971008301, 99918.0, 99880.91729736331, 99881.06782531737, 99881.60095214844, 99954.72180175777, 99874.84695434572, 99939.49691772462, 99843.03747558594, 99835.25968933105, 99907.02355957031, 99944.75173950191, 99991.60139465332, 99807.24057006836, 99940.18307495117, 99855.0302886963, 99928.65800476073, 99817.18942260742, 99889.91943359375, 99801.7869720459, 99947.1011352539, 99790.40344238281, 99969.75, 99816.49971008301, 99807.54364013672, 99879.84182739253, 99965.18907165527, 99874.94844055176, 99937.52874755856, 99817.2006225586, 99819.0719299316, 99863.33706665042, 99905.57968139648, 99819.27770996092, 99957.71759033203, 99943.68572998047, 99854.04418945312, 99836.9610748291, 99916.95581054688, 99928.12295532228, 99933.92138671875, 99971.91412353516, 99881.60034179688, 99973.71769714354, 99934.00177001953, 99953.29820251465, 99959.60372924805, 99955.69635009766, 99987.40264892578, 99941.65885925293, 99979.09219360352, 99949.07702636719, 99875.29739379883, 99904.55116271973, 99891.84844970703, 99940.89617919922, 99879.36456298828, 99964.40533447266, 99940.89617919922, 99912.90412902832, 99888.31707763675]","[377, 380, 383, 388, 393, 393, 390, 384, 383, 387, 387, 385, 439, 436, 438, 437, 432, 442, 441, 448, 457, 448, 464, 473, 470, 450, 444, 469, 456, 460, 459, 450, 459, 481, 484, 466, 472, 499, 508, 512, 524, 489, 480, 474, 478, 475, 488, 492, 509, 520, 492, 499, 505, 517, 509, 486, 475, 457, 467, 458, 473, 467, 473, 464, 451, 465, 470, 471, 475, 497, 499, 507, 511, 513, 510, 527, 534, 522, 536, 564, 583, 572, 587, 572, 538, 568, 563, 560, 539, 580, 589, 611, 598, 620, 623, 599, 609, 610, 635, 635, 626, 623, 637, 626, 615, 532]",0.0,10589095.816040039,52697,10589095.816040039
INTU,2021-09-07,560.469970703125,2022-06-02,424.3200073242188,99763.65478515625,178,-24234.693481445298,"['2022-01-25', '2022-01-26', '2022-01-27']","[515.989990234375, 507.4800109863281, 517.219970703125]",[],[],"[99586.06811523438, 99973.56216430664, 99823.45434570312]","[193, 197, 193]",0.0,299383.08462524414,583,299383.08462524414
BLK,2021-09-10,916.6199951171876,2022-06-02,682.989990234375,99911.57946777345,109,-25465.670532226577,[],[],[],[],[],[],0.0,0.0,0,0
AMZN,2021-09-07,3509.2900390625,2022-06-02,2497.02001953125,98260.12109375,28,-28343.560546875,"['2022-03-04', '2022-03-07', '2022-03-08', '2022-03-09', '2022-04-21', '2022-04-22', '2022-04-25', '2022-04-26', '2022-04-27', '2022-04-28', '2022-05-03']","[2912.820068359375, 2749.06005859375, 2720.2900390625, 2785.580078125, 2965.919921875, 2887.0, 2921.47998046875, 2787.820068359375, 2763.340087890625, 2891.929931640625, 2485.070068359375]",[],[],"[99035.88232421875, 98966.162109375, 97930.44140625, 97495.302734375, 97875.357421875, 98158.0, 99330.3193359375, 97573.70239257812, 99480.2431640625, 98325.61767578125, 99402.802734375]","[34, 36, 36, 35, 33, 34, 34, 35, 36, 34, 40]",0.0,1083573.8312988281,387,1083573.8312988281
TM,2021-09-07,181.63999938964844,2022-06-02,170.0399932861328,99901.99966430664,550,-6380.003356933594,[],[],[],[],[],[],0.0,0.0,0,0
SAP,2021-09-03,149.8300018310547,2022-06-02,101.69000244140624,99936.61122131348,667,-32109.379592895522,"['2021-09-20', '2021-11-26', '2021-11-30', '2022-01-27', '2022-01-28']","[139.1699981689453, 130.67999267578125, 128.44000244140625, 122.37999725341795, 121.97000122070312]",[],[],"[99924.05868530273, 99970.19439697266, 99926.32189941406, 99984.45775604247, 99893.43099975586]","[718, 765, 778, 817, 819]",0.0,499698.4637374878,3897,499698.4637374878
TSM,2021-09-07,124.6999969482422,2022-06-02,95.98500061035156,99884.697555542,801,-23000.712066650405,['2022-06-02'],[95.98500061035156],[],[],[99920.38563537598],[1041],0.0,99920.38563537598,1041,99920.38563537598
PEP,2021-09-03,157.08999633789062,2022-06-02,166.25999450683594,99909.23767089844,636,5832.118835449219,[],[],[],[],[],[],0.0,0.0,0,0
