Date,Dividends
2022-04-13,0.97
2022-01-12,0.97
2021-10-13,0.97
2021-07-14,0.88
2021-04-14,0.88
2021-01-13,0.88
2020-10-09,0.88
2020-07-15,0.8
2020-04-15,0.8
2020-01-15,0.8
2019-10-16,0.8
2019-04-10,1.46
2018-10-17,1.46
2018-04-11,1.33
2017-10-18,1.33
2017-04-11,1.21
2016-10-19,1.21
2016-04-13,1.1
2015-10-14,1.1
2015-04-08,1.02
2014-10-15,1.02
2014-04-09,0.93
2013-10-09,0.93
2013-04-10,0.81
2012-10-10,0.81
2012-04-11,0.675
2011-10-12,0.675
2011-04-13,0.45
2010-10-13,0.45
2010-04-14,0.375
2009-10-14,0.75
2008-10-08,0.5
2007-10-10,0.42
2006-10-11,0.35
2005-10-13,0.3
