Date,Dividends
2022-02-24,0.985
2021-08-12,0.45
2021-02-25,0.95
2020-08-13,0.45
2020-02-27,0.95
2019-08-08,0.45
2019-02-28,0.95
2018-08-09,0.45
2018-02-15,0.95
2017-08-09,0.45
2017-02-15,0.95
2016-08-10,0.45
2016-02-17,0.95
2015-08-12,0.45
2015-07-27,0.0
2015-02-18,0.95
2014-08-13,0.45
2014-02-19,0.95
2013-08-14,0.45
2013-02-13,0.95
2012-08-08,0.45
2012-02-15,0.975
2011-08-04,0.425
2011-02-02,0.925
2010-08-04,0.35
2010-02-03,0.855
2009-08-05,0.295
2009-02-04,0.75
2008-08-06,0.275
2008-02-07,0.675
2007-08-08,0.26
2007-02-07,0.615
2006-08-09,0.245
2006-02-08,0.46
2005-08-10,0.19
2005-02-09,0.3225
2004-08-11,0.1475
2004-02-18,0.27
2003-08-20,0.1275
2003-02-19,0.261
2002-08-21,0.128
2002-02-20,0.261
2001-08-22,0.128
2001-02-21,0.261
2000-11-14,0.5365
2000-09-06,0.128
2000-03-08,0.261
1999-09-08,0.128
1999-04-07,0.175
1998-09-16,0.1415
1998-04-08,0.0
1998-03-18,0.256
1997-09-17,0.133167
1997-03-19,0.223667
1996-09-20,0.120333
1996-03-22,0.126667
1995-09-22,0.111833
1995-03-24,0.175333
1994-09-23,0.102667
1994-03-18,0.157167
1993-09-24,0.0965
