Date,Dividends
2022-05-16,0.0
2022-03-25,0.643
2021-09-27,0.577
2021-06-25,0.5925
2021-03-26,0.579
2020-12-24,0.568
2020-09-25,0.5465
2020-06-26,0.5355
2020-03-26,0.5145
2019-12-24,0.5475
2019-09-26,0.5425
2019-06-27,0.5335
2018-12-27,0.501
2018-09-27,0.5225
2018-06-27,0.4995
2018-03-27,0.518
2017-12-27,0.5125
2017-09-27,0.5265
2017-06-26,0.4785
2017-03-24,0.4755
2016-12-22,0.462
2016-09-26,0.4595
2016-06-24,0.4745
2016-03-23,0.452
2015-12-23,0.413
2015-09-24,0.4205
2015-06-25,0.44
2015-03-25,0.424
2014-12-24,0.443
2014-12-23,0.443
2014-09-25,0.4525
2014-06-25,0.4655
2014-03-26,0.439
2013-12-24,0.4525
2013-12-23,0.4515
2013-09-25,0.466
2013-06-26,0.4565
2013-03-26,0.4585
2012-12-26,0.4735
2012-09-26,0.4795
2012-06-26,0.437
2012-03-26,0.449
2011-12-23,0.4395
2011-09-26,0.4355
2011-06-24,0.4465
2011-03-24,0.4435
2010-12-27,0.429
2010-09-24,0.4205
2010-06-24,0.4065
2010-03-25,0.4255
2009-12-24,0.414
2009-09-24,0.4075
2009-06-25,0.38
2009-03-25,0.3545
2008-12-24,0.3595
2008-09-25,0.4205
2008-06-25,0.4285
2008-03-26,0.4435
2007-12-26,0.429
2007-09-26,0.4345
2007-06-26,0.36
2007-03-26,0.3275
2006-12-26,0.312
2006-09-26,0.312
2006-06-26,0.312
2006-03-24,0.34
2005-12-23,0.34
2005-09-26,0.34
2005-06-24,0.34
2005-03-23,0.2615
2004-12-27,0.325
2004-09-24,0.3
2004-06-24,0.3
2004-03-25,0.25
2003-12-24,0.25
2003-09-25,0.205
2003-06-25,0.205
2003-03-26,0.205
2002-12-24,0.205
2002-09-25,0.205
2002-06-26,0.205
2002-03-26,0.205
2001-12-26,0.185
2001-09-26,0.185
2001-06-26,0.185
2001-03-26,0.185
2000-12-26,0.165
2000-09-26,0.165
2000-06-26,0.165
2000-03-24,0.165
1999-12-27,0.15
1999-09-24,0.15
1999-06-24,0.15
1999-03-25,0.15
1998-12-24,0.15
1998-09-24,0.15
1998-06-25,0.15
1998-03-25,0.15
1997-12-24,0.105
