Date,Dividends
2022-09-29,1.13
2022-06-29,1.13
2022-03-30,1.05
2021-12-30,1.05
2021-09-29,1.05
2021-06-29,0.9
2021-03-30,0.9
2020-12-30,0.76
2020-09-29,0.76
2020-06-29,0.76
2020-03-30,0.76
2019-12-30,0.76
2019-09-27,0.76
2019-06-27,0.76
2019-03-28,0.76
2018-12-28,0.76
2018-09-27,0.69
2018-06-28,0.69
2018-03-28,0.6
2017-12-28,0.6
2017-09-28,0.6
2017-06-28,0.6
2017-03-29,0.6
2016-12-28,0.6
2016-09-28,0.6
2016-06-28,0.6
2016-03-29,0.6
2015-12-29,0.6
2015-09-28,0.6
2015-06-26,0.6
2015-03-27,0.6
2014-12-29,0.6
2014-09-26,0.6
2014-06-26,0.6
2014-03-27,0.51
2013-12-27,0.51
2013-09-26,0.51
2013-06-26,0.51
2013-03-26,0.51
2012-12-27,0.46
2012-09-26,0.46
2012-06-27,0.46
2012-03-28,0.46
2011-12-28,0.41
2011-09-28,0.41
2011-06-28,0.41
2011-03-29,0.35
2010-12-29,0.35
2010-09-28,0.3
2010-06-28,0.3
2010-03-29,0.28
2009-12-29,0.28
2009-09-28,0.28
2009-06-26,0.28
2009-03-27,0.28
2008-12-29,0.28
2008-09-26,0.28
2008-06-26,0.28
2008-03-27,0.25
2007-12-27,0.25
2007-12-04,0.0
2007-09-26,0.25
2007-06-27,0.22
2007-03-28,0.22
2006-12-27,0.22
2006-09-27,0.195
2006-06-28,0.195
2006-03-29,0.195
2005-12-28,0.195
2005-09-28,0.155
2005-06-28,0.155
2005-03-29,0.155
2004-12-29,0.14
2004-09-28,0.14
2004-06-28,0.14
2004-03-29,0.14
2003-12-29,0.11
2003-09-26,0.11
2003-06-26,0.11
2003-03-27,0.11
2002-12-27,0.11
2002-09-26,0.11
2002-06-26,0.11
2002-03-26,0.11
2001-12-27,0.11
2001-09-26,0.11
2001-06-27,0.11
2001-03-28,0.11
2000-12-27,0.11
2000-09-27,0.11
2000-06-28,0.11
2000-03-29,0.11
1999-12-29,0.11
1999-09-28,0.11
1999-06-28,0.11
1999-03-29,0.11
1998-12-29,0.11
1998-09-28,0.11
1998-06-26,0.11
1998-03-27,0.11
1997-12-29,0.11
1997-09-26,0.1
1997-06-26,0.1
1997-03-26,0.1
1996-12-27,0.1
1996-09-26,0.1
1996-06-26,0.1
1996-03-27,0.1
1995-12-27,0.1
1995-11-29,0.0
1995-09-27,0.1
1995-06-28,0.091667
1995-03-27,0.091667
1994-12-23,0.091667
1994-09-26,0.091667
1994-06-24,0.083333
1994-03-25,0.083333
1993-12-27,0.083333
1993-09-24,0.083333
1993-06-24,0.083333
1993-03-25,0.083333
1992-12-24,0.083333
1992-09-24,0.083333
1992-06-24,0.083333
1992-03-25,0.083333
1991-12-24,0.083333
1991-09-24,0.083333
1991-06-24,0.083333
1991-03-22,0.083333
1990-12-24,0.083333
1990-09-24,0.083333
1990-06-25,0.083333
1990-03-26,0.083333
1989-12-26,0.083333
1989-09-25,0.058333
1989-06-26,0.058333
1989-03-27,0.05
1988-12-23,0.05
1988-09-26,0.020833
1988-06-24,0.033333
1988-03-25,0.020833
1987-12-24,0.020833
1987-09-24,0.010333
1987-06-24,0.010333
1987-03-25,0.010333
1986-12-24,0.010333
1986-09-24,0.020833
1986-06-24,0.020833
1986-03-24,0.041667
1985-12-24,0.041667
1985-09-24,0.041667
1985-06-24,0.041667
1985-03-25,0.041667
1984-12-26,0.041667
1984-09-24,0.041667
1984-06-25,0.041667
1984-03-26,0.041667
1983-12-27,0.041667
1983-09-26,0.041667
1983-06-24,0.041667
1983-03-25,0.041667
1982-11-23,0.041667
1982-08-25,0.083333
1982-05-24,0.083333
1982-02-22,0.083333
1981-11-23,0.083333
1981-08-25,0.083333
1981-05-22,0.083333
1981-02-24,0.079167
1980-11-21,0.079167
1980-08-25,0.079167
1980-05-27,0.079167
1980-02-26,0.075
1979-11-26,0.075
1979-08-27,0.066667
1979-05-24,0.066667
1979-02-23,0.0625
1978-11-27,0.0625
1978-08-28,0.058333
1978-05-24,0.058333
1978-02-23,0.054167
1977-11-25,0.054167
1977-08-26,0.05
1977-05-25,0.05
1977-02-23,0.045833
1976-11-24,0.045833
1976-09-22,0.0
1976-08-25,0.045833
1976-05-25,0.041667
1976-02-24,0.039583
1975-11-21,0.039583
1975-08-25,0.0375
1975-05-23,0.0375
1975-02-25,0.0375
1974-11-22,0.033333
1974-08-26,0.033333
1974-05-24,0.033333
1974-02-25,0.029167
1973-11-26,0.029167
1973-08-27,0.0425
1973-05-25,0.0225
1973-02-23,0.0225
1972-11-27,0.0225
1972-09-22,0.0
1972-08-25,0.024167
