Date,Dividends
2022-07-22,0.0
2022-07-19,0.0
2022-05-19,0.356852
2022-02-24,0.634176
2021-11-18,0.533238
2021-08-19,0.540375
2021-05-20,0.537316
2021-02-18,0.640294
2020-11-12,0.50571
2020-08-13,0.500612
2020-05-14,0.48124
2020-02-20,0.610726
2019-11-14,0.498573
2019-08-08,0.473083
2019-05-16,0.50469
2019-02-21,0.608687
2018-11-15,0.500612
2018-08-09,0.510808
2018-05-10,0.540375
2018-02-22,0.650489
2017-11-09,0.513866
2017-08-09,0.50571
2017-05-10,0.497553
2017-02-22,0.587276
2016-11-02,0.473083
2016-08-10,0.508768
2016-05-11,0.564845
2016-02-17,1.276509
2015-11-10,0.593393
2015-08-12,0.604608
2015-05-13,0.588295
2015-02-18,0.708605
2014-11-05,0.625
2014-08-06,0.660685
2014-05-14,0.652529
2014-02-19,0.764682
2013-11-13,0.628059
2013-08-07,0.563825
2013-05-08,0.560767
2013-02-20,0.702488
2012-11-14,0.590334
2012-08-08,0.538336
2012-05-09,0.559747
2012-02-15,0.837072
2011-11-02,0.55363
2011-08-03,0.531199
2011-05-04,0.536297
2011-02-09,0.627039
2010-10-27,0.516925
2010-07-28,0.465946
2010-05-05,0.469005
2010-02-10,0.585237
2009-11-04,0.499592
2009-07-29,0.470024
2009-04-29,0.417007
2009-02-11,0.50469
2008-10-29,0.484299
2008-07-30,0.52916
2008-04-30,0.52916
2008-02-13,0.639274
2007-10-31,0.543434
2007-08-01,0.50469
2007-05-02,0.490416
2007-02-14,0.562806
2006-11-01,0.459829
2006-08-02,0.413948
2006-05-10,0.400693
2006-02-15,0.497553
2005-11-02,0.361949
2005-08-03,0.354812
2005-05-11,0.387439
2005-02-16,0.452692
2004-11-03,0.372145
2004-08-04,0.373165
2004-05-12,0.35991
2004-02-18,0.530179
2003-10-29,0.305873
2003-07-30,0.291599
2003-05-07,0.323206
2003-02-19,0.474103
2002-10-30,0.314029
2002-07-31,0.317088
2002-05-01,0.565865
2002-02-20,0.728997
2001-10-31,0.28956
2001-08-01,0.28854
2001-05-02,0.292618
2000-12-27,0.756525
2000-08-09,0.511827
2000-03-01,0.800367
1999-08-11,0.549551
1999-03-03,0.606648
1998-08-12,0.50571
1998-03-04,0.664763
1997-08-13,0.500612
1997-03-19,0.741232
1996-08-16,0.595432
1996-03-22,0.591354
1995-09-22,0.789152
1995-02-24,0.392537
1994-09-23,0.708605
1994-03-14,0.338499
1993-09-24,0.059135
1993-03-05,0.310971
1992-09-21,0.591354
1992-02-28,0.286501
1991-11-12,0.0
1991-09-16,0.391007
1991-03-15,0.186073
1990-09-24,0.323206
1990-03-30,0.153956
1989-10-05,0.227875
1989-04-07,0.09635
1988-11-18,0.062194
1988-04-18,0.074939
1987-11-20,0.14478
1987-05-15,0.042822
1986-01-27,0.0
1983-02-23,0.0
1980-02-13,0.0
