Date,Dividends
2022-03-04,0.305
2021-12-03,0.305
2021-08-27,0.275
2021-05-28,0.275
2021-02-26,0.275
2020-12-04,0.275
2020-08-28,0.245
2020-05-29,0.245
2020-02-28,0.245
2019-11-29,0.245
2019-08-30,0.22
2019-05-31,0.22
2019-03-01,0.22
2018-11-30,0.22
2018-08-31,0.2
2018-06-01,0.2
2018-03-02,0.2
2017-12-01,0.2
2017-08-31,0.18
2017-06-01,0.18
2017-03-02,0.18
2016-12-01,0.18
2016-09-01,0.16
2016-06-02,0.16
2016-03-03,0.16
2015-12-24,0.0
2015-12-07,0.16
2015-09-03,0.14
2015-05-28,0.14
2015-02-26,0.14
2014-12-11,0.14
2014-08-28,0.12
2014-05-29,0.12
2014-02-27,0.12
2013-12-12,0.12
2013-08-29,0.105
2013-05-30,0.105
2013-02-28,0.105
2012-12-26,0.0
2012-12-06,0.105
2012-08-30,0.09
2012-05-31,0.09
2012-03-01,0.09
2011-12-01,0.09
2011-09-01,0.0775
2011-06-02,0.0775
2011-03-03,0.0775
2010-12-02,0.0775
2010-09-02,0.0675
2010-06-03,0.0675
2010-03-04,0.0675
2009-12-03,0.0675
2009-09-03,0.0625
2009-06-04,0.0625
2009-03-05,0.0625
2008-12-04,0.0625
2008-09-04,0.0575
2008-06-05,0.0575
2008-03-06,0.0575
2007-12-06,0.0575
2007-09-06,0.04625
2007-06-07,0.04625
2007-04-03,0.0
2007-03-08,0.023125
2006-12-07,0.023125
2006-09-07,0.019375
2006-06-08,0.019375
2006-03-09,0.019375
2005-12-08,0.019375
2005-09-08,0.015625
2005-06-09,0.015625
2005-03-10,0.015625
2004-12-09,0.015625
2004-09-09,0.0125
2004-06-10,0.0125
2004-03-11,0.0125
2003-12-11,0.0125
2003-09-11,0.00875
2003-06-11,0.00875
2003-03-13,0.00875
2002-12-12,0.00875
2002-09-12,0.0075
2002-06-12,0.0075
2002-03-14,0.0075
2001-12-13,0.0075
2001-09-17,0.0075
2001-06-13,0.0075
2001-03-15,0.0075
2000-12-14,0.0075
2000-09-14,0.0075
2000-06-14,0.0075
2000-03-16,0.0075
1999-12-16,0.0075
1999-09-16,0.0075
1999-06-14,0.0075
1999-03-18,0.0075
1998-12-17,0.0075
1998-09-17,0.0075
1998-06-15,0.0075
1998-03-18,0.0075
1997-12-18,0.0075
1997-09-18,0.00625
1997-06-16,0.00625
1997-03-18,0.00625
1996-12-13,0.00625
1996-10-24,0.0
1996-09-04,0.002375
1996-06-05,0.002375
1996-03-06,0.002375
1995-12-06,0.002375
1995-10-31,0.0
1995-09-06,0.000969
1995-06-06,0.000969
1995-03-06,0.000969
1994-12-05,0.000969
1994-09-02,0.000781
1994-06-06,0.000781
1994-03-07,0.000781
1993-12-06,0.000781
1993-09-03,0.000781
1993-06-07,0.000781
1993-03-08,0.000781
1992-12-07,0.000781
1992-09-04,0.000594
1992-06-08,0.000594
1992-03-09,0.000594
1991-12-09,0.000594
1991-09-09,0.000563
1991-06-10,0.000563
1991-03-11,0.000563
1990-12-10,0.004375
1990-10-08,0.0
1990-09-10,0.003125
1990-06-11,0.003125
1990-03-12,0.003125
1989-12-11,0.003125
1989-09-11,0.002344
1989-06-12,0.002344
1989-03-01,0.002344
1988-12-12,0.002344
1988-09-12,0.001563
1988-06-13,0.001563
1988-03-14,0.001563
1987-12-07,0.001563
1987-09-04,0.000625
