Date,Dividends
2022-08-12,0.584
2022-03-25,1.036
2021-08-16,0.557
2021-03-26,0.949
2020-08-14,0.518
2019-08-16,0.449
2019-03-22,0.789
2018-08-17,0.467
2018-03-23,0.67
2017-08-17,0.474
2017-03-23,0.663
2016-08-11,0.447
2016-03-18,0.964
2015-03-19,0.76
2014-03-21,0.83
2014-01-09,0.0
2013-03-21,0.6368
2012-03-22,0.4994
2011-03-24,0.3636
2010-03-25,0.2814
2009-03-19,0.2068
2008-03-13,0.1768
2007-12-17,0.0
2007-03-08,0.1218
2006-03-09,0.0966
2005-03-10,0.084
2004-03-17,0.0745
2003-03-26,0.0523
2002-03-13,0.0369
2001-04-11,0.0
2001-03-21,0.0318
2000-11-17,0.0188
2000-03-24,0.0234
1999-03-25,0.0164
1998-03-27,0.01608
1997-04-25,0.01124
1996-05-01,0.0086
1996-04-24,0.0072
1995-04-24,0.0084
1994-04-26,0.0056
1994-04-22,0.0056
1994-04-18,0.0
1993-04-22,0.0054
1992-04-28,0.006
1991-04-19,0.00509
1990-04-23,0.00624
1989-04-21,0.00463
1988-04-21,0.00522
1987-04-20,0.00414
1986-04-21,0.00344
1985-04-19,0.00259
1984-04-13,0.00288
1983-04-13,0.00274
1982-04-23,0.0006
