Date,Dividends
2022-08-11,0.5
2022-05-19,0.5
2021-11-10,0.48
2021-08-12,0.48
2021-05-13,0.347
2021-02-18,0.333
2020-11-12,0.333
2020-08-13,0.32
2020-05-14,0.32
2020-02-13,0.94
2019-11-14,0.94
2019-08-15,0.94
2019-05-16,0.94
2019-02-14,0.94
2018-11-15,0.94
2018-08-09,0.94
2018-05-10,0.94
2018-02-15,0.94
2017-11-16,0.94
2017-08-09,0.94
2017-05-17,0.94
2017-02-15,0.94
2016-11-08,0.94
2016-08-10,0.94
2016-05-18,0.94
2016-02-17,0.94
2015-11-10,0.94
2015-08-12,0.94
2015-05-13,0.94
2015-02-11,0.94
2014-11-12,0.94
2014-08-13,0.94
2014-05-14,0.94
2014-02-12,0.9
2013-11-13,0.9
2013-08-14,0.9
2013-05-15,0.9
2013-02-13,0.86
2012-11-14,0.86
2012-08-08,0.86
2012-05-09,0.86
2012-02-15,0.84
2011-11-02,0.84
2011-08-03,0.84
2011-05-11,0.84
2011-02-09,0.84
2010-11-03,0.84
2010-08-04,0.84
2010-05-05,0.84
2010-02-10,0.84
2009-11-04,0.84
2009-08-05,0.84
2009-05-06,0.84
2009-02-04,0.8
2008-11-05,0.8
2008-08-06,0.8
2008-05-14,0.8
2008-02-06,0.72
2007-10-31,0.72
2007-08-01,0.72
2007-05-09,0.72
2007-02-07,0.65
2006-11-01,0.6294
2006-08-02,0.6308
2006-05-10,0.6305
2006-02-08,0.5566
2005-11-02,0.5556
2005-08-03,0.5538
2005-04-29,0.5909
2005-02-04,1.3264
2004-07-30,0.9009
2004-04-28,1.2073
2003-07-25,0.85
2003-04-24,1.1015
2002-08-02,0.6969
2002-05-17,0.8834
2001-08-03,0.6131
2001-05-18,0.7981
2000-08-04,0.6054
2000-05-10,0.7756
1999-08-06,0.6972
1999-05-10,0.8882
1998-09-14,0.7071
1998-05-12,0.9
1997-09-15,0.6507
1997-06-30,0.0
1997-05-15,0.8171
1996-09-16,0.634
1996-05-17,0.8121
1995-09-18,0.5848
1995-05-19,0.7803
