Date,Dividends
2008-09-25,0.28
2007-09-26,0.108
2007-03-28,0.107
2006-09-27,0.107
2006-03-28,0.107
2005-09-27,0.113
2004-09-27,0.114
2004-03-26,0.113
2003-09-25,0.107
2003-03-26,0.107
2002-09-25,0.105
2002-03-26,0.054
2001-09-25,0.103
2001-03-27,0.104
2000-09-26,0.118
2000-03-28,0.1165
1999-09-27,0.114
1999-03-26,0.0875
1998-09-25,0.09
1998-03-26,0.098
1997-09-25,0.1
1997-03-25,0.1215
1996-09-25,0.113
1996-03-26,0.1175
1995-09-27,0.115
1995-03-24,0.125
1994-09-23,0.125
1994-03-24,0.1175
1993-09-23,0.1175
1993-03-24,0.1025
1992-09-23,0.0985
1992-03-24,0.08
1991-09-23,1.920455
1991-03-22,0.068636
1990-09-21,0.068636
1990-03-23,0.060909
1989-09-22,0.065909
1989-03-23,0.066364
1988-09-23,0.031818
1988-03-24,0.065909
1987-09-23,0.06
1987-09-15,0.006364
1987-03-24,0.045455
1986-10-24,0.054091
1986-04-23,0.046364
1985-10-24,0.039091
1985-04-23,0.037727
1984-10-24,0.033636
1984-04-23,0.037273
1983-10-24,0.035455
1983-04-25,0.034545
1974-10-24,0.007636
1974-04-23,0.0064
1973-10-24,0.006545
1973-04-23,0.006836
