Date,Dividends
2016-09-28,1.772
2016-03-29,2.015
2015-09-28,1.628
2015-03-27,2.012
2014-09-25,1.263
2014-03-26,1.956
2013-09-25,1.178
2013-03-26,1.263
2012-09-25,0.679
2012-03-27,0.7
2011-09-27,0.512
2011-03-28,0.747
2010-09-27,0.596
2010-03-26,0.701
2009-09-25,0.576
2009-03-26,0.726
2008-09-25,1.257
2008-03-26,1.449
2007-09-26,1.197
2007-03-28,1.052
2006-09-27,0.86
2006-03-28,0.943
2005-09-27,0.725
2005-03-28,0.48
2004-09-27,0.45
2004-03-26,0.375
2003-09-25,0.328
2003-03-26,0.25
2002-09-25,0.218
2002-03-26,0.212
2001-09-25,0.178
2001-03-27,0.191
2000-09-26,0.168
2000-03-28,0.208
1999-09-27,0.18
1999-03-26,0.171
1998-09-25,0.128
1998-03-26,0.205
1997-09-25,0.147
1997-03-25,0.062
1996-09-25,0.18
1996-03-26,0.19
1995-09-26,0.125
1995-03-24,0.18
1994-12-22,0.18
1994-06-22,0.137
1993-12-23,0.136
1993-06-23,0.149
1992-12-23,0.119
1992-06-23,0.131
1991-06-25,0.0
1990-06-26,0.0
1989-06-27,0.0
1988-12-24,0.0
1985-06-26,0.0
1984-06-27,0.0
1982-06-26,0.0
1982-03-15,0.0
1981-12-25,0.0
1980-06-26,0.0
