Date,Dividends
2022-06-16,0.467
2022-03-16,0.49
2021-12-16,0.496
2021-09-16,0.497
2021-06-17,0.451
2021-03-17,0.448
2020-12-17,0.442
2020-09-17,0.427
2020-06-18,0.42
2020-03-19,0.417
2019-12-19,0.41
2019-09-19,0.322
2019-06-24,1.276
2018-06-25,1.345
2017-06-26,1.159
2016-06-27,0.929
2015-06-29,0.728
2014-07-14,0.502
2013-07-03,0.502
2012-07-05,0.502
2011-06-29,0.519
2010-07-06,0.469
2009-07-15,0.453
2008-07-16,0.495522
2007-06-08,0.444776
2006-06-20,0.376119
2005-06-13,0.308168
2004-06-14,0.082804
2003-07-07,0.0
2002-06-19,0.0
2001-06-26,0.0
2000-05-15,0.0
1999-08-16,0.0
1998-08-26,0.0
