Date,Open,High,Low,Close,Adj Close,Volume,Spread High-Low,Spread Close-Open,Unix Date,Dividend Value,% Return of Company,Close Price of NDX,% Return of NDX,Beta,Rate,% YTD of Company,% YTD of NDX,Alpha,Upper Band,Lower Band,Band Area,Previous 30 days LB,Previous 30 days UB,Previous 60 days LB,Previous 60 days UB,Previous 90 days LB,Previous 90 days UB,Previous 180 days LB,Previous 180 days UB,Previous 360 days LB,Previous 360 days UB,Previous 720 days LB,Previous 720 days UB,Previous 1080 days LB,Previous 1080 days UB,Next 30 days LB,Next 30 days UB,Next 60 days LB,Next 60 days UB,Next 90 days LB,Next 90 days UB,Next 180 days LB,Next 180 days UB,Next 360 days LB,Next 360 days UB,Next 720 days LB,Next 720 days UB,Next 1080 days LB,Next 1080 days UB,Revenue,Net Profit,Income,Expenditure,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Next Day Open,Next Day High,Next Day Low,Next Day Close,Open GR,High GR,Low GR,Close GR,Next Day Open GR,Next Day High GR,Next Day Low GR,Next Day Close GR,Spread High-Low GR,Spread Close-Open GR,Alpha GR,Beta GR,Sequential Increase,Sequential Decrease,Sequential Increase %,Sequential Decrease %,Max Inc % in 90 days,Max Dec % in 90 days,Min Inc % in 90 days,Min Dec % in 90 days,Avg Inc % in 90 days,Avg Dec % in 90 days,Max Inc % in 180 days,Max Dec % in 180 days,Min Inc % in 180 days,Min Dec % in 180 days,Avg Inc % in 180 days,Avg Dec % in 180 days,Max Inc % in 365 days,Max Dec % in 365 days,Min Inc % in 365 days,Min Dec % in 365 days,Avg Inc % in 365 days,Avg Dec % in 365 days,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Dividend Gr,CP % LV 7 days,CP % HV 7 days,CP % BA 7 days,CP % LV 30 days,CP % HV 30 days,CP % BA 30 days,CP % LV 90 days,CP % HV 90 days,CP % BA 90 days,CP % LV 180 days,CP % HV 180 days,CP % BA 180 days,CP % LV 365 days,CP % HV 365 days,CP % BA 365 days
2022-05-26,2159.39990234375,2253.31005859375,2149.070068359375,2221.550048828125,2221.550048828125,4641100,104.239990234375,62.150146484375,1653523200.0,0,4.029503574250759,12276.7900390625,,0.4314583836144812,1.07,-90.18208026754088,-79.26632349709058,-56.59029998595612,3731.409912109375,208.22000122070312,3523.189910888672,0.937183477409506,1.301762223707779,0.937183477409506,1.5242960880464564,0.937183477409506,1.5242960880464564,0.937183477409506,1.603191460952282,0.937183477409506,1.6796425154039207,0.937183477409506,1.6796425154039207,0.754702774414639,1.6796425154039207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,,,,,0.041623353536771476,0.041511466879477696,0.036695643202785816,0.04029503574250761,,,,,0.15182309651243095,-0.0038427072694473467,0.0036516126258660142,-0.0015640281360690504,1.0,0.0,0.02569644572526417,-0.0250526808709904,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.007463529023664513,0.019091957400704854,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.00549508412537034,0.013898680251149235,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006086008967485362,0.008078183971897206,0.0,0.0,0.0,0.0,0.0,0,1.0670269206667267,1.0,15.91937851318324,1.0670269206667267,0.768189444883201,2.7428916527730594,1.0670269206667267,0.6560405211572797,1.703250759535064,1.0670269206667267,0.6237558172908485,1.5014835027661084,1.0670269206667267,0.5953647819872669,1.3468756508120283
2022-05-25,2073.110107421875,2163.5,2073.0,2135.5,2135.5,4651000,90.5,62.389892578125,1653436800.0,0,2.5696445725264194,11943.9296875,-2.711297908520049,0.432134253745899,1.06,-89.78646684100437,-78.68850538944011,-56.38440597718787,3731.409912109375,208.22000122070312,3523.189910888672,0.9749473191290096,1.3680543106854366,0.9749473191290096,1.5857176533964528,0.9749473191290096,1.5857176533964528,0.9749473191290096,1.6677921181734372,0.9749473191290096,1.7473237705967573,0.9749473191290096,1.7473237705967573,0.7851135496846464,1.7473237705967573,1.0,1.0402950357425076,1.0,1.0402950357425076,1.0,1.0402950357425076,1.0,1.0402950357425076,1.0,1.0402950357425076,1.0,1.0402950357425076,1.0,1.0402950357425076,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,2159.39990234375,2253.31005859375,2149.070068359375,2221.550048828125,-0.0035519791291155974,0.026328273244781784,0.023602631829250077,0.02569644572526417,0.041623353536771476,0.041511466879477696,0.036695643202785816,0.04029503574250761,0.09299452453051608,40.59326171875,0.002617363178976312,-0.0006102465597151672,0.0,3.0,-0.03214104894650127,0.040098514611851585,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.007806426627378107,0.01866162478397978,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.005696477332331009,0.01365342538850787,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006110973833336685,0.008032957286231249,0.0,0.0,0.0,0.0,0.0,0,1.0256964457252642,0.986153168489081,25.57941249579623,1.0256964457252642,0.7309651321510545,2.54383671997464,1.0256964457252642,0.6306292913231415,1.6372766388521443,1.0256964457252642,0.5995951108674132,1.4433246830736137,1.0256964457252642,0.572303780688838,1.2947054484891392
2022-05-24,2080.5,2108.0,2025.199951171875,2082.0,2082.0,5137100,82.800048828125,1.5,1653350400.0,0,-3.214104894650127,11769.83984375,-1.4575591811478494,0.432398123213017,1.06,-89.52401534052106,-78.37328319303941,-56.237212767202735,3731.409912109375,208.22000122070312,3523.189910888672,1.0,1.4032084440291788,1.0,1.6264649610125481,1.0,1.6264649610125481,1.0,1.7106484478191042,1.0,1.7922237810323607,1.0,1.7922237810323607,0.8052881774022874,1.7922237810323607,1.0,1.0670269206667267,1.0,1.0670269206667267,1.0,1.0670269206667267,1.0,1.0670269206667267,1.0,1.0670269206667267,1.0,1.0670269206667267,1.0,1.0670269206667267,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,2073.110107421875,2163.5,2073.0,2135.5,-0.04089948087393255,-0.03141909340024491,-0.025877849364177488,-0.03214104894650127,-0.0035519791291155974,0.026328273244781784,0.023602631829250077,0.02569644572526417,-0.149721211027207,-1.0829642432753592,-0.0017952933204313168,-0.001033619102986594,0.0,2.0,-0.0003160932418334543,0.006668657344528797,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.0080736593766378,0.018330766019119205,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.005673005491937167,0.013641915825917806,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.00612852684426929,0.007998148867667842,0.0,0.0,0.0,0.0,0.0,0,1.0,0.9023259790404982,9.238136918870435,1.0,0.7126524959674528,2.4801067904412086,1.0,0.614830336939724,1.5962584697214537,1.0,0.5845736459030458,1.4071655303953472,1.0,0.5579660367099792,1.2622696060662082
2022-05-23,2169.219970703125,2176.3798828125,2079.0,2151.139892578125,2151.139892578125,5389900,97.3798828125,-18.080078125,1653264000.0,0,-0.031609324183345944,12034.2802734375,2.2467631947253874,0.4328455206117635,1.07,-89.86072447622416,-78.84850714953855,-56.33835664256721,3731.409912109375,208.22000122070312,3523.189910888672,0.9796852118624879,1.358107852747493,0.9796852118624879,1.5741886710908743,0.9796852118624879,1.5741886710908743,0.9796852118624879,1.6644244869720122,0.9796852118624879,1.734619828763116,0.9796852118624879,1.734619828763116,0.7794053706763617,1.734619828763116,0.9678589510534987,1.032731556182343,0.9678589510534987,1.032731556182343,0.9678589510534987,1.032731556182343,0.9678589510534987,1.032731556182343,0.9678589510534987,1.032731556182343,0.9678589510534987,1.032731556182343,0.9678589510534987,1.032731556182343,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,2080.5,2108.0,2025.199951171875,2082.0,-0.010107898392264043,-0.00957037154560184,-0.010094253720959186,-0.0003160932418334543,-0.04089948087393255,-0.03141909340024491,-0.025877849364177488,-0.03214104894650127,0.0017479883065609836,-0.5428557318962697,-0.0023823781209249403,1.0150250808205348e-05,0.0,1.0,-0.006310382378371077,0.0063504561851766336,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.008070804707461061,0.018867878968097027,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.0060089991761878925,0.01359379251937654,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006141811469955797,0.0080345083757367,0.0,0.0,0.0,0.0,0.0,0,1.0041497923109464,0.9322907827202828,13.02772750660918,1.0207360363222096,0.7363185464077614,2.6425480189592565,1.0207360363222096,0.635247869816662,1.682075998847698,1.0207360363222096,0.6008082720648025,1.4604098762117155,1.0207360363222096,0.5764951970559784,1.3246180233534448
2022-05-20,2191.3701171875,2197.409912109375,2100.199951171875,2151.820068359375,2151.820068359375,4944753,97.2099609375,-39.550048828125,1653004800.0,0,-0.6310382378371115,11835.6201171875,-1.6507855204975552,0.4328411271657627,1.03,-89.86392943269432,-78.4934806420139,-56.472896435460314,3731.409912109375,208.22000122070312,3523.189910888672,0.9793755399878941,1.4313278355498247,0.9793755399878941,1.5736910806905717,0.9793755399878941,1.5736910806905717,0.9793755399878941,1.6638983736401383,0.9793755399878941,1.7340715271580938,0.9793755399878941,1.7340715271580938,0.7791590059060423,1.7340715271580938,0.9675530173800228,1.0324051167168056,0.9675530173800228,1.0324051167168056,0.9675530173800228,1.0324051167168056,0.9675530173800228,1.0324051167168056,0.9675530173800228,1.0324051167168056,0.9675530173800228,1.0324051167168056,0.9675530173800228,1.0324051167168056,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,2169.219970703125,2176.3798828125,2079.0,2151.139892578125,0.030937004644461568,-0.0014859132780895463,-0.011139257618092811,-0.006310382378371077,-0.010107898392264043,-0.00957037154560184,-0.010094253720959186,-0.0003160932418334543,0.26539588510846557,-1.9918507543103448,-0.0009503918890666488,0.0002838527493369864,1.0,0.0,0.010846123198447893,-0.010729747040162115,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.00790449789399085,0.019516499511031838,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.00623645699894673,0.01357472371371614,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006091471595998671,0.008113500465488505,0.0,0.0,0.0,0.0,0.0,0,1.0044672976353717,0.932585566715353,13.031846785306625,1.0210587861040117,0.6986519616003024,2.2126229025049193,1.0210587861040117,0.6354487308660204,1.6826078598208434,1.0210587861040117,0.6009982435479417,1.4608716478667922,1.0210587861040117,0.5766774809104117,1.3250368585496124
2022-05-19,2125.610107421875,2200.679931640625,2123.858154296875,2165.485107421875,2165.485107421875,3263624,76.82177734375,39.875,1652918400.0,0,1.08461231984478,11875.6298828125,0.3380453683782702,0.4327182988869352,1.05,-89.92789191378817,-78.56593749755872,-56.526618875556004,3731.409912109375,208.22000122070312,3523.189910888672,0.9731953058385467,1.460324085238641,0.9731953058385467,1.5637604882259823,0.9731953058385467,1.5637604882259823,0.9731953058385467,1.653398538663719,0.9731953058385467,1.7231288727502803,0.9731953058385467,1.7231288727502803,0.7742422146452236,1.7231288727502803,0.9614473878690081,1.0258902456609356,0.9614473878690081,1.0258902456609356,0.9614473878690081,1.0258902456609356,0.9614473878690081,1.0258902456609356,0.9614473878690081,1.0258902456609356,0.9614473878690081,1.0258902456609356,0.9614473878690081,1.0258902456609356,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,2191.3701171875,2197.409912109375,2100.199951171875,2151.820068359375,-0.046294146075789966,-0.02497945357654876,-0.0005279231720703251,0.010846123198447893,0.030937004644461568,-0.0014859132780895463,-0.011139257618092811,-0.006310382378371077,-0.418369685767098,-1.4607693783359852,0.002806317071124973,9.752252314605609e-05,0.0,1.0,-0.07156204197910314,0.07707789342397013,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.008617147313260099,0.01915080669958406,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006836783966031544,0.013032716073250489,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006272667803129086,0.007931498854735897,0.0,0.0,0.0,0.0,0.0,0,1.0125665729843567,0.9385079104957069,12.831743198103121,1.0275429751876548,0.6847795021038658,2.0528452480913026,1.0275429751876548,0.6394841201893112,1.6932931873114696,1.0275429751876548,0.6048148565609611,1.4701488492587371,1.0275429751876548,0.5803396459859113,1.3334514470635759
2022-05-18,2228.7900390625,2257.06005859375,2124.97998046875,2142.25,2142.25,5404100,132.080078125,-86.5400390625,1652832000.0,0,-7.156204197910309,11928.3095703125,0.4435948915538557,0.432676103221644,1.03,-89.81864858861704,-78.66059799474219,-56.36843118484943,3731.409912109375,208.22000122070312,3523.189910888672,0.9837507020218228,1.4761629401768002,0.9837507020218228,1.5807212271341464,0.9837507020218228,1.5807212271341464,0.9837507020218228,1.7162189606065468,0.9837507020218228,1.7418181407909323,0.9837507020218228,1.7418181407909323,0.7826397410907049,1.7418181407909323,0.9718753646866612,1.0370171776534602,0.9718753646866612,1.0370171776534602,0.9718753646866612,1.0370171776534602,0.9718753646866612,1.0370171776534602,0.9718753646866612,1.0370171776534602,0.9718753646866612,1.0370171776534602,0.9718753646866612,1.0370171776534602,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,2125.610107421875,2200.679931640625,2123.858154296875,2165.485107421875,-0.016203911250275878,-0.025449024786809153,-0.04518027054431271,-0.07156204197910314,-0.046294146075789966,-0.02497945357654876,-0.0005279231720703251,0.010846123198447893,0.45993280531080916,-3.0668688046647232,-0.0015690921370536265,-0.0053998285566004235,1.0,0.0,0.04113335733381393,-0.039508250354354485,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.007957516399502984,0.01998930356497396,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006694012179961132,0.01319552474801318,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006146238851672718,0.008053560170613263,0.0,0.0,0.0,0.0,0.0,0,1.0165176989909956,0.9284379580208969,10.714990829317852,1.0165176989909956,0.6774319912680032,2.030818737866684,1.0165176989909956,0.6326226173434792,1.6751245797467875,1.0165176989909956,0.5826762336005072,1.365246873539887,1.0165176989909956,0.5741127483871052,1.3191438503462456
2022-05-17,2265.5,2316.0,2225.530029296875,2307.3701171875,2307.3701171875,3822400,90.469970703125,41.8701171875,1652745600.0,0,4.113335733381396,12564.099609375,5.330093382593559,0.4350251645279016,1.06,-90.54724688572242,-79.74045088164303,-56.457017447007026,3731.409912109375,208.22000122070312,3523.189910888672,0.913351492986765,1.3705257058838716,0.913351492986765,1.4676015883207132,0.913351492986765,1.4676015883207132,0.913351492986765,1.6018496690504738,0.913351492986765,1.6171700778796883,0.913351492986765,1.6171700778796883,0.7266324430842575,1.6171700778796883,0.9023259790404982,1.0,0.9023259790404982,1.0,0.9023259790404982,1.0,0.9023259790404982,1.0,0.9023259790404982,1.0,0.9023259790404982,1.0,0.9023259790404982,1.0,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,2228.7900390625,2257.06005859375,2124.97998046875,2142.25,0.0015473032714412025,0.015856262822241302,0.008359438950465698,0.04113335733381393,-0.016203911250275878,-0.025449024786809153,-0.04518027054431271,-0.07156204197910314,0.2432313648654996,-1.9143935677877542,0.0026261446592079213,0.00013101997561457506,0.0,1.0,-0.019853228419777172,0.0202553627634453,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.007989797199262317,0.019955802207813927,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.0068318656925413866,0.013055592373783825,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006245363990520033,0.007954061636001939,0.0,0.0,0.0,0.0,0.0,0,1.094868741857403,1.0,11.540879750498831,1.094868741857403,0.7296470220929462,2.187349968107374,1.094868741857403,0.681383836020673,1.8042396535763832,1.094868741857403,0.6242783073350251,1.4524366726971065,1.094868741857403,0.6183641496206291,1.4208206794541192
2022-05-16,2262.0,2279.85009765625,2207.080078125,2216.2099609375,2216.2099609375,3728300,72.77001953125,-45.7900390625,1652659200.0,0,-1.9853228419777214,12243.580078125,-2.5510744200948343,0.4349681750082189,1.07,-90.15842341408452,-79.21008466969216,-56.30914149580324,3731.409912109375,208.22000122070312,3523.189910888672,0.950920706319162,1.4269000294791705,0.950920706319162,1.527968968876782,0.950920706319162,1.527968968876782,0.950920706319162,1.6677391238825785,0.950920706319162,1.6836897125626653,0.950920706319162,1.6836897125626653,0.7565212750159844,1.6836897125626653,0.9394416759679545,1.041133357333814,0.9394416759679545,1.041133357333814,0.9394416759679545,1.041133357333814,0.9394416759679545,1.041133357333814,0.9394416759679545,1.041133357333814,0.9394416759679545,1.041133357333814,0.9394416759679545,1.041133357333814,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,2265.5,2316.0,2225.530029296875,2307.3701171875,0.036958311490227345,0.007143309347583211,0.023692058499536178,-0.019853228419777172,0.0015473032714412025,0.015856262822241302,0.008359438950465698,0.04113335733381393,-0.3242007268901752,-1.5743842907629833,-0.0009956886881159928,-0.0003333370357874347,2.0,0.0,0.07291318401579967,-0.0541727411189546,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.007431611876937678,0.020313308305963982,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006417999854785879,0.013365941919937311,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.0060228041795556825,0.008125619209399101,0.0,0.0,0.0,0.0,0.0,0,1.0516123934989436,0.9801467715802228,14.42280168797824,1.0516123934989436,0.7008199448737888,2.1009315979547987,1.0516123934989436,0.6544635528397578,1.7329573016436337,1.0516123934989436,0.5996141636780403,1.3950534410083437,1.0516123934989436,0.5939336639872598,1.3646865403416018
2022-05-13,2181.3798828125,2263.679931640625,2156.0,2261.10009765625,2261.10009765625,4676700,107.679931640625,79.72021484375,1652400000.0,0,5.727551263752262,12387.400390625,1.1746589770500029,0.4351132143573247,1.03,-90.35381048205544,-79.45145994015782,-56.365263751323106,3731.409912109375,208.22000122070312,3523.189910888672,0.9320418603275119,1.3985714572617338,0.9320418603275119,1.4976338519193397,0.9320418603275119,1.4976338519193397,0.9320418603275119,1.6346291181115387,0.9320418603275119,1.6502630361111297,0.9320418603275119,1.6502630361111297,0.741501885338671,1.6502630361111297,0.9207907257879044,1.0204634989752162,0.9207907257879044,1.0204634989752162,0.9207907257879044,1.0204634989752162,0.9207907257879044,1.0204634989752162,0.9207907257879044,1.0204634989752162,0.9207907257879044,1.0204634989752162,0.9207907257879044,1.0204634989752162,,,,,,2022,223892,96786,10934,211338,21.24,457965,189172,26263,429673,51.18,805911,329118,43640,757713,85.33,,2262.0,2279.85009765625,2207.080078125,2216.2099609375,0.06149872642944039,0.021695976226920603,0.05267777947443211,0.05727551263752252,0.036958311490227345,0.007143309347583211,0.023692058499536178,-0.019853228419777172,-0.3571347364738806,-0.046524190651946025,0.006696199514133978,-0.0032683173852899577,1.0,0.0,0.014790535854998463,-0.014574964322599727,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.007143481701047418,0.020733437802480336,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.00654084841243358,0.01337976621443299,0.16254042144241412,0.16345959293360077,-0.14049443051257687,-0.11922142683021641,0.006067886072065816,0.008156659927514711,0.0,0.0,0.0,0.0,0.0,0,1.0729131840157997,0.9850356774286938,12.026487847508534,1.0729131840157997,0.7150153070890652,2.1434867296125577,1.0729131840157997,0.6677199495179803,1.7680589804419868,1.0729131840157997,0.6117595660814389,1.4233107545303603,1.0729131840157997,0.6059640058087439,1.392328761274612
