Date,Open,High,Low,Close,Adj Close,Volume,Spread High-Low,Spread Close-Open,Unix Date,Dividend Value,% Return of Company,Close Price of NDX,% Return of NDX,Beta,Rate,% YTD of Company,% YTD of NDX,Alpha,Upper Band,Lower Band,Band Area,Previous 30 days LB,Previous 30 days UB,Previous 60 days LB,Previous 60 days UB,Previous 90 days LB,Previous 90 days UB,Previous 180 days LB,Previous 180 days UB,Previous 360 days LB,Previous 360 days UB,Previous 720 days LB,Previous 720 days UB,Previous 1080 days LB,Previous 1080 days UB,Next 30 days LB,Next 30 days UB,Next 60 days LB,Next 60 days UB,Next 90 days LB,Next 90 days UB,Next 180 days LB,Next 180 days UB,Next 360 days LB,Next 360 days UB,Next 720 days LB,Next 720 days UB,Next 1080 days LB,Next 1080 days UB,Revenue,Net Profit,Income,Expenditure,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Next Day Open,Next Day High,Next Day Low,Next Day Close,Open GR,High GR,Low GR,Close GR,Next Day Open GR,Next Day High GR,Next Day Low GR,Next Day Close GR,Spread High-Low GR,Spread Close-Open GR,Alpha GR,Beta GR,Sequential Increase,Sequential Decrease,Sequential Increase %,Sequential Decrease %,Max Inc % in 90 days,Max Dec % in 90 days,Min Inc % in 90 days,Min Dec % in 90 days,Avg Inc % in 90 days,Avg Dec % in 90 days,Max Inc % in 180 days,Max Dec % in 180 days,Min Inc % in 180 days,Min Dec % in 180 days,Avg Inc % in 180 days,Avg Dec % in 180 days,Max Inc % in 365 days,Max Dec % in 365 days,Min Inc % in 365 days,Min Dec % in 365 days,Avg Inc % in 365 days,Avg Dec % in 365 days,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Dividend Gr,CP % LV 7 days,CP % HV 7 days,CP % BA 7 days,CP % LV 30 days,CP % HV 30 days,CP % BA 30 days,CP % LV 90 days,CP % HV 90 days,CP % BA 90 days,CP % LV 180 days,CP % HV 180 days,CP % BA 180 days,CP % LV 365 days,CP % HV 365 days,CP % BA 365 days
2022-05-27,137.38999938964844,139.74000549316406,137.24000549316406,139.27000427246094,139.27000427246094,4608000,2.5,1.8800048828125,1653609600.0,0.0,1.738625826155471,12681.419921875,,0.7712398601266365,1.08,35.75291828303513,-79.9278791545271,97.1494236713281,206.30975341796875,90.602294921875,115.70745849609375,0.9225245335398078,1.0,0.9045738457110445,1.0041645854330556,0.871329035337128,1.0041645854330556,0.8393767354037093,1.0041645854330556,0.8315501831394276,1.0384659083252157,0.7321019844094558,1.0384659083252157,0.6505513904101357,1.0760834731443896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,,,,,0.01770369918258102,0.01592150049304025,0.020220050061803083,0.017386258261554752,,,,,-0.17491715934613797,-0.005288100562718371,-0.019038955631201285,-0.0005358310921163955,4.0,0.0,0.06545768945964194,-0.018262838857087824,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.0063670909899462835,0.012138649322188078,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.006819033572831375,0.010614486735111572,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.004982487437440505,0.006404790189320892,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.0839820120153467,1.0,12.907311768349421,1.0839820120153467,1.0,12.907311768349421,1.147672072712563,0.9958526864087129,7.5281052344635695,1.1913601578664637,0.9958526864087129,6.06840856180789,1.2025732424525581,0.9629589108156169,4.832885461470402
2022-05-26,135.0,137.5500030517578,134.52000427246094,136.88999938964844,136.88999938964844,3928600,3.029998779296875,1.8899993896484373,1653523200.0,0.0,1.8602574680810502,12276.7900390625,-3.19073010203319,0.771653335976388,1.07,38.11315358006373,-79.26632349709058,99.03494560667195,206.30975341796875,90.602294921875,115.70745849609375,0.9385637833325512,1.0108115693924897,0.9203010002092246,1.0216232502525018,0.8864781869762908,1.0216232502525018,0.8539703561041789,1.0216232502525018,0.8460077293809329,1.0565209448031778,0.7448304985841954,1.0565209448031778,0.6618620448962198,1.0947925383194688,1.0,1.0173862582615547,1.0,1.0173862582615547,1.0,1.0173862582615547,1.0,1.0173862582615547,1.0,1.0173862582615547,1.0,1.0173862582615547,1.0,1.0173862582615547,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,137.38999938964844,139.74000549316406,137.24000549316406,139.27000427246094,0.016107175822801426,0.020249188393632822,0.012494382466381222,0.018602574680810405,0.01770369918258102,0.01592150049304025,0.020220050061803083,0.017386258261554752,0.5459124491051063,0.2352947042983942,-0.021384243961294458,-0.0006235464303767508,3.0,0.0,0.045999407367995376,-0.004390180374806001,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.006017915368572844,0.01209148549905207,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.006504728464487928,0.010716776557384795,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.004817370769474803,0.006456797960380507,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.065457689459642,1.0,16.27704396924294,1.065457689459642,0.989304070392677,13.841254584194115,1.128059341664033,0.9788344184148535,7.3994563749338615,1.1710008349259449,0.9788344184148535,5.964704666030385,1.182022297517011,0.9465027692246013,4.750295595429538
2022-05-25,132.86000061035156,134.82000732421875,132.86000061035156,134.38999938964844,134.38999938964844,3298800,1.9600067138671875,1.529998779296875,1653436800.0,0.0,0.44095390465903606,11943.9296875,-2.711297908520049,0.7721347978733716,1.06,40.682413833939094,-78.68850538944011,101.19900992351792,206.30975341796875,90.602294921875,115.70745849609375,0.9560234862046989,1.0350473006567331,0.9374209682944411,1.0406280730609763,0.9029689636524266,1.0406280730609763,0.8617456513472845,1.0406280730609763,0.8617456513472845,1.0761749545807193,0.7586862635586531,1.0761749545807193,0.6741743830147957,1.1151584982735507,1.0,1.0363122621100955,1.0,1.0363122621100955,1.0,1.0363122621100955,1.0,1.0363122621100955,1.0,1.0363122621100955,1.0,1.0363122621100955,1.0,1.0363122621100955,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,135.0,137.5500030517578,134.52000427246094,136.88999938964844,0.017538432700294822,0.003349052789938579,0.018708805978094593,0.0044095390465902825,0.016107175822801426,0.020249188393632822,0.012494382466381222,0.018602574680810405,-0.5037953852750641,-0.5263155408373921,-0.0036669716193443247,7.322628419474595e-05,2.0,0.0,0.041407281297709694,-0.01965623933353078,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.0056224379897199805,0.012248261379010006,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.0062589910641674806,0.010842394727262304,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.004750029015886369,0.006487230156703709,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.0459994073679955,1.0,22.73941051022674,1.0459994073679955,0.9661394212279035,12.654413190937266,1.10745777568599,0.9609581231635718,7.264321295528393,1.1604352147719732,0.9609581231635718,5.590264210535673,1.1604352147719732,0.929216941672465,4.6635417124466745
2022-05-24,130.57000732421875,134.3699951171875,130.4199981689453,133.8000030517578,133.8000030517578,4188500,3.949996948242188,3.2299957275390625,1653350400.0,0.0,2.0050353888280803,11769.83984375,-1.4575591811478494,0.772078261451178,1.06,41.302758430908426,-78.37328319303941,101.57146961994937,206.30975341796875,90.602294921875,115.70745849609375,0.960239109096576,1.039611382144047,0.9415545626572279,1.0452167631821165,0.9069506405555111,1.0452167631821165,0.8655455524451298,1.0452167631821165,0.8655455524451298,1.0809203900639055,0.7620317202619267,1.0809203900639055,0.6771471812809103,1.1200758332148248,1.0,1.0408819214943303,1.0,1.0408819214943303,1.0,1.0408819214943303,1.0,1.0408819214943303,1.0,1.0408819214943303,1.0,1.0408819214943303,1.0,1.0408819214943303,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,132.86000061035156,134.82000732421875,132.86000061035156,134.38999938964844,0.008262604820222008,0.018340266956539338,0.007726781132345532,0.020050353888280813,0.017538432700294822,0.003349052789938579,0.018708805978094593,0.0044095390465902825,0.5612643692025622,0.9341312988258943,-0.030939917777922318,-0.0007311649054811504,1.0,0.0,0.020937130532840305,-0.020507756948670235,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.0052165742201314745,0.01265226441653712,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.006171475871838931,0.010927680487947816,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.004714953193927934,0.006521310621605191,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.0414072812977098,0.9669726658473949,13.528818130343083,1.0414072812977098,0.9618978949015023,12.598858034491727,1.102595836293247,0.9567393436702487,7.232429614740479,1.1553406948658473,0.9567393436702487,5.565721942308599,1.1553406948658473,0.9251375116911973,4.643067923143602
2022-05-23,129.5,131.9499969482422,129.4199981689453,131.1699981689453,131.1699981689453,3591500,2.529998779296875,1.6699981689453125,1653264000.0,0.0,2.09371305328403,12034.2802734375,2.2467631947253874,0.7726431910369231,1.07,44.13592874283838,-78.84850714953855,104.81441912976499,206.30975341796875,90.602294921875,115.70745849609375,0.9794922430513298,1.0604559582623196,0.9604330648436309,1.0661737291738815,0.9251353218578521,1.0661737291738815,0.8829000470780821,1.0661737291738815,0.8829000470780821,1.1025932264097453,0.7773107259272737,1.1025932264097453,0.6907242219000445,1.1425337500524932,1.0,1.0617519723762054,1.0,1.0617519723762054,1.0,1.0617519723762054,1.0,1.0617519723762054,1.0,1.0617519723762054,1.0,1.0617519723762054,1.0,1.0617519723762054,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,130.57000732421875,134.3699951171875,130.4199981689453,133.8000030517578,-0.0052234806732152795,0.012119367110771533,0.028775795146031454,0.020937130532840305,0.008262604820222008,0.018340266956539338,0.007726781132345532,0.020050353888280813,-0.4463888026337334,-1.9823536275592177,-0.025852652972317702,-0.00047282174328993097,0.0,3.0,-0.013362044823014688,0.07697695920399665,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.005379710171468912,0.011790087614852356,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.006204356971982303,0.01054364144362498,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.004697761921004558,0.006365767226588011,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.0209371305328403,0.9479656196985162,13.26289244327325,1.0209371305328403,0.9429905996648991,12.35121186563658,1.0809229486469125,0.9379334461512612,7.090267247270225,1.1326310416557965,0.9379334461512612,5.456320779746697,1.1326310416557965,0.906952787344968,4.551802668804452
2022-05-20,130.17999267578125,130.3699951171875,125.8000030517578,128.47999572753906,128.47999572753906,6873209,4.569992065429702,-1.6999969482421875,1653004800.0,0.0,-1.336204482301473,11835.6201171875,-1.6507855204975552,0.7730086863515822,1.03,47.15372149739936,-78.4934806420139,107.596062802588,206.30975341796875,90.602294921875,115.70745849609375,1.0,1.0884963477122802,0.9805417772903179,1.0884963477122802,0.9445050008521312,1.0884963477122802,0.9013854406112068,1.0884963477122802,0.9013854406112068,1.1256783647157118,0.7935853820605899,1.1256783647157118,0.7051860050961601,1.1664551283155178,1.0,1.0839820120153467,1.0,1.0839820120153467,1.0,1.0839820120153467,1.0,1.0839820120153467,1.0,1.0839820120153467,1.0,1.0839820120153467,1.0,1.0839820120153467,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,129.5,131.9499969482422,129.4199981689453,131.1699981689453,-0.01378793427438447,-0.014737092647321341,-0.02268488301160518,-0.013362044823014688,-0.0052234806732152795,0.012119367110771533,0.028775795146031454,0.020937130532840305,0.26944008816174686,-0.044944879729799235,0.018040630114307486,-0.00013162899695009047,0.0,2.0,-0.020460366862878422,0.06258634480175879,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.0055631400623734045,0.011378619732544684,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.006371863186516753,0.010143926712995417,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.004833016880961806,0.006117653547499474,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.0,0.9285249711740435,12.990900268610247,1.0,0.9186985350035624,11.29990136147998,1.0587556435358216,0.9186985350035624,6.944861769862089,1.1094033195410002,0.9186985350035624,5.344423879361673,1.1094033195410002,0.8883532200181784,4.458455405994301
2022-05-19,132.0,132.32000732421875,128.72000122070312,130.22000122070312,130.22000122070312,3351631,3.600006103515625,-1.779998779296875,1652918400.0,0.0,-2.0460366862878443,11875.6298828125,0.3380453683782702,0.7731104501046611,1.05,45.1874468748777,-78.56593749755872,105.68936014911989,206.30975341796875,90.602294921875,115.70745849609375,0.9916295781932666,1.0739518107244608,0.9674397341113261,1.0739518107244608,0.9318844826951835,1.0739518107244608,0.889341087950947,1.0739518107244608,0.889341087950947,1.1106369999500827,0.7829814586146071,1.1106369999500827,0.6957632780875026,1.1508689026069305,0.9866379551769853,1.069497795783456,0.9866379551769853,1.069497795783456,0.9866379551769853,1.069497795783456,0.9866379551769853,1.069497795783456,0.9866379551769853,1.069497795783456,0.9866379551769853,1.069497795783456,0.9866379551769853,1.069497795783456,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,130.17999267578125,130.3699951171875,125.8000030517578,128.47999572753906,-0.03719916758913147,-0.03851175687410578,-0.026102723734869503,-0.020460366862878422,-0.01378793427438447,-0.014737092647321341,-0.02268488301160518,-0.013362044823014688,-0.3394480514935424,-0.5721160547261857,0.02771173730024493,-0.0006975603390911377,0.0,1.0,-0.03924255884509147,0.04084543836362977,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.005765405731070949,0.011163612460067529,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.006571235392306513,0.009935754029604926,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.004918093152844366,0.0060283787576670324,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.0,0.9410999914426388,15.977926226039939,1.0084410771832606,0.9311404757774235,12.147386790331167,1.0730943787236522,0.9311404757774235,7.03891608205596,1.1244279765641014,0.9311404757774235,5.416803449856111,1.1244279765641014,0.9003841939760199,4.518836299171699
2022-05-18,137.10000610351562,137.6199951171875,132.1699981689453,132.94000244140625,132.94000244140625,6000100,5.449996948242188,-4.160003662109375,1652832000.0,0.0,-3.9242558845091424,11928.3095703125,0.4435948915538557,0.7736501177431319,1.03,42.216858447933035,-78.66059799474219,102.83949896958592,206.30975341796875,90.602294921875,115.70745849609375,0.9490747393701544,1.0519783626839858,0.9476455622336828,1.0519783626839858,0.9128177843054164,1.0519783626839858,0.8711448430252392,1.0519783626839858,0.8711448430252392,1.0879129594796173,0.7669613707245205,1.0879129594796173,0.6815277061681134,1.1273217026485143,0.966450980653224,1.0476154785226865,0.966450980653224,1.0476154785226865,0.966450980653224,1.0476154785226865,0.966450980653224,1.0476154785226865,0.966450980653224,1.0476154785226865,0.966450980653224,1.0476154785226865,0.966450980653224,1.0476154785226865,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,132.0,132.32000732421875,128.72000122070312,130.22000122070312,-0.0006559977862021131,-0.005420250245472759,-0.0255824331783943,-0.03924255884509147,-0.03719916758913147,-0.03851175687410578,-0.026102723734869503,-0.020460366862878422,0.9963390027555296,-4.525448714633011,0.04774891130229673,-0.001048723016564624,5.0,0.0,0.07155571815210908,-0.02413815462710637,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.005353984603940512,0.011412966395431183,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.006200980388812392,0.010044146883795218,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.004754974985657175,0.006062320199543497,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.0167495406608509,0.9607574411549086,17.44620572545376,1.053657797976629,0.9505898937394779,9.717830799312473,1.0955088925671213,0.9505898937394779,7.1859431144330355,1.1479147331312705,0.9505898937394779,5.529948219152696,1.1479147331312705,0.9191911827930896,4.61322456621735
2022-05-17,137.19000244140625,138.3699951171875,135.63999938964844,138.3699951171875,138.3699951171875,4372900,2.7299957275390625,1.17999267578125,1652745600.0,0.0,2.4735217122750397,12564.099609375,5.330093382593559,0.7744623141974927,1.06,36.635905011525985,-79.74045088164303,98.15280918952408,206.30975341796875,90.602294921875,115.70745849609375,0.9118306180620313,1.0106960398825966,0.9104575254934377,1.0106960398825966,0.876996478689965,1.0106960398825966,0.8369588902602233,1.0106960398825966,0.8369588902602233,1.0452204711489008,0.7368638440019515,1.0452204711489008,0.6547828150542511,1.0830827143949813,0.9285249711740435,1.0065043664597315,0.9285249711740435,1.0065043664597315,0.9285249711740435,1.0065043664597315,0.9285249711740435,1.0065043664597315,0.9285249711740435,1.0065043664597315,0.9285249711740435,1.0065043664597315,0.9285249711740435,1.0065043664597315,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,137.10000610351562,137.6199951171875,132.1699981689453,132.94000244140625,0.030728746433788437,0.013625380449769341,0.024393895009485318,0.024735217122750366,-0.0006559977862021131,-0.005420250245472759,-0.0255824331783943,-0.03924255884509147,-0.33414589667915906,-0.38860251098953225,-0.02994245667345585,-0.001011244952776896,4.0,0.0,0.045690340535793454,-0.01059018506042155,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.005210355416456369,0.011371695614241902,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.005905884688144161,0.01014565107925277,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.0046221749986376836,0.00611765460236621,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.0715557181521091,1.0,14.975123523661056,1.0966949126202412,0.989417154653303,10.114759858253974,1.14025543351528,0.989417154653303,7.47945611099816,1.1948018136100864,0.989417154653303,5.755821378292162,1.1948018136100864,0.9567359495942568,4.801653745894363
2022-05-16,133.10000610351562,136.50999450683594,132.41000366210938,135.02999877929688,135.02999877929688,4250400,4.0999908447265625,1.92999267578125,1652659200.0,0.0,1.0703537503383487,12243.580078125,-2.5510744200948343,0.7752462780833635,1.07,40.015623788749565,-79.21008466969216,101.1824606331457,206.30975341796875,90.602294921875,115.70745849609375,0.9343849463789673,1.0356958258741966,0.9329778900675599,1.0356958258741966,0.8986891770062488,1.0356958258741966,0.8576612501336262,1.0356958258741966,0.8576612501336262,1.0710742264439121,0.7550903311732443,1.0710742264439121,0.6709790101528637,1.109873000497439,0.951492237939929,1.031400470499109,0.951492237939929,1.031400470499109,0.951492237939929,1.031400470499109,0.951492237939929,1.031400470499109,0.951492237939929,1.031400470499109,0.951492237939929,1.031400470499109,0.951492237939929,1.031400470499109,,,,,,2022,36363,17174,2455,32661,2.7199999999999998,51475,30014,4766,47488,5.29,107072,61210,12670,97531,14.11,,137.19000244140625,138.3699951171875,135.63999938964844,138.3699951171875,0.0007519255903430451,0.020254046287501354,0.010377722843809735,0.010703537503383546,0.030728746433788437,0.013625380449769341,0.024393895009485318,0.024735217122750366,0.49090576171875,2.216621738467016,-0.016586560911969566,-0.00018904573601242865,3.0,0.0,0.03461628631362417,-0.005239612088706555,0.10842520514466812,0.129703959228496,-0.03949715458319808,-0.06629564012558274,0.005025630251089744,0.011237023449870931,0.10842520514466812,0.1553087572399795,-0.09563070666505748,-0.06629564012558274,0.005788288502417563,0.010173809205708805,0.10842520514466812,0.1553087572399795,-0.09905049937936362,-0.06629564012558274,0.004509357986662837,0.006150330022271,0.0,0.0,0.0,0.0,0.0,0.0060975609756097615,1.0456903405357934,1.0,22.886464146981083,1.070222721240653,0.96553445038357,9.87060822077939,1.1127317715466898,0.96553445038357,7.29891584286423,1.165961502684419,0.96553445038357,5.616886471856941,1.165961502684419,0.9336421093056392,4.685750685310141
