Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,117154,50332,29998,81138,1.88,0.29960286646107426,0.3212232576453603,0.44771005260363883,0.2434561392754245,0.4573643410852712,2022
2022-09-30,3,90146,38095,20721,65252,1.29,0.08663315613736906,0.06158562073289675,0.0657854130233515,0.08965816675851243,0.07500000000000007,2022
2022-06-30,2,82959,35885,19442,59883,1.2,-0.14719669401097885,-0.15681759439836462,-0.22263094762095162,-0.11019480230018276,-0.21052631578947373,2022
2022-03-31,1,97278,42559,25010,67299,1.52,-0.2151518818830933,-0.2154010655752816,-0.2777938203869477,-0.18382914731314504,-0.2761904761904762,2022
2021-12-31,4,123945,54243,34630,82457,2.1,0.48686420345489445,0.5421333939841929,0.6850761520120675,0.38411051801121293,0.7073170731707318,2021
2021-09-30,3,83360,35174,20551,59574,1.23,0.023651054841957904,-0.002297546447312438,-0.05486571008094187,0.039540727298108466,-0.05384615384615389,2021
2021-06-30,2,81434,35255,21744,57308,1.3,-0.09097606715484909,-0.07416161138685365,-0.07981379602200593,-0.07688342649119699,-0.07142857142857134,2021
2021-03-31,1,89584,38079,23630,62081,1.4,-0.19611626091404266,-0.14097184623714132,-0.17822987306555382,-0.20311918362107695,-0.16666666666666669,2021
2020-12-31,4,111439,44328,28755,77905,1.68,0.7224489165043742,0.7954554659970027,1.2689970804071649,0.5605031748893295,1.2702702702702702,2020
2020-09-30,3,64698,24689,12673,49923,0.74,0.0839909525006283,0.08858024691358024,0.12618857193637253,0.07144696742069795,0.1384615384615384,2020
2020-06-30,2,59685,22680,11253,46594,0.65,0.02352820125872447,0.013857845328565042,0.00035558716330340474,0.024945006599208095,0.015625000000000014,2020
2020-03-31,1,58313,22370,11249,45460,0.64,-0.36491357997800017,-0.36479541130703924,-0.4941086526353661,-0.31381132075471696,-0.488,2020
2019-12-31,4,91819,35217,22236,66250,1.25,0.4337757651467833,0.4484843499362481,0.6247259973695748,0.36837756893524737,0.6233766233766234,2019
2019-09-30,3,64040,24313,13686,48415,0.77,0.1901354791949302,0.20200721807485045,0.36260454002389486,0.14551046965574352,0.3999999999999999,2019
2019-06-30,2,53809,20227,10044,42265,0.55,-0.07249849176937,-0.07304889785069428,-0.13121702274889716,-0.0523542600896861,-0.11290322580645154,2019
2019-03-31,1,58015,21821,11561,44600,0.62,-0.31188471118491284,-0.31875370734600855,-0.4209366391184573,-0.2684207073026704,-0.40952380952380957,2019
2018-12-31,4,84310,32031,19965,60964,1.05,0.34038155802861686,0.3299701046337818,0.41345132743362834,0.303150784489761,0.41891891891891897,2018
2018-09-30,3,62900,24084,14125,46782,0.74,0.18088801276635688,0.17937417364477742,0.2262349162253668,0.15076378127075493,0.25423728813559326,2018
2018-06-30,2,53265,20421,11519,40653,0.59,-0.12875999803719515,-0.12812740158825037,-0.16661843437997395,-0.10145215834493734,-0.1323529411764707,2018
2018-03-31,1,61137,23422,13822,45243,0.68,-0.30756685127926336,-0.3093300306676103,-0.31113879890356344,-0.27049775068930487,-0.2989690721649484,2018
2017-12-31,4,88293,33912,20065,62019,0.97,0.6792445653207554,0.701470071747529,0.8727832742206458,0.5717326845586558,0.8653846153846153,2017
2017-09-30,3,52579,19931,10714,39459,0.52,0.1579237138830162,0.13969579139981703,0.22909257772169325,0.13911662817551962,0.2380952380952382,2017
2017-06-30,2,45408,17488,8717,34640,0.42,-0.14156079854809436,-0.15069690641542421,-0.2096291594886209,-0.10719348436815382,-0.20754716981132082,2017
2017-03-31,1,52896,20591,11029,38799,0.53,-0.32488417505839107,-0.3176365323435843,-0.3835447990609804,-0.29446101251091067,-0.369047619047619,2017
2016-12-31,4,78351,30176,17891,54992,0.84,0.6723085460599334,0.6940436759669903,0.9848014200133126,0.5671254737682027,0.9534883720930232,2016
2016-09-30,3,46852,17813,9014,35091,0.43,0.10609566079607158,0.10598534707562399,0.15623396613648025,0.08799181471491024,0.19444444444444448,2016
2016-06-30,2,42358,16106,7796,32253,0.36,-0.16217338845263762,-0.1915064504793936,-0.2586534804108026,-0.11804757998359311,-0.25,2016
2016-03-31,1,50557,19921,10516,36570,0.48,-0.33365404892450445,-0.3451993557505834,-0.42726431022275474,-0.29266358484362004,-0.4146341463414634,2016
2015-12-31,4,75872,30423,18361,51701,0.82,0.47321411234733307,0.48058205178119523,0.6505753326141676,0.4019469602473019,0.6399999999999999,2015
2015-09-30,3,51501,20548,11124,36878,0.5,0.038221953432113695,0.04405263960164626,0.041865692610283785,0.03817352626541298,0.08695652173913039,2015
2015-06-30,2,49605,19681,10677,35522,0.46,-0.1448888122737459,-0.16803347987825498,-0.21313287640946274,-0.1059599315413269,-0.20689655172413784,2015
2015-03-31,1,58010,23656,13569,39732,0.58,-0.2223756350621322,-0.20459971083689182,-0.2471704394141145,-0.21093082835183605,-0.24675324675324684,2015
