Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,14812.0,9790,3949.0,10209.0,2.21,0.015703216073510252,-0.05982905982905983,3.2738095238095237,-0.09558823529411764,3.333333333333333,2022
2022-06-30,2,14583.0,10413,924.0,11288.0,0.51,0.07719013148175506,0.09772296015180265,-0.7942093541202673,0.27967350640516947,-0.796812749003984,2022
2022-03-31,1,13538.0,9486,4490.0,8821.0,2.51,-0.09055488378342066,-0.10221465076660988,0.1102868447082097,-0.10099877700774562,0.11061946902654868,2022
2021-12-31,4,14886.0,10566,4044.0,9812.0,2.26,0.037930553618742154,0.06169614147909968,0.2720981440704624,-0.022319649262654444,0.2696629213483145,2021
2021-09-30,3,14342.0,9952,3179.0,10036.0,1.78,0.027437495522601905,0.054684188215345486,3.150130548302872,0.05442319815087203,3.2380952380952386,2021
2021-06-30,2,13959.0,9436,766.0,9518.0,0.42,0.07294388931591084,0.07263839945435945,-0.7844075429214749,0.06859773212080386,-0.7889447236180905,2021
2021-03-31,1,13010.0,8797,3553.0,8907.0,1.99,-0.061192091210852936,-0.041094397209505126,97.69444444444444,-0.1185551707075705,-16.307692307692307,2021
2020-12-31,4,13858.0,9174,36.0,10105.0,-0.13,0.07409703921872578,0.1683647478349465,-0.9844020797227037,0.04747589924328807,-1.1007751937984496,2020
2020-09-30,3,12902.0,7852,2308.0,9647.0,1.29,0.23760191846522782,0.16949657432231158,-4.127371273712737,-0.0026878941383231677,-3.8043478260869565,2020
2020-06-30,2,10425.0,6714,-738.0,9673.0,-0.46,0.20953706926557605,0.0055414108132394784,-1.2451827242524918,0.9284290271132376,-1.2277227722772277,2020
2020-03-31,1,8619.0,6677,3010.0,5016.0,2.02,-0.009765625,-0.003135264257987459,0.07461620849696537,0.05644481887110362,0.07446808510638304,2020
