Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,10410,5781,1435,8640,0.81,-0.0752420715998934,-0.08586337760910816,-0.28889990089197226,-0.027136583718049768,-0.2894736842105262,2022
2022-06-30,2,11257,6324,2018,8881,1.14,-0.053635981504833966,-0.08453966415749856,-0.17531671434409482,-0.011354781253478793,-0.16788321167883224,2022
2022-03-31,1,11895,6908,2447,8983,1.37,0.03723404255319149,0.030737093404953744,0.2302664655605832,-0.011771177117711772,0.23423423423423423,2022
2021-12-31,4,11468,6702,1989,9090,1.11,0.049414348462664716,0.030284396617986164,-0.05285714285714286,0.08446671438797423,-0.05128205128205114,2021
2021-09-30,3,10928,6505,2100,8382,1.17,0.0689621441846816,0.23294162244124336,0.7661900756938604,-0.050843619069188085,0.7727272727272725,2021
2021-06-30,2,10223,5276,1189,8831,0.66,-0.022283856159143075,-0.12865400495458298,-0.33686558839933073,0.057984904756199836,-0.33999999999999997,2021
2021-03-31,1,10456,6055,1793,8347,1.0,-0.022895056536772266,-0.02464561855670103,-0.17067530064754857,0.009432821381061798,-0.16666666666666663,2021
2020-12-31,4,10701,6208,2162,8269,1.2,0.2087427990511691,0.27030898301616535,0.7548701298701299,0.12381081815710791,0.7391304347826088,2020
2020-09-30,3,8853,4887,1232,7358,0.69,0.20810589519650655,0.2022140221402214,1.2942271880819367,0.10546875,1.2999999999999998,2020
2020-06-30,2,7328,4065,537,6656,0.3,-0.05151436707222366,-0.08548931383577053,-0.047872340425531915,-0.04477611940298507,-0.03225806451612906,2020
2020-03-31,1,7726,4445,564,6968,0.31,-0.07072407986528746,-0.08913934426229508,-0.46234509056244044,0.006209386281588448,-0.47457627118644063,2020
2019-12-31,4,8314,4880,1049,6925,0.59,0.029470034670629024,0.03433658329800763,0.09270833333333334,0.006833381797034022,0.11320754716981121,2019
2019-09-30,3,8076,4718,960,6878,0.53,0.012156911893721018,0.003829787234042553,-0.04572564612326044,0.015502731433633544,-0.05357142857142862,2019
2019-06-30,2,7979,4700,1006,6773,0.56,0.058925016589250166,0.07428571428571429,0.49702380952380953,-0.0033843437316068274,0.47368421052631593,2019
2019-03-31,1,7535,4375,672,6796,0.38,-0.02962009014810045,-0.043506777437691296,0.027522935779816515,0.029696969696969697,0.027027027027027053,2019
2018-12-31,4,7765,4574,654,6600,0.37,0.014237199582027169,0.018708240534521157,0.16163410301953818,-0.009157784116499024,0.15624999999999997,2018
2018-09-30,3,7656,4490,563,6661,0.32,-0.01429123213595983,0.0011148272017837235,-0.23192360163710776,-0.03253449527959332,-0.21951219512195116,2018
2018-06-30,2,7767,4485,733,6885,0.41,0.0510148849797023,0.03747397640527411,0.7535885167464115,0.015187260395163668,0.7826086956521737,2018
2018-03-31,1,7390,4323,418,6782,0.23,-0.026222163657925946,0.0037148827490132343,-1.5048309178743962,-0.022484865955606802,-1.4893617021276595,2018
2017-12-31,4,7589,4307,-828,6938,-0.47,0.11129008639625128,0.08955223880597014,-2.373134328358209,0.14488448844884488,-2.3823529411764706,2017
2017-09-30,3,6829,3953,603,6060,0.34,0.028928732861232483,0.146461716937355,1.1307420494699647,-0.030555111182210846,1.125,2017
2017-06-30,2,6637,3448,283,6251,0.16,0.047671665351223365,0.05346776657500764,-0.324582338902148,-0.04956667173483351,-0.3333333333333333,2017
2017-03-31,1,6335,3273,419,6577,0.24,0.1878867429214326,0.10911555404947476,-0.474937343358396,0.4474031690140845,-0.5555555555555556,2017
2016-12-31,4,5333,2951,798,4544,0.54,0.0058468502451904944,-0.021876035797149487,-3.425531914893617,0.031555051078320094,-3.4545454545454546,2016
2016-09-30,3,5302,3017,-329,4405,-0.22,-0.005812863303956498,-0.009520682862770847,-1.534959349593496,-0.024795218065087447,-1.5365853658536586,2016
2016-06-30,2,5333,3046,615,4517,0.41,0.0917093142272262,0.10965391621129326,0.9462025316455697,0.03577161201559275,0.9523809523809523,2016
2016-03-31,1,4885,2745,316,4361,0.21,-0.058404009252120276,-0.079476861167002,-0.5880052151238592,-0.002744111593871484,-0.5882352941176472,2016
2015-12-31,4,5188,2982,767,4373,0.51,0.007378640776699029,0.02544704264099037,0.32241379310344825,-0.014424160468785216,0.34210526315789475,2015
2015-09-30,3,5150,2908,580,4437,0.38,-0.0038684719535783366,-0.014905149051490514,-0.2602040816326531,-0.0009006980409817609,-0.2692307692307693,2015
2015-06-30,2,5170,2952,784,4441,0.52,0.05574841739840719,0.048295454545454544,-0.6579406631762653,0.03592255656636342,-0.6556291390728477,2015
2015-03-31,1,4897,2816,2292,4287,1.51,-0.08569828230022405,-0.06724080821464061,1.532596685082873,-0.053015241882041084,1.5593220338983051,2015
2014-12-31,4,5356,3019,905,4527,0.59,0.05453829493994881,0.09384057971014492,0.6821561338289963,0.04045047115605608,0.6388888888888888,2014
2014-09-30,3,5079,2760,538,4351,0.36,0.004350405378683014,-0.0032502708559046588,0.15450643776824036,-0.006621004566210046,0.2,2014
2014-06-30,2,5057,2769,466,4380,0.3,0.06351209253417456,0.11608222490931076,0.24266666666666667,-0.002277904328018223,0.25,2014
2014-03-31,1,4755,2481,375,4390,0.24,0.18637724550898205,0.21201758671226184,-0.3644067796610169,0.22284122562674094,-0.35135135135135137,2014
2013-12-31,4,4008,2047,590,3590,0.37,-0.1693264248704663,-0.20350194552529183,-0.38923395445134573,-0.17509191176470587,-0.39344262295081966,2013
2013-09-30,3,4825,2570,966,4352,0.61,-0.11402864487697392,-0.11409858669424336,1.0294117647058822,-0.09690807221415232,1.0333333333333334,2013
2013-06-30,2,5446,2901,476,4819,0.3,0.012644105615470434,-0.015274949083503055,-0.125,0.011757295821960948,-0.11764705882352951,2013
2013-03-31,1,5378,2946,544,4763,0.34,0.6869510664993727,0.9548772395487723,-0.48338081671415006,0.4828767123287671,-0.4769230769230769,2013
2012-12-31,4,3188,1507,1053,3212,0.65,-0.39449192782526116,-0.45713256484149856,-0.4580545548121462,-0.351765893037336,-0.46280991735537186,2012
2012-09-30,3,5265,2776,1943,4955,1.21,-0.009034443817052512,-0.056744818212708124,0.1263768115942029,0.04337755316908823,0.12037037037037027,2012
2012-06-30,2,5313,2943,1725,4749,1.08,0.005488266464799395,0.006153846153846154,0.3888888888888889,-0.005445026178010471,0.38461538461538464,2012
2012-03-31,1,5284,2925,1242,4775,0.78,-0.49079695480389324,-0.5526838966202783,-0.23285978999382334,-0.4243520192887282,-0.23529411764705882,2012
2011-12-31,4,10377,6539,1619,8295,1.02,0.05704390343282062,0.11911689200753038,4.343234323432343,-0.10052049446974626,4.36842105263158,2011
2011-09-30,3,9817,5843,303,9222,0.19,0.020902662229617303,0.016881308736512356,-0.8440555841482243,0.1758255769475966,-0.8455284552845529,2011
2011-06-30,2,9616,5746,1943,7843,1.23,0.06359915938502378,0.10883828637591664,1.2488425925925926,0.013307493540051679,1.236363636363636,2011
2011-03-31,1,9041,5182,864,7740,0.55,-0.0929975922953451,-0.12510552085092014,-0.40041637751561415,-0.04890636520029491,-0.4021739130434782,2011
2010-12-31,4,9968,5923,1441,8138,0.92,0.14904899135446686,0.2006892357591729,0.6172839506172839,0.08608034165220872,0.6140350877192985,2010
