Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-04-30,2,6245,2927,1536,4351,1.74,-0.004146069207462925,-0.010814464346062858,-0.14285714285714285,0.013038416763678696,-0.13,2022
2022-01-31,1,6271,2959,1792,4295,2.0,0.024171157929119714,0.004753820033955857,0.04672897196261682,0.045266488196641516,0.06382978723404262,2022
2021-10-31,4,6123,2945,1712,4109,1.88,-0.011781794706262104,-0.00741489720256151,-0.002331002331002331,-0.017690652641644752,0.005347593582887587,2021
2021-07-31,3,6196,2967,1716,4183,1.87,0.10999641705481907,0.11835657745947983,0.29022556390977444,0.04496627529352985,0.3076923076923078,2021
2021-04-30,2,5582,2653,1330,4003,1.43,0.08136381247578459,0.12941677309493402,0.17699115044247787,0.031967001804588814,0.17213114754098358,2021
2021-01-31,1,5162,2349,1130,3879,1.22,0.10110921501706485,0.1028169014084507,-0.0008841732979664014,0.13920704845814977,-0.008130081300813016,2021
2020-10-31,4,4688,2130,1131,3405,1.23,0.06666666666666667,0.08951406649616368,0.3448275862068966,0.03589899604502586,0.35164835164835156,2020
2020-07-31,3,4395,1955,841,3287,0.91,0.1106899166034875,0.11778158947970269,0.11390728476821192,0.08661157024793388,0.10975609756097571,2020
2020-04-30,2,3957,1749,755,3025,0.82,-0.04925516578567996,-0.05866523143164693,-0.15358744394618834,-0.030448717948717948,-0.14583333333333334,2020
2020-01-31,1,4162,1858,892,3120,0.96,0.10868407032498668,0.13708690330477355,0.27793696275071633,0.07958477508650519,0.27999999999999997,2020
2019-10-31,4,3754,1634,698,2890,0.75,0.05390230207748456,0.04945407835581246,0.2224168126094571,0.04710144927536232,0.2295081967213115,2019
2019-07-31,3,3562,1557,571,2760,0.61,0.0064990110200621645,0.01764705882352941,-0.14264264264264265,-0.0010857763300760044,-0.12857142857142853,2019
2019-04-30,2,3539,1530,666,2763,0.7,-0.057021049826805226,-0.08108108108108109,-0.13618677042801555,-0.028822495606326888,-0.1250000000000001,2019
2019-01-31,1,3753,1665,771,2845,0.8,-0.0015961691939345571,0.004828002414001207,0.018494055482166448,-0.00801952580195258,0.08108108108108115,2019
2018-10-31,4,3759,1657,757,2868,0.74,-0.096828447861605,-0.11105150214592274,-0.2549212598425197,-0.06549364613880743,-0.26732673267326734,2018
2018-07-31,3,4162,1864,1016,3069,1.01,-0.09106791875955449,-0.0933852140077821,-0.07636363636363637,-0.06632187404928507,-0.047169811320754755,2018
2018-04-30,2,4579,2056,1100,3287,1.06,0.08894173602853746,0.05979381443298969,5.666666666666667,0.09933110367892976,6.066666666666667,2018
2018-01-31,1,4205,1940,165,2990,0.15,0.018159806295399514,0.039100160685591856,-0.845360824742268,0.008771929824561403,-0.8484848484848485,2018
2017-10-31,4,4130,1867,1067,2964,0.99,0.10309829059829059,0.09823529411764706,0.1535135135135135,0.08930540242557883,0.1647058823529412,2017
2017-07-31,3,3744,1700,925,2721,0.85,0.05583756345177665,0.0625,0.12257281553398058,0.04412893323100537,0.1184210526315789,2017
2017-04-30,2,3546,1600,824,2606,0.76,0.08175716900549115,0.10726643598615918,0.1721194879089616,0.05463375151760421,0.1692307692307692,2017
2017-01-31,1,3278,1445,703,2471,0.65,-0.005762814680012132,0.032880629020729094,0.15245901639344261,-0.019444444444444445,0.20370370370370366,2017
