Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,5599,2403,21,5748,-0.03,0.006109613656783468,0.020815632965165677,-0.6818181818181818,0.021140522295256706,-1.7500000000000002,2022
2022-09-30,3,5565,2354,66,5629,0.04,-0.150381679389313,-0.22258916776750332,-0.8523489932885906,-0.06557104913678619,-0.8518518518518519,2022
2022-06-30,2,6550,3028,447,6024,0.27,0.11262102938678444,0.0745209368346345,-0.4312977099236641,0.22042139384116693,-0.5178571428571429,2022
2022-03-31,1,5887,2818,786,4936,0.56,0.21985080812266888,0.1615828524319868,-0.19301848049281314,0.3639126830616192,-0.29113924050632906,2022
2021-12-31,4,4826,2426,974,3619,0.79,0.11894273127753303,0.1629913710450623,0.0552546045503792,0.07548291233283803,0.05333333333333338,2021
2021-09-30,3,4313,2086,923,3365,0.75,0.12025974025974026,0.13989071038251366,0.3,0.11460748592249088,0.29310344827586216,2021
2021-06-30,2,3850,1830,710,3019,0.58,0.11756168359941944,0.15311909262759923,0.27927927927927926,0.084800574919152,0.28888888888888875,2021
2021-03-31,1,3445,1587,555,2783,0.45,0.061960542540073986,0.09372846312887664,-0.6883773161145423,0.040762902019446524,-0.6938775510204082,2021
2020-12-31,4,3244,1451,1781,2674,1.47,0.15815780078543376,0.1796747967479675,3.566666666666667,0.13690476190476192,3.5937499999999996,2020
2020-09-30,3,2801,1230,390,2352,0.32,0.4497929606625259,0.45047169811320753,1.484076433121019,0.33712336554860717,1.4615384615384615,2020
2020-06-30,2,1932,848,157,1759,0.13,0.08174692049272117,0.03667481662591687,-0.030864197530864196,0.09322560596643878,-0.07142857142857148,2020
2020-03-31,1,1786,818,162,1609,0.14,-0.16031969910672308,-0.1380400421496312,-0.047058823529411764,-0.0955593029792018,-0.06666666666666654,2020
2019-12-31,4,2127,949,170,1779,0.15,0.1810105496946141,0.22136422136422138,0.4166666666666667,0.10154798761609907,0.3636363636363636,2019
2019-09-30,3,1801,777,120,1615,0.11,0.17635532331809275,0.25120772946859904,2.4285714285714284,0.09714673913043478,2.666666666666667,2019
2019-06-30,2,1531,621,35,1472,0.03,0.20361635220125787,0.19193857965451055,1.1875,0.19286871961102106,1.9999999999999996,2019
2019-03-31,1,1272,521,16,1234,0.01,-0.10359408033826638,-0.0297951582867784,-0.5789473684210527,-0.11286843997124371,-0.75,2019
2018-12-31,4,1419,537,38,1391,0.04,-0.14156079854809436,-0.1875945537065053,-0.6274509803921569,-0.07451763140385895,-0.5555555555555556,2018
2018-09-30,3,1653,661,102,1503,0.09,-0.058656036446469245,0.013803680981595092,-0.1206896551724138,-0.06238303181534623,-0.18181818181818185,2018
2018-06-30,2,1756,652,116,1603,0.11,0.06618093503339405,0.09212730318257957,0.43209876543209874,0.04977079240340537,0.375,2018
