Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,6652,5064,2143,3992,3.98,0.008795875037913254,-0.003933910306845004,0.6271829916476841,-0.09642372114078769,0.6244897959183672,2022
2022-06-30,2,6594,5084,1317,4418,2.45,0.05706957358127605,0.08702159503955527,-0.10772357723577236,0.1819154628143392,-0.08582089552238804,2022
2022-03-31,1,6238,4677,1476,3738,2.68,-0.08881098451650599,-0.08794851794071763,-0.22274881516587677,-0.17701453104359313,-0.19519519519519515,2022
2021-12-31,4,6846,5128,1899,4542,3.33,0.020876826722338204,0.006082009024916618,0.007961783439490446,0.04944547134935305,0.006042296072507558,2021
2021-09-30,3,6706,5097,1884,4328,3.31,0.027581979773214832,0.04254448762528124,3.060344827586207,-0.24043524043524042,3.0864197530864197,2021
2021-06-30,2,6526,4889,464,5698,0.81,0.10591425182172513,0.1083654500113353,-0.7181044957472661,0.5106044538706257,-0.7137809187279152,2021
2021-03-31,1,5901,4411,1646,3772,2.83,-0.11049140789870365,-0.12428032559062935,0.019195046439628483,-0.18460873324686555,0.025362318840579816,2021
2020-12-31,4,6634,5037,1615,4626,2.76,0.03285069282266854,0.035993418346359524,-0.20089064819396338,0.16523929471032744,-0.19533527696793013,2020
2020-09-30,3,6423,4862,2021,3970,3.43,0.03496616177892362,0.03052140737600678,0.1209095951192457,0.02240535668297708,0.12459016393442635,2020
2020-06-30,2,6206,4718,1803,3883,3.05,0.007304009089433534,0.015060240963855422,-0.012054794520547946,0.02023121387283237,-0.006514657980456032,2020
2020-03-31,1,6161,4648,1825,3806,3.07,-0.0058092625463934166,-0.059870550161812294,0.0716382853787434,-0.0826705230175946,0.07342657342657341,2020
2019-12-31,4,6197,4944,1703,4149,2.86,0.08018127941432805,0.05169112954690491,-0.13465447154471544,0.27230910763569455,-0.12538226299694194,2019
2019-09-30,3,5737,4701,1968,3261,3.27,-0.0228240504173054,-0.03251697880222268,-0.09683340982101882,0.021296586282492952,-0.0840336134453781,2019
2019-06-30,2,5871,4859,2179,3193,3.57,0.05650530861975886,0.07929808973789428,0.09387550200803213,0.03500810372771475,0.12264150943396215,2019
2019-03-31,1,5557,4502,1992,3085,3.18,-0.10802568218298556,-0.12310089598753408,0.03319502074688797,-0.19828482328482328,0.049504950495049625,2019
2018-12-31,4,6230,5134,1928,3848,3.03,0.05521680216802168,0.054859256215327716,0.037116729424421735,0.07456017872102765,0.05944055944055942,2018
2018-09-30,3,5904,4867,1859,3581,2.86,-0.025581779171480443,-0.03336643495531281,-0.19033101045296166,0.1096994112178494,-0.17816091954022992,2018
2018-06-30,2,6059,5035,2296,3227,3.48,0.090925459128556,0.09219088937093275,-0.006490696668109044,0.14108910891089108,0.07076923076923076,2018
2018-03-31,1,5554,4610,2311,2828,3.25,-0.04274388142019993,-0.02804132405650432,-1.5419793621013134,-0.20494798987911161,-1.563258232235702,2018
2017-12-31,4,5802,4743,-4264,3557,-5.77,0.005023384721981639,-0.008362952122099102,-3.1098466105888174,0.06688662267546491,-3.0905797101449277,2017
2017-09-30,3,5773,4783,2021,3334,2.76,-0.006368330464716007,-0.0006268282490597576,-0.06043700604370061,0.07133676092544987,-0.05154639175257744,2017
2017-06-30,2,5810,4786,2151,3112,2.91,0.06332357247437774,0.0711727842435094,0.0386286817962337,0.08318830490776193,0.04301075268817208,2017
2017-03-31,1,5464,4468,2071,2873,2.79,-0.08398994132439229,-0.08779093507554103,0.0702842377260982,-0.17442528735632185,0.07722007722007729,2017
2016-12-31,4,5965,4898,1935,3480,2.59,0.02650146274307348,0.023829431438127092,-0.0406544372830937,0.05968331303288672,-0.03358208955223892,2016
2016-09-30,3,5811,4784,2017,3284,2.68,0.021624472573839662,0.03147908581285037,0.0786096256684492,-0.007255139056831923,0.08502024291497974,2016
2016-06-30,2,5688,4638,1870,3308,2.47,0.029129726795730053,0.028609447771124417,-0.015789473684210527,0.05856,-0.011999999999999922,2016
2016-03-31,1,5527,4509,1900,3125,2.5,-0.0016257225433526012,0.009854423292273236,0.05555555555555555,-0.10790750785041393,0.05932203389830514,2016
2015-12-31,4,5536,4465,1800,3503,2.36,-0.03267517036519308,-0.047771379825122626,-0.033816425120772944,0.03516548463356974,-0.03278688524590167,2015
2015-09-30,3,5723,4689,1863,3384,2.44,0.06573556797020484,0.09530483531885074,0.12704174228675136,0.0273224043715847,0.13488372093023257,2015
2015-06-30,2,5370,4281,1653,3294,2.15,0.06695807669382078,0.07025,0.018484288354898338,0.0939887080704085,0.018957345971564,2015
2015-03-31,1,5033,4000,1623,3011,2.11,-0.05589945601200525,-0.03567984570877531,0.2542503863987635,-0.22236570247933884,0.25595238095238093,2015
2014-12-31,4,5331,4148,1294,3872,1.68,0.05963029218843172,0.046681806712086805,0.04019292604501608,0.08611500701262272,0.04347826086956511,2014
2014-09-30,3,5031,3963,1244,3565,1.61,-0.028764478764478765,-0.03317882410343986,-0.19586296056884292,0.08755338621110433,-0.19900497512437798,2014
2014-06-30,2,5180,4099,1547,3278,2.01,0.14576421145764212,0.19469542407461382,0.44175209692451073,0.03832752613240418,0.43571428571428567,2014
2014-03-31,1,4521,3431,1073,3157,1.4,-0.09778487327878667,-0.1383726770467102,0.050930460333006855,-0.17442468619246862,0.06060606060606049,2014
2013-12-31,4,5011,3982,1021,3824,1.32,0.05539174389216512,0.005555555555555556,-0.2536549707602339,0.2496732026143791,-0.26256983240223464,2013
2013-09-30,3,4748,3960,1368,3060,1.79,0.014746740756571917,0.01694915254237288,0.08744038155802862,-0.02205177372962608,0.08484848484848492,2013
2013-06-30,2,4679,3894,1258,3129,1.65,0.10405851816894762,0.11448196908986835,-0.12273361227336123,0.11909871244635194,-0.12234042553191489,2013
2013-03-31,1,4238,3494,1434,2796,1.88,-0.04139334992083239,-0.0014289797084881394,0.8197969543147208,-0.16111611161116113,0.8431372549019607,2013
2012-12-31,4,4421,3499,788,3333,1.02,0.0236165779115536,-0.012697516930022574,-0.2881662149954833,0.15089779005524862,-0.276595744680851,2012
2012-09-30,3,4319,3544,1107,2896,1.41,-0.035291489836944384,-0.04859060402684564,-0.12559241706161137,0.002770083102493075,-0.12422360248447216,2012
2012-06-30,2,4477,3725,1266,2888,1.61,0.10597826086956522,0.12947240751970893,0.06925675675675676,0.12329832749902761,0.08783783783783791,2012
2012-03-31,1,4048,3298,1184,2571,1.48,0.01887742260256733,0.0862977602108037,0.2676659528907923,-0.08537886872998933,0.3577981651376146,2012
2011-12-31,4,3973,3036,934,2811,1.09,0.007352941176470588,-0.09074573225516622,1.0572687224669604,-0.1778297747879497,1.1800000000000002,2011
2011-09-30,3,3944,3339,454,3419,0.5,-0.003788835564536499,-0.005361930294906166,-0.611965811965812,0.30148458317472404,-0.6,2011
2011-06-30,2,3959,3357,1170,2627,1.25,0.0682676740420939,0.06842775302355188,0.04,0.08868628263572316,0.041666666666666706,2011
2011-03-31,1,3706,3142,1125,2413,1.2,-0.03514709711012757,-0.03884980116243499,0.10078277886497064,-0.1298232960692391,0.111111111111111,2011
2010-12-31,4,3841,3269,1022,2773,1.08,0.006551362683438155,0.012387736141220192,-0.17313915857605178,0.18656397090286692,-0.15624999999999997,2010
2010-09-30,3,3816,3229,1236,2337,1.28,0.0031545741324921135,-0.00676714856967087,0.028286189683860232,0.021862702229995628,0.02400000000000002,2010
2010-06-30,2,3804,3251,1202,2287,1.25,0.05902004454342984,0.05415045395590143,0.029991431019708654,0.08337280909521554,0.05932203389830514,2010
2010-03-31,1,3592,3084,1167,2111,1.18,-0.056970333420845364,-0.057169061449098134,0.2534908700322234,-0.21407297096053612,0.2826086956521738,2010
2009-12-31,4,3809,3271,931,2686,0.92,-0.0007869884575026233,0.001224364860728497,-0.3282828282828283,0.21703670140462167,-0.3235294117647059,2009
2009-09-30,3,3812,3267,1386,2207,1.36,0.026663075680043093,0.026712759270898806,0.09219858156028368,-0.02171985815602837,0.08800000000000008,2009
2009-06-30,2,3713,3182,1269,2256,1.25,0.12243047158403869,0.12398445778876722,0.24533856722276742,0.13537996980372421,0.2755102040816327,2009
2009-03-31,1,3308,2831,1019,1987,0.98,0.0,0.0,0.0,0.0,0.0,2009
