Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,2660,1861,712,1935,1.56,0.08793456032719836,0.08830409356725147,0.5717439293598234,0.06377130291368883,0.5918367346938777,2022
2021-12-31,4,2445,1710,453,1819,0.98,-0.003667481662591687,-0.011560693641618497,-0.37344398340248963,0.11800860479409957,-0.379746835443038,2021
2021-09-30,3,2454,1730,723,1627,1.58,0.0674206176598521,0.04784978800726832,-0.030831099195710455,0.12206896551724138,-0.04242424242424233,2021
2021-06-30,2,2299,1651,746,1450,1.65,0.06484483557202408,0.0422979797979798,0.15658914728682172,0.09022556390977443,0.1379310344827586,2021
2021-03-31,1,2159,1584,645,1330,1.45,0.016957136128120585,0.02193548387096774,0.7671232876712328,-0.08149171270718232,0.7682926829268293,2021
2020-12-31,4,2123,1550,365,1448,0.82,0.0546448087431694,0.06896551724137931,-0.21336206896551724,0.1791530944625407,-0.21153846153846162,2020
2020-09-30,3,2013,1450,464,1228,1.04,0.052273915316257184,0.056081573197378005,0.04035874439461883,0.004909983633387889,0.040000000000000036,2020
2020-06-30,2,1913,1373,446,1222,1.0,-0.04014049172102358,-0.04718945176960444,0.0746987951807229,-0.027070063694267517,0.07526881720430102,2020
2020-03-31,1,1993,1441,415,1256,0.93,0.035862785862785865,0.0487627365356623,-0.26287744227353466,-0.004754358161648178,-0.26771653543307083,2020
2019-12-31,4,1924,1374,563,1262,1.27,-0.015353121801432957,-0.014347202295552367,0.1282565130260521,0.030204081632653063,0.13392857142857134,2019
2019-09-30,3,1954,1394,499,1225,1.12,0.033862433862433865,0.05128205128205128,0.16317016317016317,0.015754560530679935,0.16666666666666682,2019
2019-06-30,2,1890,1326,429,1206,0.96,0.04247104247104247,0.04409448818897638,0.08060453400503778,0.005838198498748957,0.07865168539325837,2019
2019-03-31,1,1813,1270,397,1199,0.89,-0.14962476547842402,-0.20175989943431805,0.42805755395683454,-0.31210556511761334,0.435483870967742,2019
