Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,3966,1943,780,3086,1.94,-0.3082155939298796,-0.37483912483912485,-0.6198830409356725,-0.08833087149187592,-0.6158415841584158,2022
2021-12-31,4,5733,3108,2052,3385,5.05,-0.072480181200453,-0.027838598686268378,0.0,-0.13581822823589482,0.005976095617529931,2021
2021-09-30,3,6181,3197,2052,3917,5.02,0.27601156069364163,0.2974837662337662,0.6402877697841727,0.1689048045359594,0.6513157894736841,2021
2021-06-30,2,4844,2464,1251,3351,3.04,-0.07926249762402585,-0.1311706629055007,-0.2205607476635514,-0.008579881656804733,-0.21243523316062174,2021
2021-03-31,1,5261,2836,1605,3380,3.86,0.0551544324107501,0.09709864603481624,0.028187059577194105,0.04096088697259008,0.034852546916890055,2021
2020-12-31,4,4986,2585,1561,3247,3.73,0.0775880700237735,0.1755343337880855,0.257856567284448,0.012788521522145976,0.26013513513513514,2020
2020-09-30,3,4627,2199,1241,3206,2.96,0.2635172037138176,0.24589235127478754,0.5006045949214026,0.20300187617260787,0.5025380710659898,2020
2020-06-30,2,3662,1765,827,2665,1.97,0.3603268945022288,0.45267489711934156,0.9187935034802784,0.19936993699369937,0.9126213592233009,2020
2020-03-31,1,2692,1215,431,2222,1.03,-0.4016448099577684,-0.43853974121996303,-0.6600946372239748,-0.2764571800716379,-0.6578073089700996,2020
2019-12-31,4,4499,2164,1268,3071,3.01,0.35471243601324903,0.4893324156916724,0.8192252510760402,0.20007815552950373,0.8242424242424242,2019
2019-09-30,3,3321,1453,697,2559,1.65,0.15072765072765074,0.16988727858293076,0.30280373831775703,0.0978120978120978,0.29921259842519676,2019
2019-06-30,2,2886,1242,535,2331,1.27,0.13981042654028436,0.17836812144212524,0.32425742574257427,0.08317843866171004,0.336842105263158,2019
2019-03-31,1,2532,1054,404,2152,0.95,-0.3005524861878453,-0.34207240948813983,-0.5560439560439561,-0.19731443491234613,-0.5560747663551402,2019
2018-12-31,4,3620,1602,910,2681,2.14,0.12143742255266418,0.031551835157759174,0.1504424778761062,0.17742643829600352,0.15053763440860216,2018
2018-09-30,3,3228,1553,791,2277,1.86,-0.012239902080783354,0.09752650176678446,0.13649425287356323,-0.06909239574816026,0.14110429447852774,2018
2018-06-30,2,3268,1415,696,2446,1.63,0.16340334638661444,0.03360116873630387,0.049773755656108594,0.21149083704804358,0.051612903225806354,2018
2018-03-31,1,2809,1369,663,2019,1.55,-0.055163134880592,0.015578635014836795,-0.11006711409395974,-0.039942938659058486,-0.09883720930232553,2018
2017-12-31,4,2973,1348,745,2103,1.72,0.03372739916550765,0.09326845093268452,0.13740458015267176,-0.0014245014245014246,0.13157894736842102,2017
2017-09-30,3,2876,1233,655,2106,1.52,0.24394463667820068,0.1844380403458213,0.27680311890838205,0.2388235294117647,0.27731092436974797,2017
