Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,11390,7879,386,10512,0.13,-0.051702605944550825,0.06674790143514758,-2.112391930835735,-0.14557425018288223,-1.5909090909090908,2022
2021-12-31,4,12011,7386,-347,12303,-0.22,0.21741333873910398,0.20903584874774922,-0.7899515738498789,0.06611785095320624,-0.6000000000000001,2021
2021-09-30,3,9866,6109,-1652,11540,-0.55,0.2002433090024331,0.013269198872118096,-4.003636363636364,0.6269561539546031,-3.619047619047619,2021
2021-06-30,2,8220,6029,550,7093,0.21,0.12295081967213115,0.10502199413489736,-0.6476617552850736,0.30746543778801844,-0.65,2021
2021-03-31,1,7320,5456,1561,5425,0.6,-0.012145748987854251,-0.07289719626168224,0.5424901185770751,-0.084079014013169,0.5384615384615383,2021
2020-12-31,4,7410,5885,1012,5923,0.39,0.12648221343873517,0.12999231950844853,0.5617283950617284,0.09543184760495654,0.56,2020
2020-09-30,3,6578,5208,648,5407,0.25,0.04828685258964143,-0.015687015687015686,-0.14285714285714285,0.08335003005409737,-0.13793103448275856,2020
2020-06-30,2,6275,5291,756,4991,0.29,-0.012433112999685237,0.07235508715038508,-0.03076923076923077,-0.02785352551616673,-0.03333333333333337,2020
2020-03-31,1,6354,4934,780,5134,0.3,-0.04651860744297719,-0.06659099508134696,1.4920127795527156,-0.1565631674059471,1.5,2020
2019-12-31,4,6664,5286,313,6087,0.12,0.04027474242897284,0.0456973293768546,0.046822742474916385,0.07753584705257567,0.0,2019
2019-09-30,3,6406,5055,299,5649,0.12,0.1001202129486519,0.06197478991596639,1.3,0.05984990619136961,1.3999999999999997,2019
2019-06-30,2,5823,4760,130,5330,0.05,0.06046257512292843,0.09124254928931683,-0.7807757166947723,0.21301775147928995,-0.7916666666666667,2019
2019-03-31,1,5491,4362,593,4394,0.24,-0.1443041919900265,-0.08744769874476988,-0.42649903288201163,-0.17715355805243446,-0.4146341463414634,2019
2018-12-31,4,6417,4780,1034,5340,0.41,0.20168539325842696,0.14162885120611415,1.3990719257540603,0.18957451548229004,1.4117647058823526,2018
2018-09-30,3,5340,4187,431,4489,0.17,0.03588748787584869,0.010620323437122858,0.23142857142857143,0.0220856102003643,0.21428571428571425,2018
2018-06-30,2,5155,4143,350,4392,0.14,-0.004441869447663191,0.024480712166172106,0.029411764705882353,-0.020080321285140562,0.0,2018
2018-03-31,1,5178,4044,340,4482,0.14,-0.10368703479314523,-0.11159929701230228,-0.7386625672559569,-0.11962286387743076,-0.7254901960784313,2018
2017-12-31,4,5777,4552,1301,5091,0.51,-0.07301026957637997,-0.08649407987156331,0.8965014577259475,0.0015738736966358449,0.8888888888888888,2017
2017-09-30,3,6232,4983,686,5083,0.27,0.2338150861215601,0.2150694952450622,0.4381551362683438,0.23194377120698012,0.42105263157894746,2017
2017-06-30,2,5051,4101,477,4126,0.19,-0.06549491211840888,-0.090888938151186,-0.11173184357541899,-0.08065953654188948,-0.09523809523809519,2017
2017-03-31,1,5405,4511,537,4488,0.21,-0.03222918531781558,0.01943502824858757,-0.7084690553745928,0.4705111402359109,-0.7123287671232877,2017
2016-12-31,4,5585,4425,1842,3052,0.73,-0.020003509387611862,-0.07793290268806001,0.8165680473372781,-0.3466067223292657,0.8249999999999998,2016
2016-09-30,3,5699,4799,1014,4671,0.4,0.01713367838657862,0.056815679365778464,-339.0,-0.11867924528301886,-0.06432748538011689,2016
2016-06-30,2,5603,4541,-3,5300,0.4275,-0.08372853638593622,-0.11152416356877323,-1.0046439628482973,0.04392357691550128,0.6442307692307692,2016
2016-03-31,1,6115,5111,646,5077,0.26,-0.04438193467729333,-0.003703703703703704,-0.2004950495049505,-0.044059499152701936,-0.1875,2016
2015-12-31,4,6399,5130,808,5311,0.32,0.07636669470142977,0.04608482871125612,0.04935064935064935,0.11225130890052357,0.06666666666666674,2015
2015-09-30,3,5945,4904,770,4775,0.3,-0.0573965435230696,-0.06412213740458016,0.10473457675753228,-0.11311292719167905,0.07142857142857129,2015
2015-06-30,2,6307,5240,697,5384,0.28,0.04127455836222552,0.09440267335004177,0.2672727272727273,0.0507416081186573,0.2727272727272728,2015
2015-03-31,1,6057,4788,550,5124,0.22,-0.09812388326384752,-0.05169340463458111,-2.7133956386292835,-0.27473460721868365,-2.692307692307692,2015
2014-12-31,4,6716,5049,-321,7065,-0.13,0.016190043879558177,-0.027916827108201772,-2.263779527559055,0.1643045484508899,-2.3,2014
