Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,29124.0,10679.0,-2890,25590.0,-1.09,-0.05099547068982371,-0.05762442640310625,-1.8512518409425627,-0.05099202670127943,-1.8582677165354333,2022
2022-06-30,2,30689.0,11332.0,3395,26965.0,1.27,-0.08360954343217175,0.05276848755109625,-3.703025477707006,-0.12163262646991758,-3.8863636363636362,2022
2022-03-31,1,33489.0,10764.0,-1256,30699.0,-0.44,-0.1202385330741344,-0.2848790858357693,-1.3917654398003743,-0.07006543075245365,-1.3728813559322033,2022
2021-12-31,4,38066.0,15052.0,3206,33012.0,1.18,0.22214017401354866,0.3671207992733878,2.8487394957983194,0.14553404122423486,2.8064516129032255,2021
2021-09-30,3,31147.0,11010.0,833,28818.0,0.31,-0.022532559234269573,-0.12930011862396204,-0.8808468030324703,0.06390519437368479,-0.8779527559055118,2021
2021-06-30,2,31865.0,12645.0,6991,27087.0,2.54,0.02800270993967158,0.20359794403198173,-35.10243902439024,-0.1465704653580768,-37.28571428571428,2021
2021-03-31,1,30997.0,10506.0,-205,31739.0,-0.07,-0.08517545671870849,-0.3132435612498366,-1.0168405487554424,0.20346566564289234,-1.0158371040723984,2021
2020-12-31,4,33883.0,15298.0,12173,26373.0,4.42,0.4836237849198704,0.5955360867751356,1.87302336558886,0.2661065770523284,1.87012987012987,2020
2020-09-30,3,22838.0,9588.0,4237,20830.0,1.54,0.04944398492785589,-0.021532809470354117,-0.3709916864608076,0.23620178041543027,-0.37398373983739835,2020
2020-06-30,2,21762.0,9799.0,6736,16850.0,2.46,0.4130251282384261,0.7671776375112714,19.98442367601246,0.15640656097728364,48.2,2020
2020-03-31,1,15401.0,5545.0,321,14571.0,0.05,-0.3359348051052087,-0.49945838599025094,-0.9572797444769763,-0.16784694460308394,-0.9822064056939502,2020
2019-12-31,4,23192.0,11078.0,7514,17510.0,2.81,0.3928292595039337,0.4808180724502072,-0.25963149078726966,0.2761460534946433,-0.2701298701298701,2019
2019-09-30,3,16651.0,7481.0,10149,13721.0,3.85,-0.0053760229376978675,-0.06522554042234162,2.2781007751937983,0.04025777103866566,2.235294117647059,2019
2019-06-30,2,16741.0,8003.0,3096,13190.0,1.19,0.15710533591374068,0.35667062213934564,-0.2290836653386454,0.011658229789845069,-0.21710526315789477,2019
2019-03-31,1,14468.0,5899.0,4016,13038.0,1.52,-0.151785190830744,-0.281660983925962,-0.16455169544414397,-0.009195227600881525,-0.1739130434782609,2019
2018-12-31,4,17057.0,8212.0,4807,13159.0,1.84,0.3757864171640587,0.47010383100608666,0.6479259513198492,0.26140720858895705,0.6576576576576576,2018
2018-09-30,3,12398.0,5586.0,2917,10432.0,1.11,0.013819609125848393,-0.0064034151547491995,1.2216298552932217,-0.05309975492420804,1.2200000000000002,2018
2018-06-30,2,12229.0,5622.0,1313,11017.0,0.5,0.0681282208053105,-0.00618702492487184,-0.21798689696247767,0.1636037177862273,-0.23076923076923078,2018
