Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,34926,24532,6904,27029,0.85,0.15047104552342053,0.0012243898457268794,0.04939960480316157,0.2254159677199982,0.049382716049382616,2022
2022-09-30,3,30358,24502,6579,22057,0.81,0.20377493159919108,0.07995416078984485,0.10906945380984491,0.2035248540404867,0.10958904109589052,2022
2022-06-30,2,25219,22688,5932,18327,0.73,0.02725050916496945,-0.02324780437403134,-0.10121212121212121,0.0993341731149901,-0.08750000000000008,2022
2022-03-31,1,24550,23228,6600,16671,0.8,0.0580072401310119,0.05294650951949229,-0.025542595600177173,0.08351748342649161,-0.03614457831325291,2022
2021-12-31,4,23204,22060,6773,15386,0.83,-0.033488837054315226,-0.03101115698849161,-0.06707988980716253,0.021782441227254614,-0.023529411764705903,2021
2021-09-30,3,24008,22766,7260,15058,0.85,0.06136162687886826,0.06056088698406783,-0.19009370816599733,0.032926327342571,-0.1747572815533981,2021
2021-06-30,2,22620,21466,8964,14578,1.03,-0.05824555560181523,-0.05937513693527891,0.18571428571428572,-0.018514778159294417,0.1976744186046512,2021
2021-03-31,1,24019,22821,7560,14853,0.86,0.12728211385929505,0.1354296233643465,0.45161290322580644,-0.022056887016065313,0.45762711864406785,2021
2020-12-31,4,21307,20099,5208,15188,0.59,-0.017793758355229797,-0.011654209284028324,0.17297297297297298,-0.1142473902140316,0.15686274509803913,2020
2020-09-30,3,21693,20336,4440,17147,0.51,-0.09680239820134899,-0.08913374540894024,0.3520097442143727,-0.151936297541916,0.3783783783783784,2020
2020-06-30,2,24018,22326,3284,20219,0.37,-0.10162708060594726,-0.019370140993543287,-0.07257836769274216,-0.08939830661142137,-0.07500000000000007,2020
2020-03-31,1,26735,22767,3541,22204,0.4,-0.014741109268472453,0.01870329768669739,-0.47525192649673975,0.17072656332384267,-0.4666666666666666,2020
2019-12-31,4,27135,22349,6748,18966,0.75,-0.049095878889823384,-0.020081553908887623,0.27996965098634297,-0.12506343128661715,0.33928571428571414,2019
2019-09-30,3,28536,22807,5272,21677,0.56,-0.020021291939970466,-0.011999653439611853,-0.2584048389365593,0.07524801587301587,-0.24324324324324317,2019
2019-06-30,2,29119,23084,7109,20160,0.74,0.011111496926976631,0.003477656059815684,0.03493958363662833,0.006389776357827476,0.0571428571428572,2019
2019-03-31,1,28799,23004,6869,20032,0.7,0.02820521975079439,0.014419896811747586,-0.024151157834919734,0.03733623323494382,0.0,2019
2018-12-31,4,28009,22677,7039,19311,0.7,0.01379035760822354,-0.002068297834888224,0.050440232801074465,0.03633143715788344,0.06060606060606049,2018
2018-09-30,3,27628,22724,6701,18634,0.66,0.019859726836471022,0.00776087631380549,0.036343952984843796,0.002259036144578313,0.04761904761904766,2018
2018-06-30,2,27090,22549,6466,18592,0.63,0.007063197026022305,-0.02258344169917642,-0.0036979969183359015,0.004647141467632119,0.01612903225806453,2018
2018-03-31,1,26900,23070,6490,18506,0.62,0.15738748816797177,0.14151410192973776,2.121693121693122,0.08342602892102335,1.9523809523809526,2018
2017-12-31,4,23242,20210,2079,17081,0.21,-0.08261298598776397,-0.07459132744173268,-0.5807622504537205,-0.036278492439629884,-0.5434782608695652,2017
2017-09-30,3,25335,21839,4959,17724,0.46,-0.02516449266997576,-0.043365894257304305,0.04510010537407798,-0.008059100067159167,0.0454545454545455,2017
