Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,21466,19186,4306,16200,2.02,0.12824555870913487,0.0907953834783103,0.9292114695340502,0.07455558503581852,0.32894736842105265,2022
2021-12-31,4,19026,17589,2232,15076,1.52,-0.019581572709471296,0.025358516963973416,-0.5193798449612403,0.11311281748375665,-0.29302325581395344,2021
2021-09-30,3,19406,17154,4644,13544,2.15,-0.016820346539669673,-0.0183129220556255,-0.21818181818181817,0.09313962873284908,-0.24561403508771934,2021
2021-06-30,2,19738,17474,5940,12390,2.85,-0.09020511638626412,-0.11150658463415875,-0.2520775623268698,0.08817846478131038,-0.212707182320442,2021
2021-03-31,1,21695,19667,7942,11386,3.62,0.13806850967843468,0.11100440628177607,1.3400117855038303,-0.16414623403318163,0.8854166666666667,2021
2020-12-31,4,19063,17702,3394,13622,1.92,-0.05267604233961139,0.02311871459946827,0.07883026064844247,-0.15752365637949162,0.4117647058823528,2020
2020-09-30,3,20123,17302,3146,16169,1.36,-0.13542427497314716,-0.12465850450268137,2.9178082191780823,-0.2705494902102319,2.5789473684210527,2020
2020-06-30,2,23275,19766,803,22166,0.38,-0.11763590871180529,-0.04654864695383725,-0.6833596214511041,-0.0466236559139785,-0.6415094339622641,2020
2020-03-31,1,26378,20731,2536,23250,1.06,0.05825242718446602,0.0820502113889034,-0.4257246376811594,0.20942571785268416,-0.5069767441860464,2020
2019-12-31,4,24926,19159,4416,19224,2.15,-0.04534661049406358,0.03149563906536018,-0.10116018725829432,-0.043010752688172046,0.03864734299516912,2019
2019-09-30,3,26110,18574,4913,20088,2.07,-0.01546003016591252,-0.009809148096812027,0.10330114529530654,-0.013117170228445099,0.06153846153846148,2019
2019-06-30,2,26520,18758,4453,20355,1.95,0.02421503881357896,0.00979758828596038,0.014581909318751423,0.02384185906141542,0.04278074866310152,2019
2019-03-31,1,25893,18576,4389,19881,1.87,0.07990991366726446,0.08479327259985985,0.3275862068965517,0.0648063842322318,0.14024390243902451,2019
2018-12-31,4,23977,17124,3306,18671,1.64,-0.0315062406592075,-0.0687911251291533,-0.28472522717438337,0.0009649922264515091,-0.05202312138728328,2018
2018-09-30,3,24757,18389,4622,18653,1.73,0.016547589718321425,-0.004331582652011478,0.12102837739510065,0.013254386441414525,0.0613496932515338,2018
2018-06-30,2,24354,18469,4123,18409,1.63,0.013398801597869507,-0.0213543874523103,-0.10757575757575757,0.026028313454464384,-0.029761904761904788,2018
2018-03-31,1,24032,18872,4620,17942,1.68,0.09033165464361871,0.07815356489945155,-1.2375321336760925,0.059024908511391805,-1.2346368715083798,2018
2017-12-31,4,22041,17504,-19450,16942,-7.16,-0.033204667076059305,-0.04967696400456051,-6.107668067226891,0.008752604941947009,-6.042253521126761,2017
2017-09-30,3,22798,18419,3808,16795,1.42,0.027353431571357757,0.014541448636739191,0.0867579908675799,0.017077454127051413,0.10937499999999992,2017
2017-06-30,2,22191,18155,3504,16513,1.28,0.011809228524530367,-0.011488620276598062,-0.1432762836185819,0.03523290075857313,-0.13513513513513511,2017
2017-03-31,1,21932,18366,4090,15951,1.48,0.03394305110314916,0.024088323854131816,0.27652933832709115,-0.009992552135054617,0.2982456140350878,2017
2016-12-31,4,21212,17934,3204,16112,1.14,0.013279831852488775,0.009797297297297298,-0.10050533408197641,0.052109181141439205,-0.08064516129032265,2016
2016-09-30,3,20934,17760,3562,15314,1.24,0.012870137410489646,0.012081148848871666,-0.01683687551752691,0.027923211169284468,0.0,2016
2016-06-30,2,20668,17548,3623,14898,1.24,0.0084410831910222,-0.0003987467957846767,0.11442633035988926,-0.0393345370131545,0.12727272727272718,2016
2016-03-31,1,20495,17555,3251,15508,1.1,-0.040361473989792576,-0.048818812310359776,0.09608900876601484,-0.06290410296694664,0.06796116504854374,2016
2015-12-31,4,21357,18456,2966,16549,1.03,-0.01275828595201775,-0.01262572223411085,-0.2696380201920709,0.07141007380551599,-0.23703703703703707,2015
2015-09-30,3,21633,18692,4061,15446,1.35,-0.03942986545890502,-0.03995891114535182,-0.11331877729257642,-0.011582517437767966,-0.1059602649006622,2015
