Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,16597,4983,1454,14917,2.78,0.1069094304388422,0.039858096828046745,-0.2876041156295933,0.18680881533932692,-0.2816537467700259,2022
2022-09-30,3,14994,4792,2041,12569,3.87,0.05243209096651927,0.12172284644194757,0.2199641362821279,0.021620742908233764,0.2364217252396167,2022
2022-06-30,2,14247,4272,1673,12303,3.13,0.04842151740378247,0.060049627791563275,0.08848405985686401,0.04849156297937617,0.09440559440559441,2022
2022-03-31,1,13589,4030,1537,11734,2.86,-0.015147122771416147,0.061923583662714096,-0.275,-0.03717075572331172,-0.26666666666666666,2022
2021-12-31,4,13798,3795,2120,12187,3.9,0.11301121239009437,0.003968253968253968,0.48667601683029454,0.13547004565359172,0.4999999999999999,2021
2021-09-30,3,12397,3780,1426,10733,2.6,-0.03817208472340756,-0.05688622754491018,0.009200283085633405,-0.033063063063063065,0.015625000000000014,2021
2021-06-30,2,12889,4008,1413,11100,2.56,0.08429376629931859,0.03432258064516129,-0.07647058823529412,0.10195572322049042,-0.07581227436823103,2021
2021-03-31,1,11887,3875,1530,10073,2.77,0.05803293279928794,0.12286293827875978,0.9615384615384616,0.022120750887874175,0.9507042253521127,2021
2020-12-31,4,11235,3451,780,9855,1.42,0.13703066491245824,0.1650911546252532,0.16766467065868262,0.10780125899280575,0.16393442622950816,2020
2020-09-30,3,9881,2962,668,8896,1.22,-0.011603481044313293,0.027045769764216365,0.4585152838427948,-0.034407901877781394,0.4523809523809524,2020
2020-06-30,2,9997,2884,458,9213,0.84,-0.05999059708509638,-0.1439596319382606,-0.5805860805860806,-0.0019499512512187196,-0.5757575757575758,2020
2020-03-31,1,10635,3369,1092,9231,1.98,-0.19088557516737675,-0.1633970697789918,-0.00546448087431694,-0.18266336107667788,-0.010000000000000009,2020
2019-12-31,4,13144,4027,1098,11294,2.0,0.03025552594450541,-0.03867271425161136,-0.26506024096385544,0.05177872974483144,-0.24812030075187974,2019
2019-09-30,3,12758,4189,1494,10738,2.66,-0.11599223946784923,-0.0672456023157426,-0.07777777777777778,-0.12120468123414355,-0.06007067137809185,2019
2019-06-30,2,14432,4491,1620,12219,2.83,0.07173622456557255,0.006273806856374636,-0.13875598086124402,0.08526512123634426,-0.1292307692307692,2019
2019-03-31,1,13466,4463,1881,11259,3.25,-0.061079347371356854,0.024799081515499425,0.7948473282442748,-0.0963159162051529,0.7857142857142857,2019
2018-12-31,4,14342,4355,1048,12459,1.82,0.0615840118430792,-0.029634581105169342,-0.3931673422119282,0.0952967032967033,-0.3680555555555555,2018
2018-09-30,3,13510,4488,1727,11375,2.88,-0.03575761901363215,-0.022009152320767052,0.011716461628588167,-0.03959810874704492,0.02127659574468087,2018
2018-06-30,2,14011,4589,1707,11844,2.82,0.08958705964693989,0.06894945259725134,0.025225225225225224,0.10166496139893963,0.029197080291970663,2018
2018-03-31,1,12859,4293,1665,10751,2.74,-0.0028691066997518612,0.09208852709234291,-2.2817551963048497,-0.06586149969589017,-2.256880733944954,2018
2017-12-31,4,12896,3931,-1299,11509,-2.18,0.12993954262682905,0.05247657295850067,-2.226628895184136,0.1620557350565428,-2.231638418079096,2017
2017-09-30,3,11413,3735,1059,9904,1.77,0.007236784043773718,0.06258890469416785,0.3204488778054863,-0.023947964915738643,0.31111111111111106,2017
2017-06-30,2,11331,3515,802,10147,1.35,0.15363469761759316,0.16352201257861634,3.1770833333333335,0.07466638424062698,3.21875,2017
2017-03-31,1,9822,3021,192,9442,0.32,0.025903488614998957,0.31462140992167104,-1.1639624252775405,-0.07176563114431773,-1.1616161616161615,2017
2016-12-31,4,9574,2298,-1171,10172,-1.98,0.04519650655021834,-0.12723129510064565,-5.137809187279152,0.1720244267772785,-5.125,2016
2016-09-30,3,9160,2633,283,8679,0.48,-0.11429123960549217,-0.09921313718782074,-0.48545454545454547,-0.09186983362980014,-0.48387096774193555,2016
2016-06-30,2,10342,2923,550,9557,0.93,0.09311912060035937,0.10761652140962485,1.029520295202952,0.06579681052748969,1.0217391304347827,2016
2016-03-31,1,9461,2639,271,8967,0.46,-0.14224841341795105,-0.05412186379928315,-3.882978723404255,-0.1997322623828648,-5.6000000000000005,2016
2015-12-31,4,11030,2790,-94,11205,-0.1,0.0062032475825579275,-0.0970873786407767,-1.1681574239713775,0.11636943309753911,-1.1063829787234043,2015
2015-09-30,3,10962,3090,559,10037,0.94,-0.11001055451814565,-0.15179796870710952,-0.3029925187032419,-0.0862163146394756,-0.28244274809160314,2015
2015-06-30,2,12317,3643,802,10984,1.31,-0.03031018737206739,-0.07584982242516489,-0.35582329317269074,-0.0014545454545454545,-0.3546798029556649,2015
2015-03-31,1,12702,3942,1245,11000,2.03,-0.10825610783487784,0.4108804581245526,-3.5617283950617282,-0.27607765712405397,-3.7432432432432425,2015
2014-12-31,4,14244,2794,-486,15195,-0.74,0.05129529854601816,-0.2863346104725415,-1.4778761061946903,0.24989717858024182,-1.45398773006135,2014
2014-09-30,3,13549,3915,1017,12157,1.63,-0.04247349823321555,-0.009612952188211486,0.018018018018018018,-0.04086785009861933,0.038216560509554034,2014
2014-06-30,2,14150,3953,999,12675,1.57,0.06865040404803263,0.03916929547844374,0.08351409978308026,0.07025246981339188,0.09027777777777786,2014
2014-03-31,1,13241,3804,922,11843,1.44,-0.08061380363838355,-0.014763014763014764,-0.08075772681954138,-0.08548262548262549,-0.06493506493506498,2014
2013-12-31,4,14402,3861,1003,12950,1.54,0.07293451538404232,0.05809810907097835,0.06025369978858351,0.07719181500582266,0.062068965517241434,2013
2013-09-30,3,13423,3649,946,12022,1.45,-0.08193694001778264,-0.05171517671517672,-0.014583333333333334,-0.0797611757501531,0.0,2013
2013-06-30,2,14621,3848,960,13064,1.45,0.10681302043906132,0.07756930831699804,0.09090909090909091,0.08939292861907938,0.1068702290076335,2013
2013-03-31,1,13210,3571,880,11992,1.31,-0.1782270606531882,-0.14487547892720307,0.26255380200860834,-0.20250049876970141,0.2718446601941748,2013
2012-12-31,4,16075,4176,697,15037,1.03,-0.02249923989054424,-0.13108614232209737,-0.5897586815773985,0.0857823669579031,-0.5944881889763779,2012
2012-09-30,3,16445,4806,1699,13849,2.54,-0.05347070334983308,-0.05653710247349823,0.0,-0.061593711885079276,0.0,2012
2012-06-30,2,17374,5094,1699,14758,2.54,0.08716600963644328,0.07377740303541315,0.0712484237074401,0.08053887831307659,0.07172995780590714,2012
2012-03-31,1,15981,4744,1586,13658,2.37,-0.07318912022269906,0.05892857142857143,0.025210084033613446,-0.10632729176208859,0.01716738197424894,2012
2011-12-31,4,17243,4480,1547,15283,2.33,0.09716212776787987,0.05139638582492373,0.3558282208588957,0.09500609013398295,0.36257309941520477,2011
2011-09-30,3,15716,4261,1141,13957,1.71,0.10442726633872101,0.08505220269926152,0.12413793103448276,0.10515480243883125,0.12499999999999996,2011
2011-06-30,2,14230,3927,1015,12629,1.52,0.09892655803536952,0.008992805755395683,-0.17142857142857143,0.1361101115509176,-0.1739130434782609,2011
2011-03-31,1,12949,3892,1225,11116,1.84,0.011087686421488248,0.12550607287449392,0.265495867768595,-0.03473428273706148,0.2432432432432433,2011
2010-12-31,4,12807,3458,968,11516,1.48,0.15026046344530267,0.02247191011235955,0.2222222222222222,0.1577360008042626,0.21311475409836067,2010
2010-09-30,3,11134,3382,792,9947,1.22,0.06965126332981074,0.11359894632861377,0.12022630834512023,0.054601357082273115,0.11926605504587146,2010
2010-06-30,2,10409,3037,707,9432,1.09,0.2635348385530469,0.2956484641638225,2.0343347639484977,0.2201811125485123,2.027777777777778,2010
2010-03-31,1,8238,2344,233,7730,0.36,0.04304887313243859,0.14565004887585534,0.004310344827586207,-0.005148005148005148,-0.05263157894736847,2010
2009-12-31,4,7898,2046,232,7770,0.38,0.08221430528912031,0.0014684287812041115,-0.42574257425742573,0.10667996011964108,-0.40625,2009
2009-09-30,3,7298,2043,404,7021,0.64,-0.08489028213166144,-0.08097165991902834,0.0889487870619946,-0.07957524908232827,0.06666666666666674,2009
2009-06-30,2,7975,2223,371,7628,0.6,-0.13550135501355012,0.011373976342129208,-4.3125,-0.18851063829787235,-4.157894736842105,2009
2009-03-31,1,9225,2198,-112,9400,-0.19,0.0,0.0,0.0,0.0,0.0,2009
