Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2023-02-28,1,55266,6843,1466,53363,3.3,0.01522861289196686,0.02624475104979004,0.0747800586510264,0.012849713396348175,0.07491856677524429,2023
2022-11-30,4,54437,6668,1364,52686,3.07,-0.24488493709339584,-0.21856322512598148,-0.2698072805139186,-0.24295197861884646,-0.2690476190476191,2022
2022-08-31,3,72091,8533,1868,69594,4.2,0.37065556316069664,0.36724883832719113,0.38063562453806354,0.3698258045467966,0.3815789473684211,2022
2022-05-31,2,52596,6241,1353,50805,3.04,0.013332305795314426,-0.022858932206043524,0.04157043879907621,0.014233809789986425,0.04109589041095894,2022
2022-02-28,1,51904,6387,1299,50092,2.92,0.030597859539741475,-0.003743565746373421,-0.0188821752265861,0.02921717690569139,-0.020134228187919483,2022
2021-11-30,4,50363,6411,1324,48670,2.98,-0.19644196250498605,-0.19277260135985896,-0.20718562874251498,-0.19420529801324504,-0.20744680851063826,2021
2021-08-31,3,62675,7942,1670,60400,3.76,0.3842569074806193,0.35482770385533946,0.36885245901639346,0.38487641582977944,0.3672727272727272,2021
2021-05-31,2,45277,5862,1220,43614,2.75,0.011347137528200317,0.030047443331576173,0.28286014721345953,0.00425982638329227,0.28504672897196254,2021
2021-02-28,1,44769,5691,951,43429,2.14,0.0361275689687095,-0.01026086956521739,-0.1843910806174957,0.03951840681698501,-0.18320610687022898,2021
2020-11-30,4,43208,5750,1166,41778,2.62,-0.19060375025757265,-0.17645373818390145,-0.1605471562275018,-0.18805146344307536,-0.16293929712460056,2020
2020-08-31,3,53383,6982,1389,51454,3.13,0.4324853754092202,0.39166832768586807,0.6575178997613366,0.42583201706985896,0.6560846560846562,2020
2020-05-31,2,37266,5017,838,36087,1.89,-0.04622235872235872,0.00019936204146730463,-0.09989258861439312,-0.0454689731788605,-0.10000000000000009,2020
