Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-01-31,1,7326,5312,-28,7502,-0.05,0.06746320850939823,0.05837816298067344,-1.0598290598290598,0.09919413919413919,-1.1063829787234043,2022
2021-10-31,4,6863,5019,468,6825,0.47,0.08249211356466878,0.06177279458430294,-0.1252336448598131,0.13598535286284955,-0.16071428571428584,2021
2021-07-31,3,6340,4727,535,6008,0.56,0.06322320979372799,0.07236842105263158,0.14072494669509594,0.07113567480834374,0.1200000000000001,2021
2021-04-30,2,5963,4408,469,5609,0.5,0.025098848203541343,0.016136468418626097,0.7565543071161048,-0.0026671408250355617,0.8518518518518517,2021
2021-01-31,1,5817,4338,267,5624,0.27,0.07344528510795349,0.0777639751552795,-0.7530064754856615,0.08257940327237728,-0.7652173913043477,2021
2020-10-31,4,5419,4025,1081,5195,1.15,0.052028732284993204,0.048177083333333336,-0.5881904761904762,0.044641061733360146,-0.5964912280701755,2020
2020-07-31,3,5151,3840,2625,4973,2.85,0.05878725590955807,0.06341733591802824,25.515151515151516,-0.006393606393606394,24.90909090909091,2020
2020-04-30,2,4865,3611,99,5005,0.11,0.002886002886002886,-0.00550812448361333,-1.3991935483870968,0.024145692653979946,-1.3333333333333333,2020
2020-01-31,1,4851,3631,-248,4887,-0.33,0.07489474850432085,0.07457827759692216,1.275229357798165,0.09869604316546762,1.7500000000000002,2020
2019-10-31,4,4513,3379,-109,4448,-0.12,0.12909682261696273,0.11518151815181518,-2.197802197802198,0.1292206143691292,-2.090909090909091,2019
2019-07-31,3,3997,3030,91,3939,0.11,0.06957452502006957,0.07332624867162593,-0.7678571428571429,0.11681315565636519,-0.7755102040816326,2019
2019-04-30,2,3737,2823,392,3527,0.49,0.03719122953094643,0.0624764772299586,0.08287292817679558,0.017599538372763995,0.08888888888888884,2019
2019-01-31,1,3603,2657,362,3466,0.45,0.06220518867924528,0.06152616859768278,2.447619047619048,0.0503030303030303,2.4615384615384617,2019
2018-10-31,4,3392,2503,105,3300,0.13,0.03383114903992685,0.02919407894736842,-0.6488294314381271,0.04232469993682881,-0.6666666666666666,2018
2018-07-31,3,3281,2432,299,3166,0.39,0.09148369926813041,0.08619919606967397,-0.1308139534883721,0.12468916518650089,-0.15217391304347827,2018
2018-04-30,2,3006,2239,344,2815,0.46,0.049214659685863874,0.052656323460272686,0.6699029126213593,0.06066314996232103,0.5862068965517243,2018
2018-01-31,1,2865,2127,206,2654,0.29,0.060718252499074414,0.07045797684952189,0.9252336448598131,0.04241948153967007,1.0714285714285712,2018
2017-10-31,4,2701,1987,107,2546,0.14,0.04811796662786186,0.04195070791819612,1.326086956521739,0.02125952667468913,1.3333333333333337,2017
2017-07-31,3,2577,1907,46,2493,0.06,0.07509386733416772,0.09221076746849943,45.0,0.041788549937317176,-0.1111111111111112,2017
2017-04-30,2,2397,1746,1,2393,0.0675,0.02479692176143651,0.01926444833625219,-0.9891304347826086,0.08329560887279312,-0.43749999999999994,2017
2017-01-31,1,2339,1713,92,2209,0.12,0.09044289044289044,0.09878127004490057,-3.4864864864864864,0.03127917833800187,-3.3999999999999995,2017
2016-10-31,4,2145,1559,-37,2142,-0.05,0.053019145802650956,0.03176704169424222,-1.1608695652173913,0.0688622754491018,-1.1515151515151514,2016
2016-07-31,3,2037,1511,230,2004,0.33,0.06259780907668232,0.06408450704225352,4.897435897435898,0.07453083109919571,4.500000000000001,2016
2016-04-30,2,1917,1420,39,1865,0.06,0.05970149253731343,0.03953147877013177,-2.5,0.042481833426495245,-2.5,2016
2016-01-31,1,1809,1366,-26,1789,-0.04,0.0566588785046729,0.06055900621118013,0.04,0.07189934092270821,-0.0,2016
2015-10-31,4,1712,1288,-25,1669,-0.04,0.04709480122324159,0.04800650935720097,24.0,0.03343653250773994,-0.058823529411764754,2015
2015-07-31,3,1635,1229,-1,1615,-0.0425,0.08206485771012574,0.08857395925597875,-1.25,0.09121621621621621,-5.25,2015
2015-04-30,2,1511,1129,4,1480,0.01,0.045674740484429065,0.03673094582185491,-1.0606060606060606,0.000676132521974307,-1.0999999999999999,2015
2015-01-31,1,1445,1089,-66,1479,-0.1,0.04407514450867052,0.037142857142857144,0.6923076923076923,0.051920341394025606,0.6666666666666669,2015
2014-10-31,4,1384,1050,-39,1406,-0.06,0.04927975739196361,0.03857566765578635,-0.36065573770491804,0.03994082840236687,-0.4000000000000001,2014
2014-07-31,3,1319,1011,-61,1352,-0.1,0.07497962510187449,0.08244111349036402,-0.3711340206185567,0.054602184087363496,-0.375,2014
2014-04-30,2,1227,934,-97,1282,-0.16,0.07161572052401746,0.07110091743119266,-0.17094017094017094,0.02642113690952762,-0.11111111111111106,2014
2014-01-31,1,1145,872,-117,1249,-0.18,0.06412639405204461,0.07920792079207921,-0.056451612903225805,0.06388415672913117,-0.14285714285714285,2014
2013-10-31,4,1076,808,-124,1174,-0.21,0.12434691745036573,0.09336941813261164,-2.6103896103896105,0.17753259779338015,-2.7499999999999996,2013
2013-07-31,3,957,739,77,997,0.12,0.07166853303471445,0.0804093567251462,-2.1323529411764706,0.064034151547492,-2.0,2013
2013-04-30,2,893,684,-68,937,-0.12,0.06946107784431138,0.05069124423963134,2.238095238095238,0.09590643274853801,3.0,2013
2013-01-31,1,835,651,-21,855,-0.03,0.05964467005076142,0.08139534883720931,-0.9045454545454545,0.014234875444839857,-0.923076923076923,2013
2012-10-31,4,788,602,-220,843,-0.39,0.07650273224043716,0.05799648506151142,21.0,0.13154362416107382,18.5,2012
2012-07-31,3,732,569,-10,745,-0.02,0.053237410071942444,0.04595588235294118,-0.47368421052631576,0.037604456824512536,-0.5,2012
2012-04-30,2,695,544,-19,718,-0.04,0.09968354430379747,0.0967741935483871,3.75,0.12539184952978055,3.0,2012
2012-01-31,1,632,496,-4,638,-0.01,0.0821917808219178,0.08771929824561403,-0.0,0.07407407407407407,-0.0,2012
2011-10-31,4,584,456,-4,594,-0.01,0.0695970695970696,0.07294117647058823,-0.0,0.05693950177935943,-0.0,2011
2011-07-31,3,546,425,-4,562,-0.01,0.08333333333333333,0.059850374064837904,-5.0,0.10848126232741617,-2.0,2011
2011-04-30,2,504,401,1,507,0.009999999999999998,0.10284463894967177,0.09863013698630137,-0.9090909090909091,0.10940919037199125,-0.5000000000000001,2011
2011-01-31,1,457,365,11,457,0.02,0.06526806526806526,0.05187319884726225,-0.47619047619047616,0.1598984771573604,-0.5,2011
2010-10-31,4,429,347,21,394,0.04,0.08883248730964467,0.0946372239747634,0.4,0.07945205479452055,0.3333333333333334,2010
2010-07-31,3,394,317,15,365,0.03,0.04509283819628647,0.03934426229508197,-0.16666666666666666,0.061046511627906974,0.0,2010
2010-04-30,2,377,305,18,344,0.03,0.06497175141242938,0.06643356643356643,-0.1,0.04559270516717325,-0.25000000000000006,2010
2010-01-31,1,354,286,20,329,0.04,0.06948640483383686,0.07924528301886792,-0.047619047619047616,0.09666666666666666,0.0,2010
2009-10-31,4,331,265,21,300,0.04,0.04746835443037975,0.04330708661417323,0.0,0.04529616724738676,0.0,2009
2009-07-31,3,316,254,21,287,0.04,0.036065573770491806,0.04526748971193416,0.16666666666666666,0.04363636363636364,0.0,2009
2009-04-30,2,305,243,18,275,0.04,0.05172413793103448,0.05194805194805195,0.2857142857142857,0.007326007326007326,0.3333333333333334,2009
2009-01-31,1,290,231,14,273,0.03,0.0,0.0,0.0,0.0,0.0,2009
