Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2023-01-31,1,12652,4718,1959,10159,6.55,-0.18563336766220392,-0.11349116873355881,-0.12778272484416742,-0.19698047585171133,-0.11366711772665763,2023
2022-10-31,4,15536,5322,2246,12651,7.39,0.10168770387179124,0.1592245698104988,0.1921443736730361,0.09409322840093401,0.1996753246753246,2022
2022-07-31,3,14102,4591,1884,11563,6.16,0.05474943904263276,0.031221922731356693,-0.10200190657769304,0.06886670364207802,-0.09544787077826718,2022
2022-04-30,2,13370,4452,2098,10818,6.81,0.3972201901975128,0.5490605427974948,1.3233665559246954,0.2851033499643621,1.3321917808219177,2022
2022-01-31,1,9569,2874,903,8418,2.92,-0.15520437891763045,-0.18305855599772597,-0.2956318252730109,-0.13350488934637159,-0.29126213592233013,2022
2021-10-31,4,11327,3518,1282,9715,4.12,-0.01735056823110957,-0.11004300531242095,-0.23095380923815237,0.03604564359603284,-0.2255639097744361,2021
2021-07-31,3,11527,3953,1667,9377,5.32,-0.04403715375684193,-0.04285714285714286,-0.06871508379888268,-0.03786168684588549,-0.06338028169014075,2021
2021-04-30,2,12058,4130,1790,9746,5.68,0.3233099209833187,0.24886604172966434,0.4624183006535948,0.28507383966244726,0.4677002583979327,2021
2021-01-31,1,9112,3307,1224,7584,3.87,-0.06361113965676703,0.01441717791411043,0.6169088507265522,-0.11967498549042369,0.6260504201680673,2021
2020-10-31,4,9731,3260,757,8615,2.38,0.09030812324929972,0.05501618122977346,-0.06658446362515413,0.12540822991508818,-0.07392996108949415,2020
2020-07-31,3,8925,3090,811,7655,2.57,-0.03544796282286826,0.04427171341669483,0.21771771771771772,-0.08048048048048048,0.21800947867298578,2020
2020-04-30,2,9253,2959,666,8325,2.11,0.21255405582492465,0.15857478465152702,0.28820116054158607,0.1788445199660153,0.294478527607362,2020
2020-01-31,1,7631,2554,517,7062,1.63,-0.22888035569927243,-0.1920278392913635,-0.2829403606102635,-0.2214750303163929,-0.2850877192982456,2020
2019-10-31,4,9896,3161,721,9071,2.28,-0.013949780789159028,-0.0015792798483891346,-0.19799777530589543,0.016586349882326573,-0.1886120996441282,2019
2019-07-31,3,10036,3166,899,8923,2.81,-0.11514724034561806,-0.11736827432394759,-0.20792951541850221,-0.0958557097983585,-0.20170454545454544,2019
2019-04-30,2,11342,3587,1135,9869,3.52,0.4205911823647295,0.40556426332288403,1.2791164658634537,0.3506226905706856,1.2857142857142856,2019
2019-01-31,1,7984,2552,498,7307,1.54,-0.15217160454497186,-0.15914332784184515,-0.36560509554140125,-0.13393386274742208,-0.37142857142857144,2019
2018-10-31,4,9417,3035,785,8437,2.45,-0.08643771827706635,-0.03833967046894803,-0.13736263736263737,-0.07468743145426629,-0.1187050359712229,2018
2018-07-31,3,10308,3156,910,9118,2.78,-0.038432835820895524,-0.06820194862710363,-0.24668874172185432,-0.023350471293916025,-0.24250681198910085,2018
2018-04-30,2,10720,3387,1208,9336,3.67,0.5504772924501012,0.533272974196469,-3.257943925233645,0.4596622889305816,-3.2108433734939763,2018
2018-01-31,1,6914,2209,-535,6396,-1.66,-0.1376901970566226,-0.153639846743295,-2.049019607843137,-0.11791477037649979,-2.044025157232704,2018
2017-10-31,4,8018,2610,510,7251,1.59,0.026895491803278687,0.01992966002344666,-0.205607476635514,0.04813529921942758,-0.19289340101522837,2017
2017-07-31,3,7808,2559,642,6918,1.97,-0.057801375648606254,-0.1049317943336831,-0.20544554455445543,-0.028097780275358246,-0.21200000000000002,2017
2017-04-30,2,8287,2859,808,7118,2.5,0.47324444444444447,0.5504338394793926,3.0603015075376883,0.3437794978289598,3.032258064516129,2017
2017-01-31,1,5625,1844,199,5297,0.62,-0.13726993865030676,-0.1576062128825948,-0.3041958041958042,-0.1294987674609696,-0.3111111111111111,2017
2016-10-31,4,6520,2189,286,6085,0.9,-0.030339083878643664,-0.018385650224215247,-0.41513292433537835,0.010965276624023924,-0.41935483870967744,2016
2016-07-31,3,6724,2230,489,6019,1.55,-0.14615873015873015,-0.04863481228668942,-0.012121212121212121,-0.15723886866423972,-0.006410256410256416,2016
