Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,20150,6592,162,19608,0.09,-0.06296502976190477,-0.15724878547686014,-0.8850248403122782,0.02584493041749503,-0.8831168831168832,2022
2022-06-30,2,21504,7822,1409,19114,0.77,0.11714894280222349,0.17535687453042825,1.9978723404255319,0.07117238287379511,1.9615384615384615,2022
2022-03-31,1,19249,6655,470,17844,0.26,-0.11778724964480498,-0.08232211803640375,-0.5742753623188406,-0.0906589206543342,-0.5666666666666667,2022
2021-12-31,4,21819,7252,1104,19623,0.6,0.1772418258336031,0.17099951558210882,5.943396226415095,0.08853386586786487,5.666666666666667,2021
2021-09-30,3,18534,6193,159,18027,0.09,0.08882622488544237,0.0697875280704785,-0.826797385620915,0.1480703095147115,-0.8200000000000001,2021
2021-06-30,2,17022,5789,918,15702,0.5,0.09024530839684879,-0.007202881152460984,0.018867924528301886,0.07688087236815033,0.02040816326530614,2021
2021-03-31,1,15613,5831,901,14581,0.49,-0.03914087020739738,0.30330800178810907,52.0,-0.09451654971123394,48.0,2021
2020-12-31,4,16249,4474,17,16103,0.01,0.10484803154960223,0.21115322144017326,-1.023943661971831,0.03536295248505111,-1.0263157894736843,2020
2020-09-30,3,14707,3694,-710,15553,-0.38,0.24857797775702523,-0.04867370589750193,-0.8496081338699428,-0.07284649776453055,-0.8544061302681992,2020
2020-06-30,2,11779,3883,-4721,16775,-2.61,-0.34651872399445216,-0.3621879106438896,-11.263043478260869,-0.0020227259206377535,-11.44,2020
2020-03-31,1,18025,6088,460,16809,0.25,-0.13660966613977105,-0.22376641591227847,-0.7816801139060275,-0.07602242744063324,-0.7844827586206896,2020
2019-12-31,4,20877,7843,2107,18192,1.16,0.09189330543933054,0.07837206104771072,0.9990512333965844,0.06007808402773731,3.4615384615384612,2019
2019-09-30,3,19120,7273,1054,17161,0.26,-0.056361662224854406,-0.02047138047138047,-0.4011363636363636,-0.03143695676712947,-0.7319587628865979,2019
2019-06-30,2,20262,7425,1760,17718,0.97,0.3578608765581021,0.13428047662694775,-0.6771826852531181,0.4527714004591669,-0.7267605633802817,2019
2019-03-31,1,14922,6546,5452,12196,3.55,-0.02489707900411684,0.03871786734370041,0.9555236728837877,0.026167437946992007,0.9086021505376343,2019
2018-12-31,4,15303,6302,2788,11885,1.86,0.06969103872501048,0.016779606324620847,0.20068906115417742,0.05851442821517634,0.20000000000000004,2018
2018-09-30,3,14306,6198,2322,11228,1.55,-0.060608050430100466,-0.0992588286586252,-0.2037037037037037,-0.006811145510835914,-0.2051282051282051,2018
2018-06-30,2,15229,6881,2916,11305,1.95,0.046810558152323344,-0.017982017982017984,-0.007150153217568948,0.0742113264918282,0.0,2018
2018-03-31,1,14548,7007,2937,10524,1.95,-0.05230929581134779,0.05813953488372093,-0.3359710603662672,-0.0906420115786745,-0.3298969072164949,2018
2017-12-31,4,15351,6622,4423,11573,2.91,0.20126770482823383,0.189937106918239,1.5317687464224385,0.12929352068696331,1.5752212389380535,2017
2017-09-30,3,12779,5565,1747,10248,1.13,-0.10247225733951398,-0.14660328170525994,-0.26162299239222314,-0.019330143540669857,-0.2516556291390729,2017
2017-06-30,2,14238,6521,2366,10450,1.51,0.0676364727054589,0.024187215329040366,-0.009212730318257957,0.09013144168579178,0.006666666666666672,2017
2017-03-31,1,13336,6367,2388,9586,1.5,-0.09794372294372294,-0.001724678582627783,-0.03670835014118596,-0.1346813504242643,-0.03225806451612906,2017
2016-12-31,4,14784,6378,2479,11078,1.55,0.12494293106072135,0.09268459825252698,0.3997741389045737,0.07428238944918542,0.3963963963963963,2016
2016-09-30,3,13142,5837,1771,10312,1.11,-0.07949849408138965,-0.17509892594686263,-0.31805929919137466,0.013364779874213837,-0.3018867924528302,2016
2016-06-30,2,14277,7076,2597,10176,1.59,0.1008558871154291,0.15904995904995906,0.21185254316378907,0.05933791380387258,0.2230769230769231,2016
2016-03-31,1,12969,6105,2143,9606,1.3,-0.14923904487011283,-0.07793384685092886,-0.25590277777777776,-0.15261115031757233,-0.24855491329479765,2016
2015-12-31,4,15244,6621,2880,11336,1.73,0.12818235642391948,0.07536137729413675,0.7899316345556247,0.08822117692233848,0.8210526315789475,2015
2015-09-30,3,13512,6157,1609,10417,0.95,0.031371651019006186,-0.043647095371233305,-0.35199355618203787,0.1154299175500589,-0.3448275862068966,2015
2015-06-30,2,13101,6438,2483,9339,1.45,0.05136024396115881,0.11557788944723618,0.17789373814041745,-0.0017103153393907002,0.17886178861788615,2015
2015-03-31,1,12461,5771,2108,9355,1.23,-0.06944963034874169,0.006277244986922406,-0.03391384051329056,-0.08131199057252284,-0.03149606299212601,2015
2014-12-31,4,13391,5735,2182,10183,1.27,0.08087819840180806,1.3935726210350585,0.45563709139426284,0.011623286310351678,0.4767441860465117,2014
2014-09-30,3,12389,2396,1499,10066,0.86,-0.006176800898443767,-0.6073418551294657,-0.3322939866369711,0.12243532560214095,-0.328125,2014
2014-06-30,2,12466,6102,2245,8968,1.28,0.07013477551721178,0.07486348423463096,0.17110067814293167,0.0289123451124369,0.18518518518518512,2014
2014-03-31,1,11649,5677,1917,8716,1.08,-0.05361930294906166,0.08257055682684973,0.04184782608695652,-0.09800269067577357,0.04854368932038839,2014
2013-12-31,4,12309,5244,1840,9663,1.03,0.06405601659751037,1.428902269569245,0.3199426111908178,0.016943801304988425,0.33766233766233766,2013
2013-09-30,3,11568,2159,1394,9502,0.77,-0.0008637070305752289,-0.28129161118508655,-0.24526258798050893,0.1005327773917072,-0.2376237623762376,2013
2013-06-30,2,11578,3004,1847,8634,1.01,0.09702482471101004,0.36856492027334853,0.22075346992729677,0.02541567695961995,0.21686746987951813,2013
2013-03-31,1,10554,2195,1513,8420,0.83,-0.06939423331275901,0.049235181644359464,0.09479015918958032,-0.0896313114931344,0.07792207792207785,2013
2012-12-31,4,11341,2092,1382,9249,0.77,0.051845668707104435,0.03359683794466403,0.11093247588424437,0.05018735097081867,0.13235294117647053,2012
2012-09-30,3,10782,2024,1244,8807,0.68,-0.027597402597402596,-0.3162162162162162,-0.3205898416166029,0.0826060233558697,-0.3267326732673267,2012
2012-06-30,2,11088,2960,1831,8135,1.01,0.1515214456329837,0.7545939537640782,0.6019247594050744,0.019423558897243107,0.6031746031746031,2012
2012-03-31,1,9629,1687,1143,7980,0.63,-0.10668893218294832,-0.2303832116788321,-0.2192622950819672,-0.07133713487722565,-0.21250000000000005,2012
2011-12-31,4,10779,2192,1464,8593,0.8,0.0339568345323741,0.17407605784681307,0.3468261269549218,0.0030349013657056147,0.37931034482758635,2011
2011-09-30,3,10425,1867,1087,8567,0.58,-0.0234192037470726,-0.2367130008176615,-0.26355013550135503,0.03679051192060995,-0.24675324675324684,2011
2011-06-30,2,10675,2446,1476,8263,0.77,0.17604935551393633,0.6007853403141361,0.5668789808917197,0.09458206384951649,0.5714285714285715,2011
2011-03-31,1,9077,1528,942,7549,0.49,-0.15294886151549086,-0.21237113402061855,-0.2764976958525346,-0.14098771051433773,-0.2794117647058824,2011
2010-12-31,4,10716,1940,1302,8788,0.68,0.09997947033463354,0.2754766600920447,0.5592814371257485,0.06148085517574586,0.5454545454545455,2010
2010-09-30,3,9742,1521,835,8279,0.44,-0.025994801039792043,-0.33260201842913556,-0.37265214124718254,0.06701894574043046,-0.3432835820895523,2010
2010-06-30,2,10002,2279,1331,7759,0.67,0.16573426573426572,0.5072751322751323,0.39664218258132217,0.08684689732455526,0.3958333333333335,2010
2010-03-31,1,8580,1512,953,7139,0.48,-0.11900605811684978,0.06930693069306931,0.12914691943127962,-0.1531435349940688,0.09090909090909087,2010
2009-12-31,4,9739,1414,844,8430,0.44,-0.012972534711665146,-0.11347962382445141,-0.05698324022346369,-0.0009480919649205973,-0.06382978723404249,2009
2009-09-30,3,9867,1595,895,8438,0.47,0.1478594695207073,-0.0018773466833541927,-0.06184486373165619,0.2021655506482405,-0.07843137254901968,2009
2009-06-30,2,8596,1598,954,7019,0.51,0.06294052182515147,0.24164724164724163,0.5562805872756933,-0.012104152005629839,0.5454545454545454,2009
2009-03-31,1,8087,1287,613,7105,0.33,0.0,0.0,0.0,0.0,0.0,2009
