Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,7042,5647,1789,4205,1.42,0.12492012779552715,0.17206309672063097,0.5638111888111889,-0.006145119357125975,0.5604395604395603,2022
2022-06-30,2,6260,4818,1144,4231,0.91,-0.05007587253414264,-0.06736353077816493,59.21052631578947,-0.3381823869857657,44.5,2022
2022-03-31,1,6590,5166,19,6393,0.02,-0.09028161236885698,0.1189083820662768,-0.9502617801047121,0.014118020304568529,-0.9333333333333332,2022
2021-12-31,4,7244,4617,382,6304,0.3,-0.023851232987467996,-0.255082284607938,-0.8526234567901234,0.761385861972618,-0.8536585365853658,2021
2021-09-30,3,7421,6198,2592,3579,2.05,0.193662538201705,0.28402734617775016,0.7030223390275953,-0.09871568874338957,0.6942148760330578,2021
2021-06-30,2,6217,4827,1522,3971,1.21,-0.03207224038611241,-0.046424338206242595,-0.11972238288027762,0.12397395980752901,-0.1167883211678833,2021
2021-03-31,1,6423,5062,1729,3533,1.37,-0.1344832232852715,-0.1595550390171011,0.11476466795615732,-0.2593291404612159,0.09600000000000009,2021
2020-12-31,4,7421,6023,1551,4770,1.25,0.12832598449140944,0.10798381162619573,3.308333333333333,0.042395104895104896,3.310344827586207,2020
2020-09-30,3,6577,5436,360,4576,0.29,0.27882558817810615,0.3326795783280216,-1.1078167115902966,-0.4368693083928132,-1.1090225563909775,2020
2020-06-30,2,5143,4079,-3339,8126,-2.66,-0.07299927901946647,-0.10919414719371041,-3.1528046421663443,1.5829624920534011,-3.180327868852459,2020
2020-03-31,1,5548,4579,1551,3146,1.22,-0.05630209219254975,0.09127740705433747,-0.4247032640949555,-0.34266610948600085,-0.4272300469483568,2020
2019-12-31,4,5879,4196,2696,4786,2.13,0.04907209136331192,-0.08163711971985117,-3.3141630901287553,-0.32372474212236824,-3.3152173913043477,2019
2019-09-30,3,5604,4569,-1165,7077,-0.92,-0.01424802110817942,-0.024759871931696906,-1.6196808510638299,1.1741935483870967,-1.6258503401360545,2019
2019-06-30,2,5685,4685,1880,3255,1.47,0.07650066275326643,0.08348751156336726,-0.04810126582278481,0.06931668856767412,-0.04545454545454549,2019
2019-03-31,1,5281,4324,1975,3044,1.54,-0.08869715271786023,0.023431952662721894,657.3333333333334,-0.34551709309825845,153.0,2019
2018-12-31,4,5795,4225,3,4651,0.01,0.03556111508220157,-0.06319290465631928,-0.9985693848354793,0.5644130507904473,-0.99375,2018
2018-09-30,3,5596,4510,2097,2973,1.6,-0.009206798866855524,0.01302785265049416,0.15410016510731975,-0.11728028503562946,0.15107913669064763,2018
2018-06-30,2,5648,4452,1817,3368,1.39,0.11006289308176101,0.0893075605578664,0.18140442132639792,0.1475298126064736,0.18803418803418803,2018
2018-03-31,1,5088,4087,1538,2935,1.17,-0.14473020675743822,-0.12912848923929257,-1.3979301423027166,-0.19764898851831603,-1.3993174061433444,2018
2017-12-31,4,5949,4693,-3865,3658,-2.93,-0.08645577395577396,-0.14361313868613138,-2.4220014716703457,0.3548148148148148,-2.4223300970873787,2017
2017-09-30,3,6512,5480,2718,2700,2.06,-0.08808290155440414,-0.0889443059019119,-0.11552229092092418,-0.06477312088673363,-0.11587982832618027,2017
2017-06-30,2,7141,6015,3073,2887,2.33,0.09777094542659492,0.08417447728911319,0.13730569948186527,0.054419284149013876,0.13658536585365866,2017
2017-03-31,1,6505,5548,2702,2738,2.05,-0.11133879781420765,-0.11160928742994396,-0.13063063063063063,-0.16396946564885495,-0.12393162393162395,2017
2016-12-31,4,7320,6245,3108,3275,2.34,-0.024,-0.019777115052582013,-0.06666666666666667,0.05611093195743309,-0.060240963855421825,2016
2016-09-30,3,7500,6371,3330,3101,2.49,-0.035493827160493825,-0.07826967592592593,-0.04775521875893623,-0.0423100679431748,-0.0348837209302325,2016
2016-06-30,2,7776,6912,3497,3238,2.58,-0.0023094688221709007,0.0471140736252083,-0.019349411104879418,0.030225898822780782,0.01976284584980248,2016
2016-03-31,1,7794,6601,3566,3143,2.53,-0.08370561956266165,-0.11324556689951638,-0.23852231475549862,0.08942807625649914,-0.20189274447949532,2016
2015-12-31,4,8506,7444,4683,2885,3.17,0.025437010247136828,0.02945650670723275,0.018043478260869564,0.06457564575645756,0.03594771241830061,2015
2015-09-30,3,8295,7231,4600,2710,3.06,0.006186317321688501,-0.002070107645597571,0.02404274265360641,0.03120243531202435,0.0479452054794521,2015
