Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,12933,12933,3831,8277,10.76,0.023261333966294803,0.023261333966294803,0.005775794171698608,0.08707643814026793,-0.012844036697247757,2022
2021-12-31,4,12639,12639,3809,7614,10.9,-0.07120811287477954,-0.07120811287477954,-0.2791445874337623,0.12533254507833283,-0.2699263228399196,2021
2021-09-30,3,13608,13608,5284,6766,14.93,-0.1156745515986483,-0.1156745515986483,-0.011782307836169814,-0.20846981750116986,-0.005992010652463373,2021
2021-06-30,2,15388,15388,5347,8548,15.02,-0.13081789426118393,-0.13081789426118393,-0.2032483981522873,-0.08743461086794065,-0.19247311827956998,2021
2021-03-31,1,17704,17704,6711,9367,18.6,0.5078783749254748,0.5078783749254748,0.5385144429160935,0.5108064516129033,0.5346534653465349,2021
2020-12-31,4,11741,11741,4362,6200,12.12,0.08904554308505705,0.08904554308505705,0.34921125889266935,-0.04350509102128972,0.3496659242761691,2020
2020-09-30,3,10781,10781,3233,6482,8.98,-0.18909364422715305,-0.18909364422715305,15.411167512690355,-0.4600133288903699,15.943396226415096,2020
2020-06-30,2,13295,13295,197,12004,0.53,0.5206450874985703,0.5206450874985703,-0.8245770258236865,0.6232589587559162,-0.8295819935691319,2020
2020-03-31,1,8743,8743,1123,7395,3.11,-0.12174786539427424,-0.12174786539427424,-0.3486078886310905,-0.03130730940529211,-0.3411016949152542,2020
2019-12-31,4,9955,9955,1724,7634,4.72,0.19608314309744082,0.3326639892904953,-0.0384829894032348,0.29236499068901306,-0.014613778705636802,2019
2019-09-30,3,8323,7470,1793,5907,4.79,-0.12028326815347215,-0.1352164852975226,-0.1842584167424932,-0.06741395642563941,-0.17555938037865743,2019
2019-06-30,2,9461,8638,2198,6334,5.81,0.07425911206994436,0.07371037911746427,0.007332722273143905,0.04040735873850197,0.01751313485113829,2019
2019-03-31,1,8807,8045,2182,6088,5.71,0.08997524752475247,-0.004331683168316832,-0.06029285099052541,0.1332836932241251,-0.0577557755775577,2019
2018-12-31,4,8080,8080,2322,5372,6.06,-0.08390022675736962,-0.0032075006168270415,-0.05340399510803098,-0.06443747823058169,-0.035031847133758065,2018
2018-09-30,3,8820,8106,2453,5742,6.28,-0.08468244084682441,-0.0813689936536718,0.04471890971039182,-0.09716981132075472,0.050167224080267525,2018
2018-06-30,2,9636,8824,2348,6360,5.98,-0.04404761904761905,-0.044608055435253355,-0.14212641578370477,-0.04518841014862633,-0.13956834532374096,2018
2018-03-31,1,10080,9236,2737,6661,6.95,0.18713932399010716,0.190359582420415,-2.2771815212319177,0.23741408136726733,-2.360078277886497,2018
2017-12-31,4,8491,7759,-2143,5383,-5.11,0.01981743934662503,0.01891004596191727,-2.053071253071253,0.006168224299065421,-2.0179282868525896,2017
2017-09-30,3,8326,7615,2035,5350,5.02,0.055661214657030555,0.06563112230618527,0.24770079705702022,-0.005206396429899591,0.2708860759493669,2017
2017-06-30,2,7887,7146,1631,5378,3.95,-0.017318714178918514,-0.025634033269702754,-0.24560592044403332,-0.019865135775469292,-0.23300970873786409,2017
2017-03-31,1,8026,7334,2162,5487,5.15,-0.03903256704980843,-0.016626441405202468,0.0041802136553646075,0.10736629667003027,0.02794411177644722,2017
2016-12-31,4,8352,7458,2153,4955,5.01,0.022526934378060724,-0.012839179351422899,0.025238095238095237,-0.06509433962264151,0.02663934426229506,2016
2016-09-30,3,8168,7555,2100,5300,4.88,0.029752899646999495,0.0339400574791296,0.28518971848225216,-0.03090144450539404,0.3118279569892472,2016
2016-06-30,2,7932,7307,1634,5469,3.72,0.2514988955506469,0.2939613954312024,0.3616666666666667,0.14846703065938682,0.3880597014925373,2016
2016-03-31,1,6338,5647,1200,4762,2.68,-0.12855767908703425,-0.1504438092372499,1.0905923344947734,-0.23205934526689243,1.0303030303030303,2016
2015-12-31,4,7273,6647,574,6201,1.32,0.06004955545838799,0.07278889606197547,-0.5684210526315789,0.28785046728971964,-0.5448275862068965,2015
2015-09-30,3,6861,6196,1330,4815,2.9,-0.243466754879259,-0.26430776537639517,0.4519650655021834,-0.3442734577148305,0.46464646464646464,2015
2015-06-30,2,9069,8422,916,7343,1.98,-0.14580389940661204,-0.15602765808197214,-0.6666666666666666,0.09875804279515188,-0.6666666666666667,2015
2015-03-31,1,10617,9979,2748,6683,5.94,0.3809833506763788,0.4217124946573586,0.35236220472440943,0.4924073246985261,0.356164383561644,2015
2014-12-31,4,7688,7019,2032,4478,4.38,-0.08334326934541553,-0.09583923740821847,-0.05179654689687354,-0.1188508461235734,-0.041575492341356754,2014
2014-09-30,3,8387,7763,2143,5082,4.57,-0.08087671232876713,-0.08799342105263158,0.09728622631848438,-0.1938451776649746,0.11463414634146359,2014
2014-06-30,2,9125,8512,1953,6304,4.1,-0.02176243567753002,-0.02530630940112218,0.002052334530528476,-0.0004756619628983669,0.01990049751243783,2014
2014-03-31,1,9328,8733,1949,6307,4.02,0.06217262582555227,0.06656082071323889,-0.13300711743772242,0.20592734225621415,-0.12418300653594778,2014
2013-12-31,4,8782,8188,2248,5230,4.59,0.30645641178220767,0.33159863392421535,0.5731280615815255,0.14818880351262348,0.59375,2013
2013-09-30,3,6722,6149,1429,4555,2.88,-0.2194612169066419,-0.23127890986373298,-0.23213326168726492,-0.236634824870119,-0.2216216216216217,2013
2013-06-30,2,8612,7999,1861,5967,3.7,-0.1464816650148662,-0.16056249344107462,-0.14945155393053017,-0.11165698972755694,-0.1375291375291375,2013
2013-03-31,1,10090,9529,2188,6717,4.29,0.09246427024686012,0.09705272852866682,-0.2276738439816449,0.364411943936624,-0.23118279569892475,2013
2012-12-31,4,9236,8686,2833,4923,5.58,0.10597533229553346,0.11301896463352128,0.9430727023319616,-0.18668428878242194,0.9578947368421052,2012
2012-09-30,3,8351,7804,1458,6053,2.85,0.2601478798853176,0.2829196120335361,0.5728155339805825,0.1613584036838066,0.601123595505618,2012
2012-06-30,2,6627,6083,927,5212,1.78,-0.3339029048145542,-0.35163078234917927,-0.5530376084860174,-0.22990543735224586,-0.5459183673469387,2012
2012-03-31,1,9949,9382,2074,6768,3.92,0.6447346668870888,0.7092366551284387,1.1206543967280163,0.4094127446897126,1.0206185567010309,2012
2011-12-31,4,6049,5489,978,4802,1.94,0.6863674379704489,0.8804385063377869,-3.2850467289719627,0.1123465369469539,-3.3095238095238093,2011
2011-09-30,3,3587,2919,-428,4317,-0.84,-0.5073478917731081,-0.5621062106210621,-1.4068441064638784,-0.2384900335156112,-1.4540540540540539,2011
2011-06-30,2,7281,6666,1052,5669,1.85,-0.38784260971918616,-0.408728046833422,0.15859030837004406,-0.27820218996689583,0.1858974358974359,2011
2011-03-31,1,11894,11274,908,7854,1.56,0.3763017819949086,0.39806547619047616,-0.592276605298608,0.5197368421052632,-0.5926892950391645,2011
2010-12-31,4,8642,8064,2227,5168,3.83,-0.029315960912052116,-0.03816793893129771,0.2820955670696603,-0.15167432698621142,0.2852348993288591,2010
2010-09-30,3,8903,8384,1737,6092,2.98,0.007012781359574709,0.020075434967757634,2.834437086092715,-0.1759772758014338,2.8205128205128207,2010
2010-06-30,2,8841,8219,453,7393,0.78,-0.30794520547945203,-0.3270285761074265,-0.8625606796116505,-0.02928046218487395,-0.8604651162790697,2010
2010-03-31,1,12775,12213,3296,7616,5.59,0.328653146125845,0.3559453758188076,-0.3114685606851891,2.4030384271671137,-0.34696261682242996,2010
2009-12-31,4,9615,9007,4787,2238,8.56,-0.2228419010669253,-0.23617706919945725,0.5809114927344782,-0.7046714172604909,0.6304761904761905,2009
2009-09-30,3,12372,11792,3028,7578,5.25,-0.10093743187268367,-0.10578600136498066,0.11405445180279618,-0.13215758131012367,0.06490872210953352,2009
2009-06-30,2,13761,13187,2718,8732,4.93,0.46005305039787797,0.48351895601304984,0.6383363471971067,0.28487345497351385,0.45427728613569307,2009
2009-03-31,1,9425,8889,1659,6796,3.39,0.0,0.0,0.0,0.0,0.0,2009
