Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,13123,8172,2418,9364,0.96,0.02100676884773983,0.038109756097560975,1.4424242424242424,-0.19794432548179872,1.3414634146341464,2022
2021-12-31,4,12853,7872,990,11675,0.41,0.02692553531479706,-0.07746396343607172,-0.3854748603351955,0.1860016253555465,-0.35937500000000006,2021
2021-09-30,3,12516,8533,1611,9844,0.64,0.10653346300061886,0.10231236274383154,-0.17384615384615384,0.09743589743589744,-0.1794871794871795,2021
2021-06-30,2,11311,7741,1950,8970,0.78,0.10577769087887379,0.1367107195301028,0.31756756756756754,0.13616212792906904,0.3220338983050849,2021
2021-03-31,1,10229,6810,1480,7895,0.59,-0.11121730819358763,-0.07283866575901975,0.5384615384615384,-0.213096780623941,0.5526315789473684,2021
2020-12-31,4,11509,7345,962,10033,0.38,0.030441400304414,-0.013034130610051061,-0.4013690105787181,0.14414414414414414,-0.40625,2020
2020-09-30,3,11169,7442,1607,8769,0.64,0.1805305993023993,0.15882902522578635,-0.4277065527065527,0.4802498311951384,-0.4285714285714286,2020
2020-06-30,2,9461,6422,2808,5924,1.12,-0.1874785297148746,-0.14895308772859794,0.400498753117207,-0.3464254192409532,0.4000000000000001,2020
2020-03-31,1,11644,7546,2005,9064,0.8,0.011729950473542444,0.031861069328592916,0.18149675898644668,0.003098716246126605,0.19402985074626866,2020
2019-12-31,4,11509,7313,1697,9036,0.67,-0.0055301131945044504,-0.03407740060758156,-0.11337513061650993,0.012436974789915966,-0.12987012987012983,2019
2019-09-30,3,11573,7571,1914,8925,0.77,0.15268924302788844,0.13849624060150376,0.5447941888619855,0.09751598622725037,0.54,2019
2019-06-30,2,10040,6650,1239,8132,0.5,0.006213670074163159,0.03598691384950927,0.1461609620721554,0.0017245627001724563,0.13636363636363635,2019
2019-03-31,1,9978,6419,1081,8118,0.44,0.49797327728569285,0.5279695310640323,-0.18415094339622642,0.533723786132628,-0.3230769230769231,2019
2018-12-31,4,6661,4201,1325,5293,0.65,-0.36826631259484066,-0.4090589393726263,-0.283008658008658,-0.34289261328367476,-0.12162162162162159,2018
2018-09-30,3,10544,7109,1848,8055,0.74,0.05980500552819379,0.0446730345334313,2.08,-0.09382382720215997,2.0833333333333335,2018
2018-06-30,2,9949,6805,600,8889,0.24,-0.28864578864578866,-0.2725815072153928,-0.4355597365945437,-0.23264848066298344,-0.22580645161290325,2018
2018-03-31,1,13986,9355,1063,11584,0.31,0.3809241706161137,0.3892188892188892,-2.5678466076696167,0.22959346141598558,-2.107142857142857,2018
2017-12-31,4,10128,6734,-678,9421,-0.28,-0.013634592910011687,-0.009123013537374927,-1.4272211720226844,0.206119574958392,-1.4375,2017
2017-09-30,3,10268,6796,1587,7811,0.64,0.09689135776092297,0.13040585495675316,-7.9,-0.1678031110164074,-7.3999999999999995,2017
2017-06-30,2,9361,6012,-230,9386,-0.1,0.023395648846616376,-0.003646005966191581,-1.1774691358024691,0.33741806782559136,-1.1886792452830188,2017
2017-03-31,1,9147,6034,1296,7018,0.53,-0.029907731466751512,-0.043891617810172714,3.06269592476489,-0.1923121187708597,3.076923076923077,2017
2016-12-31,4,9429,6311,319,8689,0.13,-0.0480565371024735,-0.04219153134011231,-0.6993402450518379,0.08260652878146026,-0.6976744186046512,2016
2016-09-30,3,9905,6589,1061,8026,0.43,0.05675877520537715,0.04173913043478261,-2.7003205128205128,-0.16299926999687142,-2.6538461538461537,2016
2016-06-30,2,9373,6325,-624,9589,-0.26,0.05019607843137255,0.0776963707616289,-2.5445544554455446,0.2154899226771454,-2.5294117647058822,2016
2016-03-31,1,8925,5869,404,7889,0.17,-0.07195591140688365,0.019454577036651034,-1.7467652495378927,-3.107104700854701,-1.7727272727272727,2016
2015-12-31,4,9617,5757,-541,-3744,-0.22,0.012528953463887134,-0.053280710409472125,-1.6486810551558753,-1.4642857142857142,-1.647058823529412,2015
2015-09-30,3,9498,6081,834,8064,0.34,0.052993348115299335,0.022188603126575897,2.6578947368421053,-0.062325581395348835,2.7777777777777777,2015
2015-06-30,2,9020,5949,228,8600,0.09,0.05968045112781955,0.11739293764087153,-0.9813847158719791,0.09192483494159472,-0.9821428571428572,2015
2015-03-31,1,8512,5324,12248,7876,5.04,-0.0865972743856637,-0.1257799671592775,6.87146529562982,-0.16007251786285592,6.875,2015
2014-12-31,4,9319,6090,1556,9377,0.64,0.02182017543859649,0.004453240969816922,1.4012345679012346,0.20806493171862922,1.3703703703703702,2014
2014-09-30,3,9120,6063,648,7762,0.27,-0.037162162162162164,-0.07773045330088227,-0.41831238779174146,0.005700958797615963,-0.41304347826086957,2014
2014-06-30,2,9472,6574,1114,7718,0.46,0.003389830508474576,0.002898550724637681,-0.008014247551202136,0.009945040565297042,0.0,2014
2014-03-31,1,9440,6555,1123,7642,0.46,-0.159768580329328,-0.0861564199079883,-0.7138124362895005,0.010044937879989427,-0.7195121951219512,2014
2013-12-31,4,11235,7173,3924,7566,1.64,0.0681688533941814,-0.010074523875241513,1.5057471264367817,-0.030497180932854945,1.5624999999999998,2013
2013-09-30,3,10518,7246,1566,7804,0.64,0.03462522132598859,0.015272523469244782,-0.024299065420560748,-0.02535281628574997,-0.015384615384615398,2013
2013-06-30,2,10166,7137,1605,8007,0.65,0.029468354430379748,0.04894179894179894,0.09481582537517053,0.03906047235920062,0.06557377049180334,2013
