Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2021-04-30,2,537,200.0,56.0,448.0,0.81,-0.04448398576512456,-0.08256880733944955,-0.2328767123287671,-0.030303030303030304,-0.31355932203389825,2021
2021-01-31,1,562,218.0,73.0,462.0,1.18,0.19574468085106383,0.27485380116959063,0.5531914893617021,0.15789473684210525,0.6619718309859155,2021
2020-10-31,4,470,171.0,47.0,399.0,0.71,-0.08737864077669903,-0.12755102040816327,-0.47191011235955055,0.023076923076923078,-0.4892086330935252,2020
2020-07-31,3,515,196.0,89.0,390.0,1.39,1.7105263157894737,11.25,-1.2479108635097493,-0.30604982206405695,-1.2482142857142857,2020
2020-04-30,2,190,16.0,-359.0,562.0,-5.6,-0.5226130653266332,-0.8596491228070176,0.6026785714285714,-0.07413509060955518,0.6045845272206302,2020
2020-01-31,1,398,114.0,-224.0,607.0,-3.49,0.2476489028213166,0.3411764705882353,13.933333333333334,0.9148264984227129,14.173913043478262,2020
2019-10-31,4,319,85.0,-15.0,317.0,-0.23,-0.06725146198830409,-0.15,-2.5,-0.012461059190031152,-2.4375,2019
2019-07-31,3,342,100.0,10.0,321.0,0.16,0.11764705882352941,0.13636363636363635,-0.2857142857142857,0.14642857142857144,-0.23809523809523805,2019
2019-04-30,2,306,88.0,14.0,280.0,0.21,-0.13559322033898305,-0.24786324786324787,-0.5333333333333333,-0.09385113268608414,-0.5333333333333333,2019
2019-01-31,1,354,117.0,30.0,309.0,0.45,0.3258426966292135,0.36046511627906974,1.7272727272727273,0.24596774193548387,1.647058823529412,2019
2018-10-31,4,267,86.0,11.0,248.0,0.17,-0.07291666666666667,-0.1134020618556701,-2.1,-0.17333333333333334,-2.0625,2018
2018-07-31,3,288,97.0,-10.0,300.0,-0.16,0.125,0.1411764705882353,-1.5555555555555556,0.29310344827586204,-1.5714285714285714,2018
2018-04-30,2,256,85.0,18.0,232.0,0.28,-0.1292517006802721,-0.1414141414141414,0.8,-0.09727626459143969,0.8666666666666669,2018
2018-01-31,1,294,99.0,10.0,257.0,0.15,0.38028169014084506,0.5714285714285714,4.0,0.25980392156862747,2.7499999999999996,2018
2017-10-31,4,213,63.0,2.0,204.0,0.04,-0.08189655172413793,-0.136986301369863,-0.8,-0.03773584905660377,-0.7333333333333333,2017
2017-07-31,3,232,73.0,10.0,212.0,0.15,0.09433962264150944,0.013888888888888888,0.0,0.1099476439790576,-0.06250000000000006,2017
2017-04-30,2,212,72.0,10.0,191.0,0.16,-0.09787234042553192,-0.05263157894736842,-0.3333333333333333,-0.06829268292682927,-0.36,2017
2017-01-31,1,235,76.0,15.0,205.0,0.25,0.3742690058479532,0.49019607843137253,-8.5,0.23493975903614459,-9.333333333333334,2017
2016-10-31,4,171,51.0,-2.0,166.0,-0.03,-0.09042553191489362,-0.1774193548387097,-1.3333333333333333,-0.01775147928994083,-1.25,2016
2016-07-31,3,188,62.0,6.0,169.0,0.12,0.09302325581395349,0.06896551724137931,-0.14285714285714285,0.1118421052631579,-0.14285714285714296,2016
2016-04-30,2,172,58.0,7.0,152.0,0.14,-0.07526881720430108,-0.01694915254237288,-0.8813559322033898,-0.08433734939759036,-0.875,2016
2016-01-31,1,186,59.0,59.0,166.0,1.12,0.3381294964028777,0.43902439024390244,-6.363636363636363,0.22962962962962963,-6.333333333333334,2016
2015-10-31,4,139,41.0,-11.0,135.0,-0.21,-0.10897435897435898,-0.22641509433962265,-0.7608695652173914,0.0,-0.7692307692307693,2015
2015-07-31,3,156,53.0,-46.0,135.0,-0.91,0.10638297872340426,0.1276595744680851,-24.0,0.08870967741935484,-31.333333333333336,2015
2015-04-30,2,141,47.0,2.0,124.0,0.03,0.42424242424242425,0.4099999999999999,-1.1363636363636362,0.43629343629343637,-1.1022727272727273,2015
2015-01-31,1,99,33.333333333333336,-14.666666666666666,86.33333333333333,-0.29333333333333333,inf,inf,-inf,inf,-inf,2015
2014-01-31,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
