Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2021-12-31,4,5768.0,3809.0,1409.0,3877.0,0.76,-0.5580753907447135,-0.5525140977443609,-0.5082024432809773,-0.5772543888343692,0.15151515151515146,2021
2021-09-30,3,13052.0,8512.0,2865.0,9171.0,0.66,1.4649669499527858,1.5325795894079144,1.66016713091922,1.3833160083160083,0.13793103448275876,2021
2021-06-30,2,5295.0,3361.0,1077.0,3848.0,0.58,-0.022702104097452935,-0.02381643915190241,-0.0972338642078793,0.009708737864077669,-0.10769230769230778,2021
2020-12-31,4,5418.0,3443.0,1193.0,3811.0,0.65,0.044131817305839274,0.08955696202531646,0.14711538461538462,0.006071805702217529,0.1403508771929826,2020
2020-09-30,3,5189.0,3160.0,1040.0,3788.0,0.57,0.6315044804276058,0.6411321734614386,0.5950920245398773,0.6561372827631435,0.5724137931034482,2020
2019-09-30,3,3180.5,1925.5,652.0,2287.25,0.3625,-0.002235206462491667,0.18101663727670014,0.06405548755609955,-0.11784982523803784,0.03386809269162218,2019
2014-09-30,3,3187.625,1630.375,612.75,2592.8125,0.35062499999999996,0.5071513002364066,0.48350773430391264,0.634,0.6727822580645161,0.5244565217391303,2014
2014-06-30,2,2115.0,1099.0,375.0,1550.0,0.23,-0.06663724624889673,2.2611275964391693,-0.0234375,-0.4355426074289876,-0.04166666666666659,2014
2014-03-31,1,2266.0,337.0,384.0,2746.0,0.24,0.13017456359102245,-0.6762728146013448,0.015873015873015872,0.9149232914923291,0.0,2014
2013-12-31,4,2005.0,1041.0,378.0,1434.0,0.24,0.04101765316718588,-0.45950155763239875,0.18125,1.6803738317757009,0.1999999999999999,2013
2013-09-30,3,1926.0,1926.0,320.0,535.0,0.2,0.04108108108108108,1.1026200873362446,0.03559870550161812,-0.6370420624151968,0.0,2013
2013-06-30,2,1850.0,916.0,309.0,1474.0,0.2,-0.1590909090909091,-0.24109362054681027,-0.11461318051575932,-0.2413793103448276,-0.09090909090909087,2013
2013-03-31,1,2200.0,1207.0,349.0,1943.0,0.22,0.13168724279835392,0.16505791505791506,0.014534883720930232,0.34836918806384454,0.0,2013
2012-12-31,4,1944.0,1036.0,344.0,1441.0,0.22,0.1153184165232358,0.1894374282433984,0.2112676056338028,0.08509036144578314,0.22222222222222227,2012
2012-09-30,3,1743.0,871.0,284.0,1328.0,0.18,0.061510353227771014,0.08064516129032258,0.10505836575875487,0.031857031857031856,0.058823529411764594,2012
2012-06-30,2,1642.0,806.0,257.0,1287.0,0.17,-0.17776664997496244,-0.40384615384615385,-0.10452961672473868,-0.08852691218130311,-0.1052631578947368,2012
2012-03-31,1,1997.0,1352.0,287.0,1412.0,0.19,0.22816728167281672,0.6387878787878788,0.025,0.15359477124183007,0.05555555555555561,2012
2011-12-31,4,1626.0,825.0,280.0,1224.0,0.18,-0.016333938294010888,-0.0024183796856106408,0.06870229007633588,-0.03697875688434304,0.058823529411764594,2011
2011-09-30,3,1653.0,827.0,262.0,1271.0,0.17,0.11388140161725067,0.05216284987277354,0.08264462809917356,0.12577502214348982,0.06250000000000006,2011
2011-06-30,2,1484.0,786.0,242.0,1129.0,0.16,-0.17647058823529413,-0.32763045337895635,-0.012244897959183673,-0.28679722046746686,0.0,2011
2011-03-31,1,1802.0,1169.0,245.0,1583.0,0.16,0.3904320987654321,0.5442536327608983,0.02510460251046025,0.6786850477200425,0.06666666666666674,2011
2010-12-31,4,1296.0,757.0,239.0,943.0,0.15,0.10580204778156997,0.11160058737151249,0.1890547263681592,0.1068075117370892,0.15384615384615377,2010
2010-09-30,3,1172.0,681.0,201.0,852.0,0.13,0.10879848628192999,0.11092985318107668,0.12290502793296089,0.07304785894206549,0.625,2010
2010-06-30,2,1057.0,613.0,179.0,794.0,0.08,-0.12716763005780346,-0.17828418230563003,-0.047872340425531915,-0.369340746624305,-0.3333333333333333,2010
2010-03-31,1,1211.0,746.0,188.0,1259.0,0.12,0.2680628272251309,0.32035398230088497,0.06818181818181818,0.7934472934472935,0.4999999999999999,2010
2009-12-31,4,955.0,565.0,176.0,702.0,0.08,-0.09047619047619047,-0.09163987138263666,0.2222222222222222,-0.16428571428571428,-0.20000000000000004,2009
2009-09-30,3,1050.0,622.0,144.0,840.0,0.1,0.0009532888465204957,0.03494176372712146,0.16129032258064516,-0.017543859649122806,0.11111111111111122,2009
2009-06-30,2,1049.0,601.0,124.0,855.0,0.09,-0.1641434262948207,-0.404950495049505,-0.015873015873015872,-0.030612244897959183,0.0,2009
2009-03-31,1,1255.0,1010.0,126.0,882.0,0.09,0.0,0.0,0.0,0.0,0.0,2009
