Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,6123,6123,2803.0,8954.0,0.7,0.5,0.5,0.3250866687677276,2.2074029850746273,0.35483870967741943,2022
2021-12-31,4,4082,4082,2115.3333333333335,2791.6666666666665,0.5166666666666666,-0.3333333333333333,-0.3333333333333333,-0.40295418195502863,-5.821531375935521,-0.3921568627450981,2021
2021-09-30,3,6123,6123,3543.0,-579.0,0.85,0.06431427081522684,0.06431427081522684,0.30050165178025195,-1.2074773053033923,0.275,2021
2021-06-30,2,5753,5753,2724.3333333333335,2790.6666666666665,0.6666666666666666,-0.21802365094467854,-0.21802365094467854,-0.2978522336769759,-0.6551326412918109,-0.2982456140350877,2021
2021-03-31,1,7357,7357,3880.0,8092.0,0.95,0.34990825688073396,0.34990825688073396,1.8550404709345107,8.43123543123543,1.7142857142857144,2021
2020-09-30,3,5450,5450,1359.0,858.0,0.35,-0.1608929946112394,-0.1608929946112394,-0.23865546218487396,-0.7164573694646398,-0.2222222222222223,2020
2020-03-31,1,6495,6495,1785.0,3026.0,0.45,0.031116050166693127,0.031116050166693127,-0.3991921911814204,2.411499436302142,-0.39999999999999997,2020
2019-09-30,3,6299,6299,2971.0,887.0,0.75,-0.09588057987656093,-0.09588057987656093,-0.2813255926463474,-0.22701525054466232,-0.28571428571428575,2019
2019-03-31,1,6967,6967,4134.0,1147.5,1.05,-0.5160125043417854,-0.5160125043417854,0.06027186458066171,1.2633136094674555,0.10526315789473695,2019
2018-09-30,3,14395,14395,3899.0,507.0,0.95,0.006080514397539838,0.006080514397539838,0.26344782890473106,1.9823529411764707,0.2666666666666666,2018
2018-03-31,1,14308,14308,3086.0,170.0,0.75,0.05097693550756574,0.05097693550756574,0.043272481406355645,-0.6205357142857143,0.0,2018
2017-09-30,3,13614,13614,2958.0,448.0,0.75,0.006580406654343808,0.006580406654343808,-0.054952076677316296,0.8983050847457628,-0.06250000000000006,2017
2017-03-31,1,13525,13525,3130.0,236.0,0.8,0.42638683821978485,0.42638683821978485,-1.6829587606371372,-0.49572649572649574,-1.7142857142857142,2017
2016-12-31,4,9482,9482,-4583.0,468.0,-1.12,-0.06396841066140177,-0.06396841066140177,6.427876823338736,-0.17314487632508835,6.466666666666668,2016
2016-09-30,3,10130,10130,-617.0,566.0,-0.15,-0.3325426632404296,-0.3325426632404296,-1.236307927996936,-0.5302904564315353,-1.25,2016
2016-06-30,2,15177,15177,2611.0,1205.0,0.6,-0.022793123430558237,-0.022793123430558237,-0.32844650205761317,0.03789836347975883,-0.4,2016
2016-03-31,1,15531,15531,3888.0,1161.0,1.0,0.2598150551589877,0.2598150551589877,-3.9343396226415095,-0.2937956204379562,-3.8571428571428577,2016
2015-12-31,4,12328,12328,-1325.0,1644.0,-0.35,-0.2184607582097122,-0.2184607582097122,-1.2533945305029643,1.5768025078369905,-1.28,2015
2015-09-30,3,15774,15774,5229.0,638.0,1.25,-0.11282339707536558,-0.11282339707536558,0.19958706125258086,-0.26582278481012656,0.13636363636363627,2015
2015-06-30,2,17780,17780,4359.0,869.0,1.1,0.0792764355954838,0.0792764355954838,-0.17113519680547631,0.5245614035087719,-0.1538461538461538,2015
2015-03-31,1,16474,16474,5259.0,570.0,1.3,0.10764472534122235,0.10764472534122235,-85.8225806451613,-0.544,11.999999999999998,2015
2014-12-31,4,14873,14873,-62.0,1250.0,0.1,-0.09641555285540705,-0.09641555285540705,-1.0180705333721947,0.6447368421052632,-0.8823529411764706,2014
2014-09-30,3,16460,16460,3431.0,760.0,0.85,0.027979015738196354,0.027979015738196354,-0.2434399117971334,-0.2713326941514861,-0.26086956521739124,2014
2014-06-30,2,16012,16012,4535.0,1043.0,1.15,-0.025737754791603284,-0.025737754791603284,-0.12972558050278257,0.30701754385964913,-0.14814814814814828,2014
2014-03-31,1,16435,16435,5211.0,798.0,1.35,0.04835108758053199,0.04835108758053199,0.9158088235294117,-0.3,0.9285714285714288,2014
2013-12-31,4,15677,15677,2720.0,1140.0,0.7,-0.001909976443623862,-0.001909976443623862,-0.15,-0.2843691148775895,-0.1250000000000001,2013
2013-09-30,3,15707,15707,3200.0,1593.0,0.8,-0.05572922928940724,-0.05572922928940724,-0.18595777155939963,-0.18097686375321337,-0.23809523809523808,2013
2013-06-30,2,16634,16634,3931.0,1945.0,1.05,-0.12230899113550021,-0.12230899113550021,-0.38123721076656697,0.6609735269000854,-0.3636363636363636,2013
2013-03-31,1,18952,18952,6353.0,1171.0,1.65,0.07273447670798665,0.07273447670798665,1.0553219022969913,-0.34654017857142855,1.0624999999999998,2013
2012-12-31,4,17667,17667,3091.0,1792.0,0.8,0.14127906976744187,0.14127906976744187,0.23738991192954365,0.04186046511627907,0.23076923076923078,2012
2012-09-30,3,15480,15480,2498.0,1720.0,0.65,-0.28660306926586476,-0.28660306926586476,-0.5735017927266519,-0.2930538429921907,-0.59375,2012
2012-06-30,2,21699,21699,5857.0,2433.0,1.6,0.2733407663869491,0.2733407663869491,1.2692754746222394,0.0283178360101437,1.4615384615384617,2012
2012-03-31,1,17041,17041,2581.0,2366.0,0.65,-0.019505178365937858,-0.019505178365937858,0.4443200895355344,-0.20363513968360822,-1.0631067961165048,2012
2011-12-31,4,17380,17380,1787.0,2971.0,-10.3,-0.16897771827483982,-0.16897771827483982,-0.6577939486786671,-0.23624678663239074,-2.4714285714285715,2011
2011-09-30,3,20914,20914,5222.0,3890.0,7.0,0.06753100913684855,0.06753100913684855,0.03160806005531411,0.34975711311589175,0.037037037037037035,2011
2011-06-30,2,19591,19591,5062.0,2882.0,6.75,0.10940596862789513,0.10940596862789513,0.21887791957620997,0.20889261744966442,5.136363636363637,2011
2011-03-31,1,17659,17659,4153.0,2384.0,1.1,-0.017689269622295153,-0.017689269622295153,0.46800989749027927,-0.29258160237388725,-1.1538461538461537,2011
2010-12-31,4,17977,17977,2829.0,3370.0,-7.15,0.12013209545766092,0.12013209545766092,-0.10304375396322131,0.0712015257469803,-2.682352941176471,2010
2010-09-30,3,16049,16049,3154.0,3146.0,4.25,-0.12496592334114824,-0.12496592334114824,-0.23668925459825751,-0.15792291220556745,-0.2608695652173913,2010
2010-06-30,2,18341,18341,4132.0,3736.0,5.75,-0.00304397456106974,-0.00304397456106974,0.5705055112124667,-0.013467124372854503,6.666666666666667,2010
2010-03-31,1,18397,18397,2631.0,3787.0,0.75,inf,inf,inf,inf,inf,2010
2009-06-30,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
