Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-01-31,1,2673,2108,100,2617,0.35,0.33183856502242154,0.32578616352201256,-0.5614035087719298,0.4442604856512141,-0.573170731707317,2022
2021-10-31,4,2007,1590,228,1812,0.82,-0.21632174931667317,-0.23631123919308358,-0.4,-0.16072255673923114,-0.4305555555555556,2021
2021-07-31,3,2561,2082,380,2159,1.44,-0.3862928348909657,-0.42037861915367486,-0.7404371584699454,-0.04426737494466578,-0.7283018867924528,2021
2021-04-30,2,4173,3592,1464,2259,5.3,1.6478426395939085,1.9710504549214227,72.2,0.41099312929419113,74.7142857142857,2021
2021-01-31,1,1576,1209,20,1601,0.07,0.1912320483749055,0.1330834114339269,-0.898989898989899,0.4371633752244165,-0.9066666666666666,2021
2020-10-31,4,1323,1067,198,1114,0.75,-0.2714757709251101,-0.2834116856950974,-0.5550561797752809,-0.16429107276819205,-0.5535714285714286,2020
2020-07-31,3,1816,1489,445,1333,1.68,-0.39506995336442374,-0.4230918248740798,-0.5894833948339483,-0.16110761485210826,-0.5912408759124088,2020
2020-04-30,2,3002,2581,1084,1589,4.11,0.7700471698113207,0.9033923303834809,3.5166666666666666,0.11430575035063113,3.5164835164835164,2020
2020-01-31,1,1696,1356,240,1426,0.91,0.455793991416309,0.5497142857142857,3.210526315789474,0.23463203463203464,3.1363636363636367,2020
2019-10-31,4,1165,875,57,1155,0.22,0.1720321931589537,0.22720897615708274,-2.2954545454545454,0.006974716652136007,-2.2222222222222223,2019
2019-07-31,3,994,713,-44,1147,-0.18,-0.6962102689486552,-0.755654557916381,-1.0319303338171262,-0.22916666666666666,-1.0344827586206895,2019
2019-04-30,2,3272,2918,1378,1488,5.22,1.1784287616511318,1.3976992604765817,6.291005291005291,0.17257683215130024,6.25,2019
