Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2023-03-31,1,54642,38349,12193,38675,4.1,0.15256596848699613,0.1100529713144412,0.15060866282910257,0.13177455226501228,0.14525139664804457,2023
2022-12-31,4,47409,34547,10597,34172,3.58,0.1617290303609498,0.05596649957207483,0.14500270124257159,0.18619827825604,0.1474358974358974,2022
2022-09-30,3,40809,32716,9255,28808,3.12,0.1920953465953904,0.06514732215529871,0.1293471629042099,0.2327969873331051,0.1304347826086958,2022
2022-06-30,2,34233,30715,8195,23368,2.76,0.05850159240592437,-6.511052511638506e-05,0.04461440407903123,0.04892719274620702,0.04942965779467677,2022
2022-03-31,1,32341,30717,7845,22278,2.63,0.05431132844335778,0.04990258741497761,-0.20973103656693864,0.23643023643023642,-0.2125748502994012,2022
2021-12-31,4,30675,29257,9927,18018,3.34,-0.011981833993622572,-0.013154788005531756,-0.11594977290943094,0.06388757675956543,-0.1069518716577541,2021
2021-09-30,3,31047,29647,11229,16936,3.74,-0.024660718773561196,-0.027297483513238623,-0.023225469728601254,0.012010755900806693,-0.010582010582010474,2021
2021-06-30,2,31832,30479,11496,16735,3.78,-0.05397051830718022,-0.055383375689580364,-0.17002382499458524,0.04915052347815184,-0.16000000000000003,2021
2021-03-31,1,33648,32266,13851,15951,4.5,0.09863845626408071,0.09991477756945628,0.18394734592700232,0.03236036502491748,0.18421052631578952,2021
2020-12-31,4,30627,29335,11699,15451,3.8,-0.010180337405468295,0.00273457528627585,0.29772601220188577,-0.19412715798257968,0.3013698630136986,2020
2020-09-30,3,30942,29255,9015,19173,2.92,-0.12429954151808456,-0.11549508692365835,1.1137162954279016,-0.35387881647233266,1.1159420289855073,2020
2020-06-30,2,35334,33075,4265,29674,1.38,0.07046776539020844,0.16930637064272078,0.7544220485396956,-0.004161353110947044,0.769230769230769,2020
2020-03-31,1,33008,28286,2431,29798,0.78,-0.03822843822843823,-0.009559158233831716,-0.6995427017673959,0.27157122130238115,-0.6964980544747081,2020
2019-12-31,4,34320,28559,8091,23434,2.57,-0.05151448153880168,-0.02499061145061623,-0.05984197071810365,-0.05427983373017475,-0.041044776119403104,2019
2019-09-30,3,36184,29291,8606,24779,2.68,0.006453048509123275,0.018923713778829097,-0.06375108790252393,0.006867127184071516,-0.04964539007092188,2019
2019-06-30,2,35952,28747,9192,24610,2.82,-0.002967359050445104,-0.012910757820279504,0.05015423283445676,-0.008700555868847177,0.06415094339622639,2019
2019-03-31,1,36059,29123,8753,24826,2.65,0.13005735059074242,0.12604879557669257,0.3176275779015505,0.07620946766082885,0.32499999999999996,2019
