Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-06-30,2,3517.0,1367.5,285.5,3113.5,0.59,0.0956386292834891,0.12182116488925349,0.8419354838709677,0.04304857621440536,0.7878787878787877,2022
2018-12-31,4,3210.0,1219.0,155.0,2985.0,0.33,-0.16056485355648537,-0.195910290237467,-0.6274038461538461,-0.07927205428747687,-0.611764705882353,2018
2018-09-30,3,3824.0,1516.0,416.0,3242.0,0.85,0.04882062534284147,0.05350938151494093,0.19197707736389685,0.030187480139815696,0.18055555555555558,2018
2018-06-30,2,3646.0,1439.0,349.0,3147.0,0.72,0.24734861443722203,0.3201834862385321,1.2960526315789473,0.16858522094318604,1.3225806451612903,2018
2018-03-31,1,2923.0,1090.0,152.0,2693.0,0.31,-0.16102181400688864,-0.22087205146533237,-0.5742296918767507,-0.09691482226693494,-0.5753424657534246,2018
2017-09-30,3,3484.0,1399.0,357.0,2982.0,0.73,0.036904761904761905,0.059046177138531414,0.08841463414634146,0.027567195037904894,0.6312849162011173,2017
2017-06-30,2,3360.0,1321.0,328.0,2902.0,0.4475,0.14940562729838364,0.1547202797202797,0.17562724014336917,0.1426321488335466,-0.1927846674182639,2017
2016-12-31,4,2923.25,1144.0,279.0,2539.75,0.5543750000000001,-0.12267406962785114,-0.11728395061728394,-0.2356164383561644,-0.11814236111111111,-0.26083333333333325,2016
2016-09-30,3,3332.0,1296.0,365.0,2880.0,0.75,1.1964403427818062,1.3142857142857143,4.53030303030303,1.064516129032258,1.5862068965517244,2016
2016-03-31,1,1517.0,560.0,66.0,1395.0,0.29,-0.06932515337423313,-0.06666666666666667,-0.5769230769230769,-0.0425531914893617,-0.5671641791044777,2016
2015-12-31,4,1630.0,600.0,156.0,1457.0,0.67,-0.10537870472008781,-0.13916786226685796,-0.07142857142857142,-0.06722151088348272,-0.06944444444444435,2015
2015-09-30,3,1822.0,697.0,168.0,1562.0,0.72,-0.054979253112033194,-0.011347517730496455,-0.045454545454545456,-0.055051421657592255,-0.040000000000000036,2015
2015-06-30,2,1928.0,705.0,176.0,1653.0,0.75,0.18209687308399755,0.24119718309859156,0.8333333333333334,0.12219959266802444,0.8749999999999999,2015
2015-03-31,1,1631.0,568.0,96.0,1473.0,0.4,-0.15272727272727274,-0.15097159940209268,-0.14285714285714285,-0.1485549132947977,-0.11111111111111108,2015
2014-12-31,4,1925.0,669.0,112.0,1730.0,0.45,-0.09878277153558053,-0.17202970297029702,-0.5294117647058824,-0.034059184812953655,-0.53125,2014
2014-09-30,3,2136.0,808.0,238.0,1791.0,0.96,-0.08444063437633947,-0.04491725768321513,0.20202020202020202,-0.1211972522080471,0.23076923076923067,2014
2014-06-30,2,2333.0,846.0,198.0,2038.0,0.78,0.24759358288770053,0.30153846153846153,0.7217391304347827,0.20877817319098457,0.7727272727272728,2014
2014-03-31,1,1870.0,650.0,115.0,1686.0,0.44,-0.0797244094488189,-0.055232558139534885,-0.14814814814814814,-0.07107438016528926,-0.12,2014
2013-12-31,4,2032.0,688.0,135.0,1815.0,0.5,-0.06531738730450783,-0.12579415501905972,-0.532871972318339,-0.024193548387096774,-0.5327102803738318,2013
2013-09-30,3,2174.0,787.0,289.0,1860.0,1.07,0.008348794063079777,0.0451527224435591,0.5879120879120879,-0.012738853503184714,0.6212121212121212,2013
2013-06-30,2,2156.0,753.0,182.0,1884.0,0.66,0.1654054054054054,0.18769716088328076,1.9836065573770492,0.08338125359401956,2.1428571428571432,2013
2013-03-31,1,1850.0,634.0,61.0,1739.0,0.21,-0.03444676409185804,-0.04229607250755287,-0.39,-0.015288788221970554,-0.3823529411764707,2013
2012-12-31,4,1916.0,662.0,100.0,1766.0,0.34,-0.07439613526570048,-0.14580645161290323,-0.6197718631178707,0.0011337868480725624,-0.6179775280898877,2012
2012-09-30,3,2070.0,775.0,263.0,1764.0,0.89,-0.0625,-0.03965303593556382,0.28292682926829266,-0.07498689040377557,0.32835820895522383,2012
2012-06-30,2,2208.0,807.0,205.0,1907.0,0.67,0.18201284796573874,0.2301829268292683,0.8807339449541285,0.12374779021803183,0.9142857142857145,2012
2012-03-31,1,1868.0,656.0,109.0,1697.0,0.35,-0.013206550449022716,-0.01649175412293853,-0.035398230088495575,-0.009340338587273789,-0.027777777777777804,2012
2011-12-31,4,1893.0,667.0,113.0,1713.0,0.36,-0.11542056074766355,-0.1745049504950495,-0.602112676056338,-0.05359116022099448,-0.5909090909090909,2011
2011-09-30,3,2140.0,808.0,284.0,1810.0,0.88,-0.11092646447860408,-0.09619686800894854,0.15447154471544716,-0.1162109375,0.1891891891891892,2011
2011-06-30,2,2407.0,894.0,246.0,2048.0,0.74,0.30531453362255967,0.3524962178517398,1.320754716981132,0.21904761904761905,1.3870967741935483,2011
2011-03-31,1,1844.0,661.0,106.0,1680.0,0.31,0.027870680044593088,0.044233807266982623,0.09278350515463918,0.012048192771084338,0.1809523809523809,2011
2010-12-31,4,1794.0,633.0,97.0,1660.0,0.2625,0.06722189173111243,-0.026153846153846153,-0.5336538461538461,0.15518441196938065,0.8340611353711791,2010
2010-09-30,3,1681.0,650.0,208.0,1437.0,0.143125,-0.028885037550548817,0.0,0.04522613065326633,-0.019781718963165076,0.411402157164869,2010
2010-06-30,2,1731.0,650.0,199.0,1466.0,0.10140625,0.14787798408488065,0.1882998171846435,0.6583333333333333,0.09321401938851603,0.6587859424920128,2010
2010-03-31,1,1508.0,547.0,120.0,1341.0,0.0611328125,-0.06043613707165109,-0.06814310051107325,0.31868131868131866,-0.08588957055214724,-0.6953029934290582,2010
2009-12-31,4,1605.0,587.0,91.0,1467.0,0.200634765625,-0.07917383820998279,-0.129080118694362,-0.545,-0.0020408163265306124,-0.2221706908464502,2009
2009-09-30,3,1743.0,674.0,200.0,1470.0,0.25794189453125,-0.7050262311727873,-0.7021652673442333,-0.3610223642172524,-0.7257462686567164,-0.5969657897949219,2009
2009-06-30,2,5909.0,2263.0,313.0,5360.0,0.64,0.1700990099009901,0.2056473095364944,4.131147540983607,0.11457683510085256,3.923076923076923,2009
2009-03-31,1,5050.0,1877.0,61.0,4809.0,0.13,0.0,0.0,0.0,0.0,0.0,2009
