Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2023-03-31,1,15126,2046,1689,13089,6.61,-0.20351745563688062,-0.11120764552562988,-0.11663179916317992,-0.21613366870283868,-0.10068027210884345,2023
2022-12-31,4,18991,2302,1912,16698,7.35,0.14520894892359645,0.08584905660377358,0.07536557930258718,0.15765391014975041,0.09538002980625927,2022
2022-09-30,3,16583,2120,1778,14424,6.71,0.07361129094911303,0.08384458077709611,4.7540453074433655,0.06979158940888526,4.7844827586206895,2022
2022-06-30,2,15446,1956,309,13483,1.16,0.032210638866613205,0.02462022001047669,-0.8216964800923254,0.03468651676770777,-0.8198757763975155,2022
2022-03-31,1,14964,1909,1733,13031,6.44,-0.15595916295335327,-0.21180842279108175,-0.15422157149829185,-0.146850857666623,-0.13788487282463177,2022
2021-12-31,4,17729,2422,2049,15274,7.47,0.10612677813825805,0.052128583840139006,2.3371335504885993,0.11213047910295616,2.3800904977375565,2021
2021-09-30,3,16028,2302,614,13734,2.21,-0.05878207763227435,0.0701999070199907,-0.6617079889807163,-0.07434117409179754,-0.661042944785276,2021
2021-06-30,2,17029,2151,1815,14837,6.52,0.047422807233362035,-0.016010978956999086,-0.011976047904191617,0.05406365444728616,-0.0060975609756097615,2021
2021-03-31,1,16258,2186,1837,14076,6.56,-0.04544387036167215,-0.012646793134598013,0.025111607142857144,-0.0452418096723869,0.028213166144200583,2021
2020-12-31,4,17032,2214,1792,14743,6.38,0.032555319793876936,0.03651685393258427,0.05535924617196702,0.027529969333705048,0.05454545454545456,2020
2020-09-30,3,16495,2136,1698,14348,6.05,0.016954377311960544,-0.034794396746497966,0.04428044280442804,0.015140795245507287,0.044905008635578544,2020
2020-06-30,2,16220,2213,1626,14134,5.79,0.03635550444061082,0.05834528933524629,-0.0529994175888177,0.04471875230985291,-0.047697368421052634,2020
2020-03-31,1,15651,2091,1717,13529,6.08,-0.014296510895578788,-0.015073009891662742,0.14619492656875835,-0.014567703401558744,0.14716981132075477,2020
2019-12-31,4,15878,2123,1498,13729,5.3,0.04660206973831652,0.029083858458555503,-0.06840796019900497,0.050742384815551815,-0.06360424028268556,2019
2019-09-30,3,15171,2063,1608,13066,5.66,0.05156997296735288,0.035122930255895635,0.1323943661971831,0.05209759239874386,0.13200000000000003,2019
2019-06-30,2,14427,1993,1420,12419,5.0,0.00634765625,-0.08912248628884827,-0.16666666666666666,0.0303658840122791,-0.16527545909849753,2019
2019-03-31,1,14336,2188,1704,12053,5.99,-0.00520435778224967,0.1266735324407827,0.3599361532322426,-0.04036624203821656,0.36757990867579915,2019
2018-12-31,4,14411,1942,1253,12560,4.38,0.006495320575499371,0.010931806350858927,-0.1493550577053632,0.01659247268312424,-0.1478599221789883,2018
2018-09-30,3,14318,1921,1473,12355,5.14,0.06866696521868935,0.09583571021106674,0.26655202063628547,0.0648108247866931,0.26913580246913577,2018
2018-06-30,2,13398,1753,1163,11603,4.05,0.15152556940266437,0.05729794933655006,0.005185825410544511,0.17083753784056507,0.007462686567164241,2018
2018-03-31,1,11635,1658,1157,9910,4.02,-0.1595637099104305,-0.02984201287302516,-2.5551075268817205,-0.16687683900798655,-2.5826771653543306,2018
2017-12-31,4,13844,1709,-744,11895,-2.54,0.12178915809091646,0.068125,-1.7725856697819315,0.1154351087771943,-1.7650602409638554,2017
2017-09-30,3,12341,1600,963,10664,3.32,-0.017670938470110642,-0.033816425120772944,0.008376963350785341,-0.01687102424633539,0.012195121951219523,2017
2017-06-30,2,12563,1656,955,10847,3.28,0.12049589725294327,0.17780938833570412,0.21039290240811154,0.10570846075433231,0.21933085501858732,2017
2017-03-31,1,11212,1406,789,9810,2.69,-0.18718283311584746,-0.1690307328605201,-0.08149010477299184,-0.18433524569718135,-0.0756013745704468,2017
