Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-04-30,2,23659,8050,2333,20357,3.51,0.10866916588566074,0.1455813291589583,0.9572147651006712,0.04443076291621774,0.8972972972972971,2022
2022-01-31,1,21340,7027,1192,19491,1.85,-0.06885417575704686,-0.07381046526954001,-0.3689782953943886,-0.03169556361468528,-0.3223443223443223,2022
2021-10-31,4,22918,7587,1889,20129,2.73,-0.16873413130214002,-0.18524484536082475,-0.371799135350848,-0.13831335616438356,-0.35764705882352943,2021
2021-07-31,3,27570,9312,3007,23360,4.25,0.12890017197608714,0.14538745387453875,0.2955622576475657,0.10308353402276055,0.32398753894081,2021
2021-04-30,2,24422,8130,2321,21177,3.21,0.20240263896410812,0.2594887683965918,1.3854059609455294,0.12721562782775322,1.3955223880597014,2021
2021-01-31,1,20311,6455,973,18787,1.34,-0.08956026715675287,-0.11575342465753424,0.41219158200290273,-0.0669017582199265,0.47252747252747257,2021
2020-10-31,4,22309,7300,689,20134,0.91,-0.18288037506409788,-0.21539122957867585,-0.7553267045454546,-0.13754551295780681,-0.7566844919786097,2020
2020-07-31,3,27302,9304,2816,23345,3.74,0.3876493011435832,0.4285275602640872,1.1125281320330083,0.32011988237955213,1.125,2020
2020-04-30,2,19675,6513,1333,17684,1.76,0.22761589817183503,0.30730630268968284,1.618860510805501,0.17353507200212356,1.588235294117647,2020
2020-01-31,1,16027,4982,509,15069,0.68,-0.07827237175063262,-0.11666666666666667,-0.5133843212237094,-0.048073278584965254,-0.5,2020
2019-10-31,4,17388,5640,1046,15830,1.36,-0.1716844512195122,-0.1632047477744807,-0.37365269461077844,-0.14942775777765838,-0.3644859813084112,2019
2019-07-31,3,20992,6740,1670,18611,2.14,0.1832478439772279,0.20766887654542196,0.6011505273250239,0.14010046557216368,0.633587786259542,2019
2019-04-30,2,17741,5581,1043,16324,1.31,0.13390003834845968,0.13944467129440588,-2.2704019488428746,0.00684635786097576,-2.323232323232323,2019
2019-01-31,1,15646,4898,-821,16213,-0.99,-0.10157909847832329,-0.08908313185791333,-2.3073248407643314,-0.014886377445619152,-2.269230769230769,2019
2018-10-31,4,17415,5377,628,16458,0.78,-0.16626771351972425,-0.21902687000726218,-0.5854785478547855,-0.12106809078771695,-0.5806451612903226,2018
2018-07-31,3,20888,6885,1515,18725,1.86,0.2032258064516129,0.1978079331941545,0.5380710659898477,0.17804340987731992,0.5630252100840337,2018
2018-04-30,2,17360,5748,985,15895,1.19,0.12043371627726862,0.3521524347212421,0.7811934900542495,0.10412614615170881,0.8030303030303029,2018
2018-01-31,1,15494,4251,553,14396,0.66,-0.07608825283243888,-0.2559075792053212,-0.364367816091954,-0.05432569138803127,-0.37142857142857144,2018
2017-10-31,4,16770,5713,870,15223,1.05,-0.13977943062323672,-0.14347826086956522,-0.3842887473460722,-0.1104423537661427,-0.37499999999999994,2017
2017-07-31,3,19495,6670,1413,17113,1.68,0.1562870699881376,0.15,1.355,0.11842363244232403,1.4000000000000001,2017
2017-04-30,2,16860,5800,600,15301,0.7,0.06817029903699949,0.24946143903489876,-0.07120743034055728,0.05422350833677828,-0.06666666666666672,2017
2017-01-31,1,15784,4642,646,14514,0.75,0.0028591397166274858,-0.14148326243758091,0.7180851063829787,-0.019324324324324325,0.7441860465116279,2017
2016-10-31,4,15739,5407,376,14800,0.43,-0.13806133625410733,-0.14010814249363868,-0.6764199655765921,-0.08692701585538898,-0.6717557251908397,2016
2016-07-31,3,18260,6288,1162,16209,1.31,0.19863463305763424,0.17818999437886454,0.32045454545454544,0.18764654161781946,0.3367346938775511,2016
2016-04-30,2,15234,5337,880,13648,0.98,0.1508649996222709,0.16350555918901244,87.0,0.10153349475383373,31.666666666666668,2016
2016-01-31,1,13237,4587,10,12390,0.03,-0.0782033426183844,-0.08076152304609219,-0.9863574351978172,-0.059439763151901616,-0.9625,2016
2015-10-31,4,14360,4990,733,13173,0.8,-0.17223887479824765,-0.16569135596054171,-0.34611953612845675,-0.15062221935650266,-0.33333333333333326,2015
2015-07-31,3,17348,5981,1121,15509,1.2,0.2278292872814778,0.19333599361532322,0.673134328358209,0.19016192157163686,0.7142857142857143,2015
2015-04-30,2,14129,5012,670,13031,0.7,0.1267145135566188,0.1529790660225443,0.4988814317673378,0.149422245744024,0.48936170212765956,2015
2015-01-31,1,12540,4347,447,11337,0.47,-0.08340033623273152,-0.07863501483679525,-0.23195876288659795,-0.10921662607055865,-0.2033898305084746,2015
2014-10-31,4,13681,4718,582,12727,0.59,-0.17579372251340442,-0.17733217088055797,-0.4365924491771539,-0.14618274520327385,-0.43269230769230776,2014
2014-07-31,3,16599,5735,1033,14906,1.04,0.23845407744534805,0.20533837746952502,0.6661290322580645,0.19621218200786453,0.7049180327868854,2014
2014-04-30,2,13403,4758,620,12461,0.61,0.14938684503901895,0.17684887459807075,1.046204620462046,0.11647701818833438,1.0333333333333334,2014
2014-01-31,1,11661,4043,303,11161,0.3,-0.10002315350775642,-0.09774603883061816,-0.3878787878787879,-0.08200361901628557,-0.36170212765957444,2014
2013-10-31,4,12957,4481,495,12158,0.47,-0.17529119725033415,-0.16972392069668335,-0.47058823529411764,-0.1441041886659627,-0.46590909090909094,2013
2013-07-31,3,15711,5397,935,14205,0.88,0.20041259168704156,0.1848518111964874,0.7411545623836127,0.16243862520458266,0.7959183673469388,2013
2013-04-30,2,13088,4555,537,12220,0.49,0.18486329893174,0.20311674590596937,0.8776223776223776,0.15380983854215843,0.8148148148148147,2013
