Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-01-31,1,7763,5304,1480,6104,1.1,-0.010704727921498661,-0.008598130841121496,0.12890922959572845,-0.02864417568427753,0.13402061855670117,2022
2021-10-31,4,7847,5350,1311,6284,0.97,-0.017528483786152498,-0.007236964186305437,0.7182175622542595,-0.11840628507295174,0.732142857142857,2021
2021-07-31,3,7987,5389,763,7128,0.56,-0.024548119198827552,-0.026553468208092484,-0.4389705882352941,0.08262454434993925,-0.43999999999999995,2021
2021-04-30,2,8188,5536,1360,6584,1.0,0.05311897106109325,0.07411719053162592,0.07086614173228346,0.013234841489689135,0.06382978723404262,2021
2021-01-31,1,7775,5154,1270,6498,0.94,0.016738590296848436,0.042897612302711455,1.5971370143149284,-0.03260384100044663,1.6111111111111112,2021
2020-10-31,4,7647,4942,489,6717,0.36,0.1751959428307976,0.23488255872063968,0.004106776180698152,0.1513541309564621,0.0,2020
2020-07-31,3,6507,4002,487,5834,0.36,0.08504252126063032,0.07206000535762122,-0.24613003095975233,0.026931878190459425,-0.23404255319148934,2020
2020-04-30,2,5997,3733,646,5681,0.47,-0.22288454062459506,-0.2979123565920632,-0.66266318537859,-0.06531753866403422,-0.6690140845070423,2020
2020-01-31,1,7717,5317,1915,6078,1.42,0.0014274591227614846,0.0009412650602409639,0.4039589442815249,-0.04358772619984264,0.40594059405940586,2020
2019-10-31,4,7706,5312,1364,6355,1.01,0.028426531429334045,0.03608347961771016,0.5787037037037037,0.05775632490013315,0.578125,2019
2019-07-31,3,7493,5127,864,6008,0.64,-0.08016204272035354,-0.0946494790746954,-0.2627986348122867,-0.03096774193548387,-0.25581395348837205,2019
2019-04-30,2,8146,5663,1172,6200,0.86,0.0795123244102836,0.0723347850785836,-0.0764381402679275,0.03264490339773484,-0.08510638297872336,2019
2019-01-31,1,7546,5281,1269,6004,0.94,0.008688677984226708,0.0005683971201212581,0.13811659192825113,0.011285160855651002,0.14634146341463414,2019
2018-10-31,4,7481,5278,1115,5937,0.82,0.013136511375947995,0.01891891891891892,0.037209302325581395,-0.03432010409889395,0.03797468354430369,2018
2018-07-31,3,7384,5180,1075,6148,0.79,-0.09332023575638507,-0.09850330664810303,-0.2636986301369863,-0.010939510939510939,-0.26851851851851855,2018
2018-04-30,2,8144,5746,1460,6216,1.08,0.10517030804722487,0.11033816425120772,-2.051115910727142,0.04769930894994101,-2.0485436893203888,2018
2018-01-31,1,7369,5175,-1389,5933,-1.03,0.04524822695035461,0.050334889385021314,-1.6886465047099652,0.15069821567106284,-1.6959459459459458,2018
2017-10-31,4,7050,4927,2017,5156,1.48,-0.046008119079837616,-0.02203255260023819,0.985236220472441,-0.1418109187749667,1.0,2017
2017-07-31,3,7390,5038,1016,6008,0.74,-0.0664477008590197,-0.08015336863246303,-0.12639724849527084,-0.03594351732991014,-0.11904761904761903,2017
2017-04-30,2,7916,5477,1163,6232,0.84,0.08691473293972264,0.09212362911266202,0.4165651644336175,0.01564537157757497,0.42372881355932207,2017
2017-01-31,1,7283,5015,821,6136,0.59,-0.008441116405718176,-0.0007969715082685794,-0.26367713004484306,0.02953020134228188,-0.26250000000000007,2017
2016-10-31,4,7345,5019,1115,5960,0.8,0.024979067820262348,0.023241590214067277,0.20021528525296017,-0.006501083513918987,0.21212121212121213,2016
2016-07-31,3,7166,4905,929,5999,0.66,-0.05299326020880137,-0.05745580322828593,-0.15775158658204896,0.0011682242990654205,-0.15384615384615383,2016
2016-04-30,2,7567,5204,1103,5992,0.78,0.0912892991058552,0.08575005215939913,0.0073059360730593605,0.0740276035131744,0.012987012987012998,2016
2016-01-31,1,6934,4793,1095,5579,0.77,-0.017568716350240862,-0.017022149302707137,1.1057692307692308,-0.031087183049670026,1.138888888888889,2016
