Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,13830,9949,3017,10343,1.18,-0.07547295942242128,-0.09759637188208617,-0.07112068965517242,-0.04699161522159771,-0.07812500000000007,2022
2022-09-30,3,14959,11025,3248,10853,1.28,0.02508051805660248,0.062445793581960105,-0.17647058823529413,0.1393029603191266,-0.17419354838709677,2022
2022-06-30,2,14593,10377,3944,9526,1.55,-0.0822589774228036,-0.013686911890504704,-0.08491879350348028,-0.07325615332230762,-0.08823529411764701,2022
2022-03-31,1,15901,10521,4310,10279,1.7,0.17602248354411656,0.09048507462686567,0.14688664183076106,0.052098259979529174,0.14864864864864863,2022
2021-12-31,4,13521,9648,3758,9770,1.48,0.027900258476509048,-0.005770816158285243,-0.17714035471863368,0.18697606609160491,-0.1777777777777778,2021
2021-09-30,3,13154,9704,4567,8231,1.8,0.15365725311348885,0.16943841889611955,1.9559870550161813,-0.15196785493509168,1.9508196721311475,2021
2021-06-30,2,11402,8298,1545,9706,0.61,0.07292744895078573,0.11712439418416801,-0.5139981126140296,0.2446781225955373,-0.512,2021
2021-03-31,1,10627,7428,3179,7798,1.25,0.15775138904020045,0.6032808115691777,-2.5174224343675418,-0.37889287136598965,-2.524390243902439,2021
2020-12-31,4,9179,4633,-2095,12555,-0.82,-0.1601244395644615,-0.4147296614451743,-1.7123427405644338,0.49073854191403465,-1.7068965517241381,2020
2020-09-30,3,10929,7916,2941,8422,1.16,0.16850208489254784,0.19830457160157433,-0.02031978680879414,0.21757987566864248,-0.0169491525423729,2020
2020-06-30,2,9353,6606,3002,6917,1.18,-0.22426806004810484,-0.24459691252144083,-0.06741223982603294,-0.14351163942545814,-0.06349206349206354,2020
2020-03-31,1,12057,8745,3219,8076,1.26,1.9067020250723241,2.396116504854369,0.3657191344929996,0.41634514205541917,0.3695652173913043,2020
2019-12-31,4,4148,2575,2357,5702,0.92,-0.6654029200613052,-0.6937076245985488,0.23987375065754865,-0.41715220280077686,0.2432432432432433,2019
2019-09-30,3,12397,8407,1901,9783,0.74,0.05416666666666667,0.005742313673884436,-0.28801498127340824,0.17839074921705614,-0.28155339805825247,2019
2019-06-30,2,11760,8359,2670,8302,1.03,0.08727810650887574,0.07663575476558475,-0.08404802744425385,0.12068034557235421,-0.08035714285714292,2019
2019-03-31,1,10816,7764,2915,7408,1.12,-0.016548463356973995,0.007134518095732261,0.595511767925561,-0.09059661183402896,0.6231884057971018,2019
2018-12-31,4,10998,7709,1827,8146,0.69,0.018899388549193995,0.07442508710801393,-0.06307692307692307,0.0019680196801968018,-0.05479452054794526,2018
2018-09-30,3,10794,7175,1950,8130,0.73,0.031438127090301006,0.018019296254256526,0.14235500878734622,-0.008415660446395901,0.1587301587301587,2018
