Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,12749,11898,2113,9955,1.26,-0.018250423533035576,-0.01985336518658868,-0.15276663993584602,0.03719524901021046,-0.14285714285714285,2022
2022-09-30,3,12986,12139,2494,9598,1.47,-0.011117879987816022,-0.009384690713236494,0.04307820995399415,-0.02190971160705187,0.05755395683453243,2022
2022-06-30,2,13132,12254,2391,9813,1.39,-0.11276265117221809,-0.11962066240390833,-0.32495765104460755,-0.03916576911779105,-0.31188118811881194,2022
2022-03-31,1,14801,13919,3542,10213,2.02,0.019071881024511152,0.015022241668489754,-0.013919821826280624,0.05943983402489626,0.004975124378109568,2022
2021-12-31,4,14524,13713,3592,9640,2.01,-0.015522266657628956,-0.015436530729465825,0.002232142857142857,-0.024192732057900596,0.015151515151515053,2021
2021-09-30,3,14753,13928,3584,9879,1.98,-0.000406531607832509,-0.0025780578630764826,0.051643192488262914,-0.03080545472383008,0.0702702702702702,2021
2021-06-30,2,14759,13964,3408,10193,1.85,-0.061072587314714676,-0.057059896009183604,-0.14414866901054746,-0.017542168674698794,-0.15525114155251135,2021
2021-03-31,1,15719,14809,3982,10375,2.19,0.15606383761123777,0.1550581077919039,0.21922841396203308,0.13177702628995308,0.19672131147540975,2021
2020-12-31,4,13597,12821,3266,9167,1.83,0.16005460284958622,0.16300798258345428,0.2576049287639584,0.11331066310420208,0.10240963855421696,2020
2020-09-30,3,11721,11024,2597,8234,1.66,-0.14194729136163983,-0.14833127317676142,-0.14768624876928127,-0.11509940891993552,-0.15306122448979595,2020
2020-06-30,2,13660,12944,3047,9305,1.96,0.39687084568974335,0.4320168160194712,0.9163522012578617,0.21904886676274074,0.9405940594059405,2020
2020-03-31,1,9779,9039,1590,7633,1.01,-0.1090561224489796,-0.12607560669051532,-0.23741007194244604,-0.07400218367099357,-0.2230769230769231,2020
2019-12-31,4,10976,10343,2085,8243,1.3,0.09409888357256778,0.10090473656200107,0.012135922330097087,0.1257853045615952,0.02362204724409451,2019
2019-09-30,3,10032,9395,2060,7322,1.27,-0.02069504099960953,-0.022779280216351155,0.014278680452978828,-0.002588203242065114,0.032520325203252064,2019
2019-06-30,2,10244,9614,2031,7341,1.23,-0.00408321991055804,-0.008150211492829877,-0.1305650684931507,0.0013640703860319193,-0.1151079136690647,2019
