Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,52747,35259,16425,32348,2.2,0.05237221180320019,0.016988751081626768,-0.06442241968557758,0.13089078450566355,-0.0638297872340425,2022
2022-09-30,3,50122,34670,17556,28604,2.35,-0.03360647835727369,-0.021616435263573767,0.04874551971326165,-0.08703839647633334,0.049107142857142794,2022
2022-06-30,2,51865,35436,16740,31331,2.24,0.05074959481361426,0.050111127574455475,0.0007173601147776184,0.08052834873775694,0.009009009009009016,2022
2022-03-31,1,49360,33745,16728,28996,2.22,-0.045777915248994744,-0.029423607915324435,-0.10855315747402078,-0.016451273701706185,-0.10483870967741928,2022
2021-12-31,4,51728,34768,18765,29481,2.48,0.14147008848776396,0.09778661867323418,-0.08485735186539868,0.17552533992583436,-0.08487084870848707,2021
2021-09-30,3,45317,31671,20505,25079,2.71,-0.018092390362281156,-0.015235844656571624,0.24589865111192125,-0.07310492663636027,0.24884792626728114,2021
2021-06-30,2,46152,32161,16458,27057,2.17,0.10660336642209754,0.12211716269495133,0.06476030277544155,0.09729094006002109,0.06896551724137938,2021
2021-03-31,1,41706,28661,15457,24658,2.03,-0.03180425294827746,-0.007651824665881864,-0.00038802302269934683,-0.020691846379919776,0.0,2021
2020-12-31,4,43076,28882,15463,25179,2.03,0.15939064434515798,0.10438972162740899,0.11300655006118189,0.1833348998966068,0.11538461538461524,2020
2020-09-30,3,37154,26152,13893,21278,1.82,-0.023111508426892434,0.017825173192184945,0.24022495982860204,-0.1359538698936084,0.23809523809523817,2020
2020-06-30,2,38033,25694,11202,24626,1.47,0.0860055395334228,0.06853530732762206,0.04185267857142857,0.11702803229610814,0.050000000000000044,2020
2020-03-31,1,35021,24046,10752,22046,1.4,-0.051075705847287704,-0.020449731138992993,-0.07700231779551893,-0.042102976319791444,-0.07284768211920536,2020
2019-12-31,4,36906,24548,11649,23015,1.51,0.1165027983663591,0.08384476135811736,0.09093463195354935,0.1299032844027689,0.09420289855072472,2019
2019-09-30,3,33055,22649,10678,20369,1.38,-0.019634012515941515,-0.0281484659944218,-0.1902631379388792,-0.04424737237237237,-0.1882352941176471,2019
2019-06-30,2,33717,23305,13187,21312,1.7,0.10290798469137417,0.14234596343316505,0.4969917130207742,0.053484923381117155,0.4912280701754387,2019
2019-03-31,1,30571,20401,8809,20230,1.14,-0.058513750731421885,0.017607741420590583,0.046199524940617576,-0.08927204789987844,0.05555555555555539,2019
2018-12-31,4,32471,20048,8420,22213,1.08,0.11645578324852153,0.045309974451222694,-0.04578422484134179,0.16122118249777825,-0.05263157894736828,2018
2018-09-30,3,29084,19179,8824,19129,1.14,-0.033272394881170016,-0.05721869930688689,-0.0055223712385889774,-0.02928042220643459,-0.017241379310344845,2018
2018-06-30,2,30085,20343,8873,19706,1.16,0.12177933554569521,0.15914529914529915,0.19517780172413793,0.06363685432072111,0.22105263157894733,2018
2018-03-31,1,26819,17550,7424,18527,0.95,-0.07258454941558891,-0.017026996751428252,-2.1780387178673437,-0.08458915954345571,-2.158536585365854,2018
2017-12-31,4,28918,17854,-6302,20239,-0.82,0.17849865514711877,0.0980319803198032,-1.9583333333333333,0.2025549613784908,-1.9761904761904763,2017
2017-09-30,3,24538,16260,6576,16830,0.84,-0.04167154852567858,-0.05183975742025774,-0.18502912380716321,-0.060983094348044414,-0.18446601941747579,2017
2017-06-30,2,25605,17149,8069,17923,1.03,0.1030932276408754,0.13179778247096094,0.47083485235144,0.08696706895506096,0.4714285714285716,2017
2017-03-31,1,23212,15152,5486,16489,0.7,-0.10121582900952529,-0.048540031397174256,-0.12462103079623424,-0.0799062552312929,-0.1250000000000001,2017
2016-12-31,4,25826,15925,6267,17921,0.8,0.17776358993068223,0.13071570576540756,0.10587612493382742,0.178005653059883,0.11111111111111122,2016
2016-09-30,3,21928,14084,5667,15213,0.72,-0.17090139140955837,-0.23742487411337918,-0.1742678129098062,-0.12929258241758243,-0.16279069767441862,2016
2016-06-30,2,26448,18469,6863,17472,0.86,0.28819833422629193,0.44187680537122337,0.827209797657082,0.1458551941238195,0.8297872340425533,2016
2016-03-31,1,20531,12809,3756,15248,0.47,-0.13720793410657253,-0.08007756391841425,-0.251494619370267,-0.14192459200900395,-0.24193548387096778,2016
2015-12-31,4,23796,13924,5018,17770,0.62,0.16767260415133226,0.05709079866383237,0.023663810689514484,0.21829151240915948,0.016393442622950834,2015
2015-09-30,3,20379,13172,4902,14586,0.61,-0.08119927862939585,-0.10467645459488853,-2.5342723004694836,-0.398093508851566,-2.6052631578947367,2015
2015-06-30,2,22180,14712,-3195,24233,-0.38,0.02075567214321874,0.009884678747940691,-1.6409227683049148,0.6011232243145028,-1.6229508196721312,2015
2015-03-31,1,21729,14568,4985,15135,0.61,-0.1791084246316585,-0.10811803599853068,-0.1497526863380522,-0.19038194072964587,-0.1408450704225352,2015
2014-12-31,4,26470,16334,5863,18694,0.71,0.14089909917675963,0.09418542336548767,0.29140969162995595,0.07702944057152734,0.31481481481481466,2014
2014-09-30,3,23201,14928,4540,17357,0.54,-0.007740997348387649,-0.052130293986919804,-0.015611448395490026,0.027041420118343196,-0.018181818181818195,2014
2014-06-30,2,23382,15749,4612,16900,0.55,0.14600794000882222,0.09178509532062391,-0.18515901060070672,0.2584704743465634,-0.19117647058823528,2014
