Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,7926,3137,1398,6393,3.1,-0.005520702634880803,-0.04330588594083562,-0.029840388619014575,0.00015644555694618273,-0.03125000000000003,2022
2022-06-30,2,7970,3279,1441,6392,3.2,0.012963904422979155,-0.08484510186994139,-0.09768315591734503,0.08412483039348712,-0.09348441926345599,2022
2022-03-31,1,7868,3583,1597,5896,3.53,0.02062524322220781,0.4506072874493927,1.6309719934102143,-0.1669963266459452,1.6541353383458643,2022
2021-12-31,4,7709,2470,607,7078,1.33,0.030201790725644793,-0.2462618248397925,-0.5810904071773637,0.23568435754189945,-0.5830721003134796,2021
2021-09-30,3,7483,3277,1449,5728,3.19,0.01920457640969763,-0.014139590854392299,0.07095343680709534,0.042591918456498,0.07407407407407399,2021
2021-06-30,2,7342,3324,1353,5494,2.97,0.024989529526734607,0.008801213960546282,-0.20738137082601055,0.05592927157409187,-0.20799999999999993,2021
2021-03-31,1,7163,3295,1707,5203,3.75,0.07811559301625527,0.3291649858814038,2.1494464944649447,-0.08558875219683655,2.1779661016949157,2021
2020-12-31,4,6644,2479,542,5690,1.18,0.032318210068365445,-0.03465732087227414,-0.3139240506329114,0.1111111111111111,-0.32183908045977017,2020
2020-09-30,3,6436,2568,790,5121,1.74,0.0468445022771633,0.025149700598802394,0.09722222222222222,0.06910229645093946,0.09433962264150937,2020
2020-06-30,2,6148,2505,720,4790,1.59,0.06588072122052704,0.15544280442804428,0.015514809590973202,-0.003950925348305261,0.012738853503184724,2020
2020-03-31,1,5768,2168,709,4809,1.57,0.05505761843790013,0.08345827086456771,0.20783645655877342,-0.03992812936713915,0.2076923076923077,2020
2019-12-31,4,5467,2001,587,5009,1.3,0.04232602478551001,-0.0680018630647415,-0.11729323308270677,0.17444314185228604,-0.11564625850340131,2019
