Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-11-30,4,13315,5711,1331,11728,0.85,0.0494994876645385,0.017097061442564558,-0.09332425068119891,0.06695778748180495,-0.08602150537634416,2022
2022-08-31,3,12687,5615,1468,10992,0.93,0.03702795487984306,0.020352534980919497,0.020152883947185545,0.02099201188928107,0.04494382022471914,2022
2022-05-31,2,12234,5503,1439,10766,0.89,0.12537944991261155,0.08604697059403986,0.030802292263610316,0.1648993724302099,0.022988505747126457,2022
2022-02-28,1,10871,5067,1396,9242,0.87,-0.04279299110680637,-0.028006905812392097,0.044128646222887064,-0.06674745026759568,0.048192771084337394,2022
2021-11-30,4,11357,5213,1337,9903,0.83,-0.07274657086871326,-0.08479634831460674,-0.2865528281750267,-0.021829316475701303,-0.2844827586206896,2021
2021-08-31,3,12248,5696,1874,10124,1.16,-0.007777057679844459,0.007250221043324492,0.24188204108681247,-0.029431502252900008,0.24731182795698908,2021
2021-05-31,2,12344,5655,1509,10431,0.93,0.1918509220816839,0.19834710743801653,0.041407867494824016,0.20186657449014864,0.03333333333333336,2021
2021-02-28,1,10357,4719,1449,8679,0.9,-0.07880458952236948,-0.026408087476789768,0.15827338129496402,-0.10183172927662217,0.15384615384615383,2021
2020-11-30,4,11243,4847,1251,9663,0.78,0.06126109118368888,0.02235815228854672,-0.17588932806324112,0.09458541005890349,-0.17894736842105258,2020
2020-08-31,3,10594,4741,1518,8828,0.95,0.6781245049897038,1.0148746281342966,-2.921518987341772,0.2345126555726472,-2.938775510204082,2020
2020-05-31,2,6313,2353,-790,7151,-0.49,-0.3751979414093428,-0.47395484015202327,-1.9327036599763872,-0.19777877496073593,-1.9245283018867925,2020
2020-02-29,1,10104,4473,847,8914,0.53,-0.02149912841371296,-0.015625,-0.24035874439461882,-0.021084998901822975,-0.24285714285714277,2020
2019-11-30,4,10326,4544,1115,9106,0.7,-0.031332082551594746,-0.0671320057483063,-0.18434528163862474,-0.0012065372381265768,-0.186046511627907,2019
2019-08-31,3,10660,4871,1367,9117,0.86,0.04673998428908091,0.05137060220159724,0.3822042467138524,0.017863123813776933,0.3870967741935484,2019
2019-05-31,2,10184,4633,989,8957,0.62,0.05961918634897513,0.06775754782207882,-0.10172570390554042,0.07102714336960421,-0.08823529411764713,2019
2019-02-28,1,9611,4339,1101,8363,0.68,0.025282696820994238,0.057003654080389765,0.29988193624557263,-0.005706812507430745,0.30769230769230776,2019
2018-11-30,4,9374,4105,847,8411,0.52,-0.057700040209087256,-0.0664089151694337,-0.22435897435897437,-0.023566287439052706,-0.22388059701492538,2018
2018-08-31,3,9948,4397,1092,8614,0.67,0.01624272142200429,0.004339881224303335,-0.0395778364116095,0.009729222834368773,-0.05633802816901398,2018
2018-05-31,2,9789,4378,1137,8531,0.71,0.08960373998219057,0.11173184357541899,-2.234527687296417,0.0918981185204147,-2.245614035087719,2018
2018-02-28,1,8984,3938,-921,7813,-0.57,0.0502688800561141,0.07069059271343121,-2.200782268578879,0.022108843537414966,-2.239130434782609,2018
2017-11-30,4,8554,3678,767,7644,0.46,-0.05689084895259096,-0.07168096920747097,-0.19263157894736843,-0.04018081366147665,-0.19298245614035078,2017
2017-08-31,3,9070,3962,950,7964,0.57,0.04529215166532211,0.03635888046037144,-0.057539682539682536,0.0591834020481447,-0.050000000000000044,2017
2017-05-31,2,8677,3823,1008,7519,0.6,0.02905597722960152,0.019466666666666667,-0.1165644171779141,0.04750626915575369,-0.11764705882352951,2017
2017-02-28,1,8432,3750,1141,7178,0.68,0.03080684596577017,0.03705752212389381,0.35510688836104515,0.015419436978356203,0.3600000000000001,2017
2016-11-30,4,8180,3616,842,7069,0.5,-0.09722988632601258,-0.12296871210283775,-0.32586068855084066,-0.09776643267389917,-0.3150684931506849,2016
2016-08-31,3,9061,4123,1249,7835,0.73,0.09910237748665696,0.0890121500264131,0.47635933806146574,0.08457918050941307,0.4897959183673469,2016
2016-05-31,2,8244,3786,846,7224,0.49,0.026394422310756973,0.026294388723231227,-0.10947368421052632,0.04559270516717325,-0.10909090909090918,2016
