Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,4991,3949,1489,3524,1.03,0.06327226246271836,0.12667617689015692,0.12123493975903614,0.03799705449189985,0.10752688172043008,2022
2022-06-30,2,4694,3505,1328,3395,0.93,0.2507327471356248,0.3357469512195122,2.2390243902439027,-0.005565319273579379,2.2068965517241383,2022
2022-03-31,1,3753,2624,410,3414,0.29,-0.15700808625336926,-0.21811680572109654,-0.6034816247582205,0.010358094110683634,-0.6133333333333334,2022
2021-12-31,4,4452,3356,1034,3379,0.75,0.33373277411623725,0.44655172413793104,3.0549019607843135,0.1240851630073187,3.166666666666667,2021
2021-09-30,3,3338,2320,255,3006,0.18,-0.0647240123283833,-0.011082693947144074,-0.3181818181818182,-0.07791411042944785,-0.3333333333333334,2021
2021-06-30,2,3569,2346,374,3260,0.27,0.05498078628436299,0.3459552495697074,-1.8442437923250565,-0.18824701195219123,-1.75,2021
2021-03-31,1,3383,1743,-443,4016,-0.36,-0.22674285714285713,-0.31269716088328076,0.605072463768116,-0.15789473684210525,0.7142857142857143,2021
2020-12-31,4,4375,2536,-276,4769,-0.21,1.0903010033444815,0.5722256664600124,1.3793103448275863,1.0880035026269703,1.0999999999999999,2020
2020-09-30,3,2093,1613,-116,2284,-0.1,0.21263035921205098,0.19570051890289103,-0.08661417322834646,0.16649642492339123,-0.09090909090909087,2020
2020-06-30,2,1726,1349,-127,1958,-0.11,0.8679653679653679,1.0285714285714285,-0.781786941580756,0.26731391585760517,-0.78,2020
2020-03-31,1,924,665,-582,1545,-0.5,-0.3996101364522417,-0.4671474358974359,1.346774193548387,-0.16123778501628663,1.0833333333333335,2020
2019-12-31,4,1539,1248,-248,1842,-0.24,0.4643196955280685,0.569811320754717,-0.2415902140672783,0.27739251040221913,-0.14285714285714296,2019
2019-09-30,3,1051,795,-327,1442,-0.28,-0.010357815442561206,-0.04216867469879518,1.2397260273972603,0.127443315089914,1.3333333333333337,2019
2019-06-30,2,1062,830,-146,1279,-0.12,0.568685376661743,0.5173674588665448,-0.4785714285714286,0.2880161127895267,-0.5,2019
2019-03-31,1,677,547,-280,993,-0.24,-0.1397712833545108,-0.06814310051107325,-0.10256410256410256,-0.12123893805309735,-1.8000000000000003,2019
2018-12-31,4,787,587,-312,1130,0.3,0.6028513238289206,0.5529100529100529,0.95,0.6715976331360947,-2.8749999999999996,2018
2018-09-30,3,491,378,-160,676,-0.16,0.20048899755501223,0.07692307692307693,-0.836901121304791,-0.5212464589235127,-0.9215686274509804,2018
2018-06-30,2,409,351,-981,1412,-2.04,0.8506787330316742,1.0647058823529412,20.8,4.409961685823755,16.0,2018
2018-03-31,1,221,170,-45,261,-0.12,inf,inf,-inf,inf,-inf,2018
2017-12-31,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2017
