Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,25661,15677,7864,16260,1.37,0.08269693261887684,0.11508642150935344,1.3177129384025936,-0.21487204249154998,1.322033898305085,2022
2021-12-31,4,23701,14059,3393,20710,0.59,-0.016311114800365237,-0.0043906238934919625,-0.5834765529094034,0.1536319073083779,-0.5845070422535211,2021
2021-09-30,3,24094,14121,8146,17952,1.42,0.26964219845075615,0.18385311871227364,0.46431781412906703,0.34310938201406554,0.44897959183673464,2021
2021-06-30,2,18977,11928,5563,13366,0.98,0.3073160650316892,0.15146249637995945,0.14066024195201968,0.36013025338353516,0.13953488372093023,2021
2021-03-31,1,14516,10359,4877,9827,0.86,0.2703246696420758,0.18850390087195962,4.764775413711584,-0.08364416262588587,4.733333333333333,2021
2020-12-31,4,11427,8716,846,10724,0.15,0.11190036002724531,0.05392986698911729,-0.4240980258679374,0.36977902669561885,-0.42307692307692313,2020
2020-09-30,3,10277,8270,1469,7829,0.26,0.04186942416869424,0.02886290121920876,-0.5789624534250501,0.004748459958932238,-0.5806451612903225,2020
2020-06-30,2,9864,8038,3489,7792,0.62,-0.021719726271942873,-0.012894510622620656,0.03994038748137109,0.10430839002267574,0.03333333333333337,2020
2020-03-31,1,10083,8143,3355,7056,0.6,4.470971242539338,4.816428571428571,-6.74486301369863,0.04209127159946832,-6.454545454545454,2020
2019-12-31,4,1843,1400,-584,6771,-0.11,-0.8546529968454258,-0.86108354832308,-1.0760416666666666,-0.3035383665912364,-1.0808823529411766,2019
2019-09-30,3,12680,10078,7680,9722,1.36,-0.04402895054282268,-0.057073353293413176,0.5219976218787158,0.08046232496110246,0.5280898876404495,2019
2019-06-30,2,13264,10688,5046,8998,0.89,0.011129745388016466,0.00028076743097800656,0.29917610710607623,0.03377757352941176,0.3088235294117646,2019
2019-03-31,1,13118,10685,3884,8704,0.68,10.357575757575757,30.334310850439884,-10.857868020304569,0.21360847741215838,-12.333333333333334,2019
2018-12-31,4,1155,341,-394,7172,-0.06,-0.9131448338095954,-0.9678423236514523,-1.095770539620807,-0.24774491294315082,-1.0869565217391306,2018
2018-09-30,3,13298,10604,4114,9534,0.69,-0.012475865141838705,0.0051184834123222745,0.0625,0.004636459430979979,0.06153846153846142,2018
2018-06-30,2,13466,10550,3872,9490,0.65,0.043390671005733766,0.020013535724644687,0.08733501825329963,0.059506531204644414,0.10169491525423738,2018
2018-03-31,1,12906,10343,3561,8957,0.59,-0.05816244617966868,-0.009955011007944865,-0.7098745315300635,-0.21402246402246403,-0.7093596059113301,2018
2017-12-31,4,13703,10447,12274,11396,2.03,0.04062879708383961,0.011913986826811314,3.321830985915493,0.19907407407407407,3.3191489361702127,2017
2017-09-30,3,13168,10324,2840,9504,0.47,0.02109181141439206,0.008597108245408363,-0.07582167263260657,0.038121245221190606,-0.07843137254901968,2017
2017-06-30,2,12896,10236,3073,9155,0.51,0.009155645981688708,-0.007273785277858598,-0.01537968599807754,0.04401870224655035,0.0,2017
2017-03-31,1,12779,10311,3121,8769,0.51,-0.06222939751963014,-0.009985597695631301,3.027096774193548,-0.2613090725296942,2.923076923076923,2017
2016-12-31,4,13627,10415,775,11871,0.13,0.044614794940590265,0.04568273092369478,-0.4280442804428044,0.18425778132482043,-0.40909090909090906,2016
2016-09-30,3,13045,9960,1355,10024,0.22,-0.007758423975051342,-0.0013035195026571743,-0.33805569125549584,0.03660806618407446,-0.33333333333333337,2016
2016-06-30,2,13147,9973,2047,9670,0.33,0.010918877354863514,-0.01782548749261375,-0.32620144832126396,0.061005047180162385,-0.32653061224489793,2016
2016-03-31,1,13005,10154,3038,9114,0.49,-0.07417954011532711,-0.04531778864234675,-18.662790697674417,-0.2537460083517563,-17.333333333333336,2016
2015-12-31,4,14047,10636,-172,12213,-0.03,0.16215769008025152,0.07782732063234699,-1.0807511737089202,0.39912933898499253,-1.088235294117647,2015
2015-09-30,3,12087,9868,2130,8729,0.34,0.019741837509491267,0.020159206037423757,-0.18888042650418888,0.05703560184063938,-0.19047619047619038,2015
2015-06-30,2,11853,9673,2626,8258,0.42,0.09103460972017673,0.07168180810990472,0.10521885521885523,0.055065797879136326,0.1052631578947368,2015
2015-03-31,1,10864,9026,2376,7827,0.38,-0.1718249733191035,-0.13344854070660522,0.9348534201954397,-0.286573694284933,1.0,2015
2014-12-31,4,13118,10416,1228,10971,0.19,0.0612409999191004,0.04232963074151906,-0.5393848462115529,0.2640857241617698,-0.5476190476190476,2014
2014-09-30,3,12361,9993,2666,8679,0.42,-0.03225553902763642,-0.030840849578120454,-0.08447802197802198,-0.016320979258755527,-0.06666666666666672,2014
2014-06-30,2,12773,10311,2912,8823,0.45,0.1250770721395226,0.10775676837129351,0.25032202662086733,0.11924394266142331,0.25000000000000006,2014
2014-03-31,1,11353,9308,2329,7883,0.36,-0.16263460687417022,-0.13526570048309178,-0.09306853582554517,-0.2503090822634332,-0.18181818181818185,2014
2013-12-31,4,13558,10764,2568,10515,0.44,0.07237206359250178,0.039397450753186555,-0.008494208494208495,0.21434345767409632,0.12820512820512817,2013
2013-09-30,3,12643,10356,2590,8659,0.39,-0.02543744700531874,-0.0349454850433324,-0.8162468960624335,-0.003108450379921713,-0.803030303030303,2013
2013-06-30,2,12973,10731,14095,8686,1.98,0.04536663980660757,0.05755395683453238,4.125454545454545,0.017096018735362997,4.2105263157894735,2013
2013-03-31,1,12410,10147,2750,8540,0.38,-0.03431639561123648,-0.029923518164435947,-0.564528899445764,-0.17014867359828978,-0.5476190476190476,2013
2012-12-31,4,12851,10460,6315,10291,0.84,-0.007874623639311356,-0.01728673431040962,0.9685162094763092,0.11737242128121607,0.9534883720930232,2012
2012-09-30,3,12953,10644,3208,9210,0.43,-0.07266609392898053,-0.08178053830227744,-0.013833384568090993,0.012087912087912088,0.0,2012
2012-06-30,2,13968,11592,3253,9100,0.43,-0.061605643265031915,-0.04514003294892916,0.8132664437012264,-0.15678280207561157,0.7916666666666667,2012
2012-03-31,1,14885,12140,1794,10792,0.24,0.3012501092752863,0.2630045776113192,0.24669909659485753,0.13289943313038002,0.3333333333333333,2012
