Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,20612,9766,3868,15673,1.57,0.05621316935690494,0.12085389647652932,0.29842228935884524,-0.015329521894829428,0.29752066115702486,2022
2022-06-30,2,19515,8713,2979,15917,1.21,0.006913987926319591,-0.03776918829376035,-0.09370246425311834,0.03646545549260923,-0.09022556390977451,2022
2022-03-31,1,19381,9055,3287,15357,1.33,-0.0750250560778886,-0.11993391000097191,-0.20852395858415604,-0.027114349065568578,-0.19879518072289148,2022
2021-12-31,4,20953,10289,4153,15785,1.66,0.030238961549808242,0.0316855509876667,0.027461652647204356,0.0306888671237349,0.0310559006211179,2021
2021-09-30,3,20338,9973,4042,15315,1.61,0.07347197297582603,0.08935008192244676,0.4272598870056497,-0.005906789562508114,0.4122807017543862,2021
2021-06-30,2,18946,9155,2832,15406,1.14,0.04622011154674471,-0.0034831827582453468,-0.11610486891385768,0.0755375593409662,-0.09523809523809532,2021
2021-03-31,1,18109,9187,3204,14324,1.26,-0.08285641934667004,-0.12438048036599314,-0.15417106652587118,-0.002854159415245388,-0.14285714285714285,2021
2020-12-31,4,19745,10492,3788,14365,1.47,0.022103737446940677,0.031053459119496855,-0.10045119924008548,0.023366816271283036,-0.09815950920245395,2020
2020-09-30,3,19318,10176,4211,14037,1.63,0.09153576675330546,0.16217450890817725,0.5424908424908425,-0.01266089892382359,0.5233644859813082,2020
2020-06-30,2,17698,8756,2730,14217,1.07,0.028116649238991518,0.03036008472581784,-0.04311251314405889,0.03313712666230652,-0.04464285714285718,2020
2020-03-31,1,17214,8498,2853,13761,1.12,-0.05625,-0.0931597481592146,-0.21899808376676705,0.00021805494984736154,-0.2056737588652481,2020
2019-12-31,4,18240,9371,3653,13758,1.41,0.024834251039442635,0.032617079889807166,0.035430839002267574,0.018507551080840984,0.03676470588235281,2019
2019-09-30,3,17798,9075,3528,13508,1.36,0.04118404118404118,0.1126777832270721,-1.6645319269165568,-0.39387956564659427,-1.6634146341463416,2019
2019-06-30,2,17094,8156,-5309,22286,-2.05,0.038391446968776576,0.01505911636589919,-2.980231256993659,0.684123025768911,-2.971153846153846,2019
2019-03-31,1,16462,8035,2681,13233,1.04,-0.055969721298314026,-0.05681418006808311,-0.14317673378076062,-0.022817899867080195,-0.14754098360655732,2019
2018-12-31,4,17438,8519,3129,13542,1.22,0.04481725584182145,0.03814282232512795,-0.0012767315671879987,0.030907429963459195,0.0,2018
2018-09-30,3,16690,8206,3133,13136,1.22,0.011331273101860268,0.10399569487420961,0.7176535087719298,-0.05605058924978442,0.6712328767123288,2018
2018-06-30,2,16503,7433,1824,13916,0.73,0.013635526073337019,-0.058756489806255544,-0.2515387771850636,0.0645654834761322,-0.23157894736842102,2018
2018-03-31,1,16281,7897,2437,13072,0.95,-0.06404139120436907,-0.09083582776882339,0.0016440608302507192,-0.02997922232116355,0.02150537634408592,2018
2017-12-31,4,17395,8686,2433,13476,0.93,0.04455653635981505,0.036020992366412215,-0.12826943747760658,0.03621683967704729,-0.12264150943396226,2017
2017-09-30,3,16653,8384,2791,13005,1.06,0.03569873748367436,0.0920932655985411,0.29693308550185876,-0.023575343494256325,0.29268292682926844,2017
2017-06-30,2,16079,7677,2152,13319,0.82,0.03037487984620314,-0.01184193589908611,-0.12591389114541024,0.08770926908942425,-0.11827956989247322,2017
2017-03-31,1,15605,7769,2462,12245,0.93,-0.07421689606074988,-0.09219443795279271,-0.6849244944970566,-0.05669825129034743,-0.6770833333333333,2017
2016-12-31,4,16856,8558,7814,12981,2.88,0.020462525729507203,0.016872623574144485,1.9475669558657112,0.018357260531889855,2.0,2016
2016-09-30,3,16518,8416,2651,12747,0.96,0.02583529996273755,0.09015544041450778,0.4041313559322034,-0.06272058823529411,0.39130434782608703,2016
2016-06-30,2,16102,7720,1888,13600,0.69,0.022024754046334496,-0.015306122448979591,-0.2973576479344994,0.09351129693656027,-0.288659793814433,2016
2016-03-31,1,15755,7840,2687,12437,0.97,-0.06857818504286137,-0.07273802483737433,-0.14481222151495862,-0.047848721482161995,-0.13392857142857154,2016
2015-12-31,4,16915,8455,3142,13062,1.12,0.023476735039632116,0.00955223880597015,0.23895899053627762,0.02374794262873266,0.23076923076923084,2015
2015-09-30,3,16527,8375,2536,12759,0.91,-0.07099494097807757,-0.018516348294855267,3.867562380038388,-0.24323843416370106,4.055555555555555,2015
2015-06-30,2,17790,8533,521,16860,0.18,0.050797401063201415,0.06622516556291391,-0.7580120761727822,0.21251348435814454,-0.7600000000000001,2015
2015-03-31,1,16930,8003,2153,13905,0.75,-0.08461746417950798,-0.10450934318003804,-0.06472632493483926,-0.06777956556717618,-0.08536585365853654,2015
2014-12-31,4,18495,8937,2302,14916,0.82,-0.014703532044110595,-0.011065619121389841,0.1927461139896373,-0.01466508125247721,0.1884057971014493,2014
2014-09-30,3,18771,9037,1930,15138,0.69,0.46294131400514377,0.8484352628349355,-0.23046251993620415,0.42154192881960745,-0.22471910112359558,2014
2014-06-30,2,12831,4889,2508,10649,0.89,-0.3467236902398045,-0.4907822101864389,-0.017241379310344827,-0.3480869299051117,-0.01111111111111112,2014
2014-03-31,1,19641,9601,2552,16335,0.9,-0.06910280108061993,-0.0963764705882353,-0.2407021719726272,-0.0275049115913556,-0.2372881355932203,2014
2013-12-31,4,21099,10625,3361,16797,1.18,0.012914066250600096,0.0359789391575663,0.13203098686426407,0.0052064631956912025,0.13461538461538453,2013
2013-09-30,3,20830,10256,2969,16710,1.04,0.02626003842932453,0.0551440329218107,0.5834666666666667,-0.05304318259095546,0.625,2013
2013-06-30,2,20297,9720,1875,17646,0.64,-0.014613069230022332,-0.052077238150965474,-0.2535828025477707,0.026347932298028266,-0.2727272727272727,2013
2013-03-31,1,20598,10254,2512,17193,0.88,-0.07111612175873731,-0.09216467463479415,-0.37074148296593185,-0.027710230164564836,-0.3669064748201438,2013
