Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2022
2021-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2021
2021-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2021
2020-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2020
2020-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2020
2019-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2019
2019-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2019
2018-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2018
2018-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2018
2017-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2017
2017-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2017
2016-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2016
2015-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2015
2015-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2015
2014-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2014
2014-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2014
2013-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2013
2013-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2013
2012-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2012
2012-06-30,2,0.0,0.0,0.0,0.0,0.0,,,,,,2012
2011-12-31,4,0.0,0.0,0.0,0.0,0.0,,,,,,2011
2011-06-30,2,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,,2011
2010-12-31,4,10456.25,2001.75,1333.75,8645.25,0.0,-0.2,-0.2,-0.2,-0.2,,2010
2010-06-30,2,13070.3125,2502.1875,1667.1875,10806.5625,0.0,-0.6875,-0.6875,-0.6875,-0.6875,-1.0,2010
2009-12-31,4,41825.0,8007.0,5335.0,34581.0,0.78,0.9473622437151591,0.9147581492903154,0.8328740650610171,0.956471466002836,-0.4,2009
2009-06-30,2,21477.770833333332,4181.729166666667,2910.7291666666665,17675.1875,1.3,1.2518107394981477,1.0538944826457106,0.6825024084778419,1.3141120057606703,-0.5833333333333334,2009
2009-03-31,1,9538.0,2036.0,1730.0,7638.0,3.12,0.0,0.0,0.0,0.0,0.0,2009
