Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-10-31,4,16083,9450,2853,12444,2.06,0.21877841770233403,0.0022271714922048997,0.043907793633369926,0.28886587260486796,0.05641025641025646,2022
2022-07-31,3,13196,9429,2733,9655,1.95,0.2194806394972738,0.06434134778191669,-0.17231980617807388,0.4564791069542917,-0.16666666666666663,2022
2022-04-30,2,10821,8859,3302,6629,2.34,-0.09644288577154309,-0.14098710365558034,0.035759096612296114,-0.14198809215635516,0.04464285714285698,2022
2022-01-31,1,11976,10313,3188,7726,2.24,0.05024993422783478,0.04753682072117826,0.07376220949814752,0.03718619948986441,0.05660377358490571,2022
2021-10-31,4,11403,9845,2969,7449,2.12,-0.04712960641764853,-0.05181546759125494,-0.13917077413743115,0.0024222850222042794,-0.12396694214876026,2021
2021-07-31,3,11967,10383,3449,7431,2.42,0.1025428413488115,0.12479688007799805,0.08153026026967701,0.1035046035046035,0.1050228310502283,2021
2021-04-30,2,10854,9231,3189,6734,2.19,-0.07805996772275546,-0.08258795468097793,0.08322010869565218,-0.15561128526645768,0.05797101449275368,2021
2021-01-31,1,11773,10062,2944,7975,2.07,0.15116847560379387,0.20014312977099236,0.24271844660194175,0.11804289920089724,0.24698795180722888,2021
2020-10-31,4,10227,8384,2369,7133,1.66,-0.11108213820078226,-0.11242854118145247,0.03449781659388646,-0.16298990847218964,0.0310559006211179,2020
2020-07-31,3,11505,9446,2290,8522,1.61,0.12265807962529274,0.25728736856116063,1.2189922480620154,-0.051424755120213717,1.2054794520547947,2020
2020-04-30,2,10248,7513,1032,8984,0.73,-0.2446933962264151,-0.22983085597129677,-0.6052027543993879,-0.11964723174914257,-0.5989010989010989,2020
2020-01-31,1,13568,9755,2614,10205,1.82,0.06767390620081838,0.1362842166569598,0.016725009723842863,0.04505888376856119,0.02247191011235957,2020
2019-10-31,4,12708,8585,2571,9765,1.78,-0.013124174885454686,-0.012082853855005753,0.06813460739509763,-0.00407955124936257,0.06586826347305395,2019
2019-07-31,3,12877,8690,2407,9805,1.67,0.02101173485569299,0.006252894858730894,0.013900589721988205,0.020185204453230673,0.012121212121212133,2019
2019-04-30,2,12612,8636,2374,9611,1.65,-0.003319108582266477,-0.007470405700494196,0.021514629948364887,-0.008868722285242858,0.024844720496894294,2019
2019-01-31,1,12654,8701,2324,9697,1.61,0.1029373311252506,0.0627824599975571,-0.0021468441391155,0.1470309912467471,-0.041666666666666574,2019
2018-10-31,4,11473,8187,2329,8454,1.68,-0.006064281382656155,-0.03146811782799006,-0.02060555088309504,-0.011921458625525946,0.04347826086956511,2018
2018-07-31,3,11543,8453,2378,8556,1.61,0.090917682638692,0.07257962187539653,-0.005852842809364548,0.13444709626093873,-0.006172839506172844,2018
2018-04-30,2,10581,7881,2392,7542,1.62,-0.0392263688368292,-0.07985989492119089,0.032369443245576175,-0.03456221198156682,0.018867924528301903,2018
2018-01-31,1,11013,8565,2317,7812,1.59,0.014648977335544499,-0.008795278324268024,0.04794210764360018,-0.024719101123595506,0.052980132450331174,2018
2017-10-31,4,10854,8641,2211,8010,1.51,0.142165631905714,0.14163033425815827,0.07748538011695906,0.18089340999557718,0.07857142857142865,2017
2017-07-31,3,9503,7569,2052,6783,1.4,0.004014791336502906,-0.02247191011235955,0.002932551319648094,0.013295488497161638,0.007194244604316554,2017
2017-04-30,2,9465,7743,2046,6694,1.39,0.08047945205479452,0.08157563905573405,-0.07210884353741497,0.14056909183847333,-0.06081081081081086,2017
2017-01-31,1,8760,7159,2205,5869,1.48,0.026362038664323375,0.021838424207821866,0.18932038834951456,-0.027506213753106877,0.184,2017
2016-10-31,4,8535,7006,1854,6035,1.25,-0.10684386772708246,-0.11951740605755938,-0.14680165669581224,-0.10393466963622866,-0.14383561643835616,2016
2016-07-31,3,9556,7957,2173,6735,1.46,0.10206435243916503,0.10790866054023948,0.15955176093916756,0.07484838812639642,0.16799999999999998,2016
2016-03-31,1,8671,7182,1874,6266,1.25,0.05989487837672656,0.052307692307692305,0.08637681159420289,0.06619023311213204,0.08695652173913052,2016
2016-01-31,1,8181,6825,1725,5877,1.15,-0.05987129395541255,-0.059528730880529145,-0.1140215716486903,-0.09792785878741365,-0.1287878787878789,2016
2015-10-31,4,8702,7257,1947,6515,1.32,0.08220370600671559,0.12424477149496514,-0.022590361445783132,0.22623753058535667,-0.02222222222222224,2015
2015-07-31,3,8041,6455,1992,5313,1.35,-0.05599906081239728,-0.06692685747325816,0.007077856420626896,-0.09427207637231504,0.007462686567164185,2015
2015-04-30,2,8518,6918,1978,5866,1.34,-0.05492067014312659,-0.04328585257917301,0.023809523809523808,-0.16331479104264726,0.022900763358778647,2015
2015-01-31,1,9013,7231,1932,7011,1.31,-0.21680570038234273,-0.26018006957233475,-0.05247670426679745,-0.31666666666666665,-0.050724637681159306,2015
2014-10-31,4,11508,9774,2039,10260,1.38,0.4768993839835729,0.6512924480486568,-0.05074487895716946,1.0236686390532543,-0.04827586206896556,2014
2014-07-31,3,7792,5919,2148,5070,1.45,-0.08048147274014633,-0.1153788671349574,0.07777220270948319,-0.11917998610145934,0.07407407407407397,2014
2014-04-30,2,8474,6691,1993,5756,1.35,-0.1647940074906367,-0.1920057964014008,0.06748794858061061,-0.14548693586698339,0.08000000000000007,2014
2014-01-31,1,10146,8281,1867,6736,1.25,-0.019520680324700425,-0.011813842482100238,-0.049872773536895676,-0.16962524654832348,-0.045801526717557293,2014
2013-10-31,4,10348,8380,1965,8112,1.31,0.21870215522317749,0.2712378640776699,-0.09530386740331492,0.3428240357556696,-0.0902777777777777,2013
2013-07-31,3,8491,6592,2172,6041,1.44,-0.05371670567257328,-0.07089499647639183,0.17596101786681104,-0.0917155314990227,0.17073170731707316,2013
2013-04-30,2,8973,7095,1847,6651,1.23,-0.03774798927613941,-0.03060527394452794,-0.07325639739086803,-0.024637043554773426,-0.06106870229007639,2013
2013-01-31,1,9325,7319,1993,6819,1.31,0.13997555012224938,0.19552433845148645,0.049499736703528176,0.1931758530183727,0.039682539682539715,2013
2012-10-31,4,8180,6122,1899,5715,1.26,-0.050713705465939424,-0.06691053193110806,-0.15071556350626117,-0.004008365284071105,-0.14864864864864863,2012
2012-07-31,3,8617,6561,2236,5738,1.48,0.12156709618638553,0.1711888611210282,0.5159322033898305,-0.016960767517560392,0.5416666666666667,2012
2012-04-30,2,7683,5602,1475,5837,0.96,-0.11424948120820844,-0.14473282442748092,-0.20356371490280778,-0.024239384821130056,-0.21951219512195125,2012
2012-01-31,1,8674,6550,1852,5982,1.23,0.1747020585048754,0.19373063604884272,0.17886696371737745,0.340654415060511,0.17142857142857137,2012
2011-10-31,4,7384,5487,1571,4462,1.05,-0.061037639877924724,-0.041906757464641176,-17.892473118279568,-0.26125827814569536,-10.545454545454547,2011
2011-07-31,3,7864,5727,-93,6040,-0.11,-0.06736242884250475,-0.08103337612323491,-1.0603896103896104,-0.0696241528034504,-1.1067961165048545,2011
2011-04-30,2,8432,6232,1540,6492,1.03,-0.14439370877727042,-0.18546595216311593,-0.18388977212506624,-0.08434414668547249,-0.1889763779527559,2011
2011-01-31,1,9855,7651,1887,7090,1.27,0.26964699819634114,0.32668631870990117,0.7046070460704607,0.15868605981369505,0.7397260273972603,2011
2010-10-31,4,7762,5767,1107,6119,0.73,0.14147058823529413,0.1557114228456914,-0.07903494176372712,0.11823830409356725,-0.08750000000000008,2010
2010-07-31,3,6800,4990,1202,5472,0.8,-0.09333333333333334,-0.12640056022408963,-0.07037896365042537,-0.049174630755864465,-0.06976744186046505,2010
2010-04-30,2,7500,5712,1293,5755,0.86,-0.027237354085603113,-0.029891304347826088,-0.10457063711911357,0.004187750828825685,-0.10416666666666664,2010
2010-01-31,1,7710,5888,1444,5731,0.96,0.1363301400147384,0.1880548829701372,0.2268479184367035,0.10296381832178599,0.23076923076923067,2010
2009-10-31,4,6785,4956,1177,5196,0.78,-0.05395984383714445,-0.0962800875273523,-0.1774982529699511,-0.2336283185840708,-0.2277227722772277,2009
2009-07-31,3,7172,5484,1431,6780,1.01,0.7003319108582267,1.265179677819083,-32.8,0.3033448673587082,-17.833333333333336,2009
2009-04-30,2,4218,2421,-45,5202,-0.06,-0.11867948182198078,0.035057716973065416,-1.0523864959254947,-0.13458659124937614,-1.0999999999999999,2009
2009-01-31,1,4786,2339,859,6011,0.6,0.0,0.0,0.0,0.0,0.0,2009
