Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,101195,27837,10410,83709,2.92,0.02466610638017801,0.2803918862977784,0.5438232240842356,-0.03328290468986384,0.5869565217391304,2022
2022-09-30,3,98759,21741,6743,86591,1.84,-0.04194678074949313,-0.26788119612068967,-0.626219512195122,0.13596232306138245,-0.6166666666666667,2022
2022-06-30,2,103083,29696,18040,76227,4.8,0.2395146938579193,0.40016030930265456,1.53513209668353,0.06346438237674042,1.5806451612903223,2022
2022-03-31,1,83164,21209,7116,71678,1.86,-0.07823947330503309,-0.21000484225425559,-0.37905759162303665,-0.017975065077407863,-0.36734693877551017,2022
2021-12-31,4,90223,26847,11460,72990,2.94,0.46572983510681504,1.345330654319909,-26.63758389261745,0.2266608406298842,-25.5,2021
2021-09-30,3,61555,11447,-447,59503,-0.12,-0.0033838481963603395,-0.3084637225880505,-1.130396732788798,0.04865884177505199,-1.1363636363636365,2021
2021-06-30,2,61764,16553,3428,56742,0.88,0.04481096168485156,-0.06231235484053702,-0.3943462897526502,0.135157844196375,-0.38888888888888884,2021
2021-03-31,1,59115,17653,5660,49986,1.44,0.31284978235764416,0.8965406102277611,-2.410064773293473,0.03610811707155294,-2.411764705882353,2021
2020-12-31,4,45028,9308,-4014,48244,-1.02,0.0069548493861395,-0.20600528874861385,-9.208588957055214,0.11464350076244166,-9.500000000000002,2020
2020-09-30,3,44717,11723,489,43282,0.12,0.3762888184420301,0.49280529733859674,-1.0269703822183,-0.21773391892136132,-1.0257510729613735,2020
2020-06-30,2,32491,7853,-18131,55329,-4.66,-0.4670024114568809,-0.3153443766346992,754.4583333333334,-0.0656725995474349,5.563380281690141,2020
2020-03-31,1,60959,11470,-24,59218,-0.71,-0.28338329512725563,-0.2955843517779279,-1.0248962655601659,-0.270318892010449,-3.9583333333333335,2020
2019-12-31,4,85065,16283,964,81156,0.24,-0.049988273528327805,-0.14277441431955779,-0.8360265351250212,0.014335887212688572,-0.8356164383561644,2019
2019-09-30,3,89541,18995,5879,80009,1.46,-0.02501143317580958,0.1891198197070239,0.9609739826551034,-0.06606823938647585,0.9729729729729729,2019
2019-06-30,2,91838,15974,2998,85669,0.74,0.07209731269407672,-0.16274437863619687,-0.5004165972337944,0.14077792721413637,-0.4931506849315068,2019
2019-03-31,1,85662,19079,6001,75097,1.46,-0.1812551373463575,0.025862996021077535,0.07352415026833631,-0.21568074528971884,0.07352941176470577,2019
2018-12-31,4,104626,18598,5590,95748,1.36,0.03031078898648915,-0.015978835978835978,-0.042644288405548895,0.053310158192339,-0.02857142857142844,2018
2018-09-30,3,101548,18900,5839,90902,1.4,0.022968126687351414,-0.0008458447874814971,-0.030710491367861886,0.024490301930597664,-0.027777777777777804,2018
2018-06-30,2,99268,18916,6024,88729,1.44,0.08949228439098272,0.08506854815579648,0.021190032208848956,0.08456075588857244,0.0285714285714286,2018
2018-03-31,1,91114,17433,5899,81811,1.4,0.03392946302936771,0.053671804170444246,0.5495140530601523,0.015175956718121804,0.5555555555555555,2018
2017-12-31,4,88124,16545,3807,80588,0.9,0.1336755303410392,0.030135109893530913,-0.0685099094690482,0.13408387278356318,-0.08163265306122446,2017
2017-09-30,3,77733,16061,4087,71060,0.98,0.06920029710324338,0.3083251873574454,1.6453074433656958,0.02656708224382774,1.5789473684210527,2017
2017-06-30,2,72702,12276,1545,69221,0.38,-0.008307075336579777,-0.17853319057815845,-0.5633126059920859,0.005695273794476165,-0.5581395348837209,2017
2017-03-31,1,73311,14944,3538,68829,0.86,0.09269361473797175,0.045546771146715175,1.2959117456197276,0.10040128539225247,1.263157894736842,2017
2016-12-31,4,67092,14293,1541,62549,0.38,0.06600146175601386,0.18104445546190712,0.12072727272727272,0.04021220335600605,0.11764705882352934,2016
2016-09-30,3,62938,12102,1375,60131,0.34,0.04425013688175076,0.07116303770578863,0.1702127659574468,0.027177997950119576,0.13333333333333347,2016
2016-06-30,2,60271,11298,1175,58540,0.3,0.21191586905815168,0.2248482220294883,1.427685950413223,0.1707063434925206,1.1428571428571426,2016
2016-03-31,1,49732,9224,484,50004,0.14,-0.17355756447753257,0.031075340934495863,-0.4845580404685836,-0.1651808073725333,-0.5333333333333333,2016
2015-12-31,4,60176,8946,939,59898,0.3,-0.13020351526364476,0.32592263228101376,-1.1266181229773462,-0.22990485986114684,-1.129310344827586,2015
2015-09-30,3,69184,6747,-7416,77780,-2.32,-0.06444895199459094,-0.5194102144027353,-2.860511791269443,0.1453056897161032,-2.8709677419354835,2015
2015-06-30,2,73950,14039,3986,67912,1.24,0.07413647851727043,0.005226979808105399,-0.10022573363431152,0.08431926681675209,-0.10144927536231878,2015
2015-03-31,1,68846,13966,4430,62631,1.38,-0.2688868593759956,0.1898108706764355,6.445378151260504,-0.3133168143145338,5.8999999999999995,2015
2014-12-31,4,94166,11738,595,91208,0.2,-0.1425813794673344,-0.30614175090146006,-0.866681604302039,-0.09953598578339422,-0.8571428571428572,2014
