Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,2389,1640,1235,497,4.47,0.14415708812260536,0.0962566844919786,0.8323442136498517,-0.580590717299578,0.6021505376344085,2022
2021-12-31,4,2088,1496,674,1185,2.79,0.0004791566842357451,-0.031088082901554404,-0.15432873274780426,0.1802788844621514,-0.15454545454545449,2021
2021-09-30,3,2087,1544,797,1004,3.3,-0.009021842355175688,-0.018436109345200253,-0.0012531328320802004,0.0546218487394958,0.0,2021
2021-06-30,2,2106,1573,798,952,3.3,0.044642857142857144,0.056413700470114174,0.05695364238410596,0.01818181818181818,0.0576923076923076,2021
2021-03-31,1,2016,1489,755,935,3.12,0.07980717728976969,0.1445042275172944,0.6666666666666666,-0.22791081750619324,0.6595744680851066,2021
2020-12-31,4,1867,1301,453,1211,1.88,0.011375947995666305,-0.021068472535741158,-0.004395604395604396,0.3425720620842572,0.0,2020
2020-09-30,3,1846,1329,455,902,1.88,-0.049922799794132784,-0.08344827586206896,-0.4255050505050505,0.07637231503579953,-0.4268292682926829,2020
2020-06-30,2,1943,1450,792,838,3.28,0.08790593505039193,0.14353312302839116,0.23943661971830985,-0.041189931350114416,0.25190839694656475,2020
2020-03-31,1,1786,1268,639,874,2.62,0.029394812680115272,0.07185122569737955,0.18114602587800369,-0.04793028322440087,0.1855203619909503,2020
2019-12-31,4,1735,1183,541,918,2.21,0.027235050325636473,-0.021505376344086023,-0.12317666126418152,0.15037593984962405,-0.11600000000000002,2019
2019-09-30,3,1689,1209,617,798,2.5,-0.008802816901408451,-0.019464720194647202,0.11171171171171171,-0.10437710437710437,0.11607142857142846,2019
2019-06-30,2,1704,1233,555,891,2.24,0.08465945257797582,0.12295081967213115,0.35365853658536583,0.028868360277136258,0.35757575757575777,2019
2019-03-31,1,1571,1098,410,866,1.65,0.022786458333333332,0.12155260469867211,-0.19765166340508805,0.03961584633853541,-0.18719211822660095,2019
2018-12-31,4,1536,979,511,833,2.03,-0.00646830530401035,-0.1382042253521127,0.03232323232323232,-0.010688836104513063,0.04102564102564095,2018
2018-09-30,3,1546,1136,495,842,1.95,-0.03915475450590429,-0.0273972602739726,0.0737527114967462,-0.10138740661686232,0.07142857142857137,2018
2018-06-30,2,1609,1168,461,937,1.82,0.026802807913209957,0.027264731750219876,-0.06109979633401222,0.09462616822429906,-0.05699481865284968,2018
2018-03-31,1,1567,1137,491,856,1.93,-0.01322418136020151,-0.01643598615916955,0.8740458015267175,-0.10926118626430802,0.892156862745098,2018
2017-12-31,4,1588,1156,262,961,1.02,0.0495703899537343,0.056672760511883,-0.3671497584541063,0.11226851851851852,-0.36645962732919257,2017
