Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2023-01-31,1,16745,9079,1113,15078,0.61,-0.029219085164357353,-0.23033231603933538,-0.7774890043982408,0.2515979081929111,-0.7789855072463768,2023
2022-10-31,4,17249,11796,5002,12047,2.76,0.5136012636012636,0.389235661288423,1.0292089249492902,0.4073598130841122,1.029411764705882,2022
2022-07-31,3,11396,8491,2465,8560,1.36,0.11747401451264954,-0.04520409310693804,-0.16638484950963814,0.30547506481622694,-0.17073170731707307,2022
2022-04-30,2,10198,8893,2957,6557,1.64,0.03312734272110222,-0.0015717974626698102,0.014756348661633494,0.03602464844367199,0.024999999999999883,2022
2022-01-31,1,9871,8907,2914,6329,1.6,0.023113598673300165,0.02308752584424535,-0.013206908228919742,-0.0700852189244784,-0.012345679012345689,2022
2021-10-31,4,9648,8706,2953,6806,1.62,-0.013396052766131506,-0.0016055045871559634,0.0397887323943662,0.08410321758521823,0.03846153846153849,2021
2021-07-31,3,9779,8720,2840,6278,1.56,0.05936518253710324,0.07309869554516367,-0.015256588072122053,0.10256410256410256,-0.012658227848101276,2021
2021-04-30,2,9231,8126,2884,5694,1.58,-0.041433021806853584,-0.0328493215900976,0.15544871794871795,-0.13108499923699068,0.1449275362318842,2021
2021-01-31,1,9630,8402,2496,6553,1.38,-0.03593953348683552,-0.0609142729406505,-0.3402061855670103,-0.004405955636584625,-0.3397129186602871,2021
2020-10-31,4,9989,8947,3783,6582,2.09,0.11546621998883305,0.14749262536873156,1.3732747804265997,-0.08899653979238754,1.3483146067415728,2020
2020-07-31,3,8955,7797,1594,7225,0.89,-0.08780686564123459,0.017752251664273595,0.5137701804368471,-0.17096959265633965,0.5344827586206898,2020
2020-04-30,2,9817,7661,1053,8715,0.58,-0.1214426346876678,-0.049857373186158994,-0.5258892390814949,0.017988552739165987,-0.5245901639344263,2020
2020-01-31,1,11174,8063,2221,8561,1.22,0.00757439134355275,0.03385049365303244,0.05611031859248693,0.00011682242990654206,0.05172413793103453,2020
2019-10-31,4,11090,7799,2103,8560,1.16,-0.02616789603090973,-0.013783510369246332,-0.12375,0.002694154855335598,-0.11450381679389322,2019
2019-07-31,3,11388,7908,2400,8537,1.31,0.03659202621518296,0.029553443562036194,0.0273972602739726,0.03768080709857785,0.02343750000000002,2019
2019-04-30,2,10986,7681,2336,8227,1.28,-0.003808487486398259,0.02290584631775203,0.3333333333333333,-0.09414225941422594,0.34736842105263166,2019
2019-01-31,1,11028,7509,1752,9082,0.95,0.008781558726673985,-0.02379095163806552,-0.20435967302452315,0.0890994123995683,-0.21487603305785125,2019
2018-10-31,4,10932,7692,2202,8339,1.21,0.026575265283125177,0.004046469129356481,-0.06178099701746911,0.06256371049949032,-0.05468750000000005,2018
2018-07-31,3,10649,7661,2347,7848,1.28,0.07154357013483598,0.03234065489826169,0.05199462124607799,0.09364548494983277,0.05785123966942154,2018
2018-04-30,2,9938,7421,2231,7176,1.21,0.02665289256198347,0.002296056185845489,0.2353266888150609,0.013988978380669776,0.2346938775510204,2018
2018-01-31,1,9680,7404,1806,7077,0.98,0.024989411266412537,-0.0012140833670578712,-0.14,0.03238512035010941,-0.13274336283185834,2018
2017-10-31,4,9444,7413,2100,6855,1.13,0.07014164305949008,0.05313254723682341,0.028907398334149927,0.09732671682407555,0.018018018018017834,2017
2017-07-31,3,8825,7039,2041,6247,1.11,0.1128625472887768,0.10623919534810623,0.11958310477235326,0.05381241565452092,0.13265306122448992,2017
2017-04-30,2,7930,6363,1823,5928,0.98,-0.047790585975024016,-0.06960081883316274,-0.01031487513572204,-0.023393739703459638,-0.01010101010101011,2017
2017-01-31,1,8328,6839,1842,6070,0.99,0.03672351549856841,0.02656859801861303,0.08480565371024736,0.023608768971332208,0.08791208791208786,2017
2016-10-31,4,8033,6662,1698,5930,0.91,0.003247158736105907,-0.00818817924668751,-0.04067796610169491,0.0157588215142172,-0.052083333333333266,2016
2016-07-31,3,8007,6717,1770,5838,0.96,0.07838383838383839,0.07886283327979442,0.18157543391188252,0.03879003558718861,0.18518518518518506,2016
2016-04-30,2,7425,6226,1498,5620,0.81,0.0,-0.00828289264096846,-0.05309734513274336,0.024239110625113906,-0.047058823529411674,2016
2016-01-31,1,7425,6278,1582,5487,0.85,-0.15759019741320626,-0.1876293995859213,0.14970930232558138,-0.27295614151318404,0.1643835616438356,2016
2015-10-31,4,8814,7728,1376,7547,0.73,0.25448334756618274,0.34073560027758504,-0.24395604395604395,0.6013155102906853,-0.24742268041237114,2015
2015-07-31,3,7026,5764,1820,4713,0.97,-0.015414798206278026,-0.030608812647157754,0.21171770972037285,-0.11109015465861939,0.2435897435897435,2015
2015-04-30,2,7136,5946,1502,5302,0.78,0.12484237074401008,0.19879032258064516,-0.08022045315370484,0.11832946635730858,-0.10344827586206894,2015
