Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,69258,13726,5168,62466,3.79,0.04349791324524265,0.33899131792020293,0.65270227054685,0.0023588311750830405,0.6550218340611353,2022
2022-09-30,3,66371,10251,3127,62319,2.29,0.015126487412437674,-0.043035847647498134,-0.44888967218893194,0.022863801989298493,-0.44552058111380144,2022
2022-06-30,2,65382,10712,5674,60926,4.13,-0.06440765279109369,-0.07758546456557307,0.25364560318161733,-0.07724229848847423,0.2553191489361702,2022
2022-03-31,1,69883,11613,4526,66026,3.29,0.019966430708603957,-0.13522972671084965,-0.3503660111956366,0.07164188794390704,-0.3459244532803181,2022
2021-12-31,4,68515,13429,6967,61612,5.03,-0.0021990504762182156,0.02558423705513976,0.22163773452568825,-0.0037030449054834174,0.2268292682926831,2021
2021-09-30,3,68666,13094,5703,61841,4.1,-0.049131747306616444,-0.1277644551025846,-0.3019583843329253,-0.020511277242777497,-0.2979452054794521,2021
2021-06-30,2,72214,15012,8170,63136,5.84,0.015525242581915342,0.10236451755030107,0.14201845121610288,-0.02600968806886551,0.17979797979797973,2021
2021-03-31,1,71110,13618,7154,64822,4.95,-0.09112985685071574,-0.1437374245472837,-0.11141473108930568,-0.05721682471347955,-0.13005272407732868,2021
2020-12-31,4,78240,15904,8051,68756,5.69,0.228643216080402,0.4735476697859724,0.8202577436129324,0.16687880793578058,0.7949526813880128,2020
2020-09-30,3,63680,10793,4423,58923,3.17,0.48830252179400285,1.112133072407045,1.994583615436696,0.38128838670354914,1.990566037735849,2020
2020-06-30,2,42787,5110,1477,42658,1.06,-0.34495322953505103,-0.5452927567182773,1.5033898305084745,-0.30949528958528927,1.7894736842105263,2020
2020-03-31,1,65319,11238,590,61778,0.38,-0.058939634058493014,-0.12490266313658309,-0.9131075110456554,-0.02541450409377021,-0.9206680584551148,2020
2019-12-31,4,69410,12842,6790,63389,4.79,-0.023041085478626825,0.0190445960958578,0.2332001452960407,-0.02308628847072603,0.24093264248704668,2019
2019-09-30,3,71047,12602,5506,64887,3.86,0.02109831989537073,-0.035659626568717476,-0.11407884151246983,0.03277201247851277,-0.1207289293849658,2019
2019-06-30,2,69579,13068,6215,62828,4.39,0.007529793365093616,0.12888735314443678,0.5448670146656723,-0.02383393928094217,0.5622775800711742,2019
2019-03-31,1,69059,11576,4023,64362,2.81,-0.005400812282167238,-0.10506378044066486,1.4987577639751553,0.014917371010470543,1.5315315315315314,2019
2018-12-31,4,69434,12935,1610,63416,1.11,0.055211926870412306,0.0927599898622962,-0.6942650968477022,0.046658634405585174,-0.6916666666666668,2018
2018-09-30,3,65801,11837,5266,60589,3.6,-0.028581129958516024,-0.06397279772260003,-0.12915495286919135,-0.014107654256703983,-0.11980440097799505,2018
2018-06-30,2,67737,12646,6047,61456,4.09,-0.01834702839007,-0.07754030199139252,0.36779009273919927,-0.028655423667198785,0.4054982817869415,2018
2018-03-31,1,69003,13709,4421,63269,2.91,0.019382192610539067,0.09426883780332056,-0.47256024815079933,0.02549598029045643,-0.48128342245989303,2018
2017-12-31,4,67691,12528,8382,61696,5.61,0.05286816400174205,0.08702819956616052,1.0324927255092144,0.035306752584239494,1.0179856115107917,2017
2017-09-30,3,64292,11525,4124,59592,2.78,0.0136217443400391,-0.010814522358595828,-0.2526277636824937,0.02286302780638517,-0.24661246612466128,2017
2017-06-30,2,63428,11651,5518,58260,3.69,-0.048813040805002775,0.03060592658115878,0.5513072814169244,-0.07220435073414658,0.5635593220338984,2017
2017-03-31,1,66683,11305,3557,62794,2.36,0.02313770617568086,0.10056464174454828,-0.20531724754244862,0.027052666012430487,-0.19727891156462588,2017
2016-12-31,4,65175,10272,4476,61140,2.94,0.026087093422336977,-0.10413396127681843,0.16018662519440124,0.03863010906125777,0.16666666666666663,2016
2016-09-30,3,63518,11466,3858,58866,2.52,0.03653780250983208,-0.05877524216056477,-0.2491241728298949,0.06436914620475175,-0.24324324324324326,2016
2016-06-30,2,61279,12182,5138,55306,3.33,0.02116349214284524,0.037825864712898276,0.3774798927613941,0.00143045973889583,0.1602787456445993,2016
2016-03-31,1,60009,11738,3730,55227,2.87,-0.002957449283067772,-0.014772536511666946,-0.2755874927170324,0.01774657231313578,-0.1223241590214067,2016
2015-12-31,4,60187,11914,5149,54264,3.27,0.0332354809359496,-0.06468833411838593,0.026515151515151516,0.054345502943633786,0.16785714285714293,2015
2015-09-30,3,58251,12738,5016,51467,2.8,0.01661460060384998,0.08593350383631713,-0.05358490566037736,0.007181996086105675,-0.169139465875371,2015
2015-06-30,2,57299,11730,5300,51100,3.37,-0.03181710655266804,0.05723298783235692,0.4879281302638967,-0.05340570179500954,0.4911504424778763,2015
2015-03-31,1,59182,11095,3562,53983,2.26,-0.06203245847597312,-0.13184663536776212,-0.3253787878787879,-0.04256602167319937,-0.3233532934131737,2015
2014-12-31,4,63096,12780,5280,56383,3.34,0.0026856516280769783,0.022072936660268713,0.020289855072463767,-0.003816321843142105,0.018292682926829285,2014
2014-09-30,3,62927,12504,5175,56599,3.28,0.0047581791182998295,-0.015122873345935728,-0.1015625,0.01359240687679083,-0.09890109890109898,2014
2014-06-30,2,62629,12696,5760,55840,3.64,-0.028103662321539418,0.045885163522530685,1.0069686411149825,-0.07248687794830909,1.0222222222222221,2014
2014-03-31,1,64440,12139,2870,60204,1.8,-0.0214123006833713,-0.01938767267145973,-0.4538534728829686,0.005998830311638399,-0.4578313253012048,2014
2013-12-31,4,65850,12379,5255,59845,3.32,0.037825059101654845,0.03702772891011142,0.18676603432700994,0.04132590917000174,0.18571428571428572,2013
2013-09-30,3,63450,11937,4428,57470,2.8,0.004289399958847085,-0.041512766982495584,-0.22014793941528707,0.017546344659076826,-0.21787709497206711,2013
2013-06-30,2,63179,12454,5678,56479,3.58,0.8513450155306804,0.7950417987892765,1.7154471544715446,0.8600645501251482,1.712121212121212,2013
2013-03-31,1,34126,6938,2091,30364,1.32,-0.4444914702435213,-0.16650648726573763,0.8119584055459272,-0.4938574119451251,0.8333333333333335,2013
2012-12-31,4,61432,8324,1154,59991,0.72,-0.11830642267671332,-0.22110975952091325,-0.6528279181708785,-0.08110467787887143,-0.6571428571428571,2012
2012-09-30,3,69675,10687,3324,65286,2.1,0.004425671779494868,0.022777299263087376,-0.092051352089593,0.005715165986289764,-0.09482758620689645,2012
2012-06-30,2,69368,10449,3661,64915,2.32,0.13320482242624238,0.26409387853859184,1.7199108469539377,0.11045536966711143,1.6666666666666663,2012
2012-03-31,1,61214,8266,1346,58458,0.87,-0.02187495006631194,0.05245734657499363,0.2929875120076849,-0.03626891753767022,0.3181818181818181,2012
2011-12-31,4,62583,7854,1041,60658,0.66,0.048554913294797684,0.1517817861856577,-0.0076263107721639654,0.033320840857211,0.0,2011
2011-09-30,3,59685,6819,1049,58702,0.66,0.40026745495495497,0.8097133757961783,73.92857142857143,0.33531994267646326,65.0,2011
2011-06-30,2,42624,3768,14,43961,0.01,-0.2735577332765232,-0.42208588957055215,-0.9674418604651163,-0.2418033493730705,-0.9615384615384615,2011
2011-03-31,1,58675,6520,430,57981,0.26,0.02317511247515084,-0.08104298801973221,-0.6257615317667538,0.032977017637626935,-0.6486486486486487,2011
2010-12-31,4,57346,7095,1149,56130,0.74,1.7438311971401167e-05,0.05235835063779294,-0.0237892948173322,0.0020530215120949744,-0.026315789473684233,2010
2010-09-30,3,57345,6742,1177,56015,0.76,0.04148126623199724,-0.18249060264338549,-0.4533209475150952,0.06352883100115818,-0.4492753623188405,2010
2010-06-30,2,55061,8247,2153,52669,1.38,-0.015343622024714319,0.06633048875096974,0.8624567474048442,-0.04236440662557501,0.8648648648648647,2010
2010-03-31,1,55919,7734,1156,54999,0.74,-0.0269710626598688,-0.02692501258178158,-0.30528846153846156,-0.0075249025552187095,-0.30188679245283023,2010
2009-12-31,4,57469,7948,1664,55416,1.06,0.14152629906245034,0.38563458856345884,5.87603305785124,0.11498762600350093,5.625,2009
2009-09-30,3,50344,5736,242,49701,0.16,0.2600175197096734,0.9444067796610169,-1.2983970406905057,0.18377992140050017,-1.3076923076923077,2009
2009-06-30,2,39955,2950,-811,41985,-0.52,-0.0045840703555145865,12.169642857142858,-0.8890864332603938,-0.09483873749568816,-0.888412017167382,2009
2009-03-31,1,40139,224,-7312,46384,-4.66,0.0,0.0,0.0,0.0,0.0,2009
