Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,20273,11602,1477,17526,1.18,0.040868716948195306,0.07595288880645461,1.9074803149606299,-0.036821279402066386,1.9499999999999997,2022
2022-09-30,3,19477,10783,508,18196,0.4,-0.01136998121922745,0.023734928320516473,-5.703703703703703,-0.04191238416175232,-5.444444444444445,2022
2022-06-30,2,19701,10533,-108,18992,-0.09,-0.020825049701789264,0.00823202833349287,-1.1514726507713886,0.0370208583597248,-1.1578947368421053,2022
2022-03-31,1,20120,10447,713,18314,0.57,-0.03199422660572528,0.011032613955288881,0.6895734597156398,-0.0713923537166616,0.6764705882352938,2022
2021-12-31,4,20785,10333,422,19722,0.34,0.059162250305748065,-0.05557078877616305,-0.38929088277858176,0.09323725055432372,-0.38181818181818183,2021
2021-09-30,3,19624,10941,691,18040,0.55,-0.016340852130325816,-0.0059058695257132475,-0.2934560327198364,0.01098408428603452,-0.2948717948717948,2021
2021-06-30,2,19950,11006,978,17844,0.78,0.00966648109722152,-0.020208314786788927,0.04823151125401929,0.012712826333711692,0.054054054054054106,2021
2021-03-31,1,19759,11233,933,17620,0.74,-0.028612162627206134,0.05089344185611376,0.244,-0.05416286435128026,0.608695652173913,2021
2020-12-31,4,20341,10689,750,18629,0.46,0.055469074304690745,-0.07781899749805885,-0.4014365522745411,0.11504159932962231,-0.54,2020
2020-09-30,3,19272,11591,1253,16707,1.0,0.09060041876520854,0.06280946268109297,10.39090909090909,-0.008545486914723162,10.111111111111112,2020
2020-06-30,2,17671,10906,110,16851,0.09,0.5901196796544588,0.5703383729301655,-0.8843322818086226,0.7600793816586588,-0.9181818181818181,2020
2020-03-31,1,11113,6945,951,9574,1.1,-0.0644047819498232,0.041854185418541856,0.2663115845539281,-0.10052611800075159,0.2790697674418606,2020
2019-12-31,4,11878,6666,751,10644,0.86,0.0738631226833017,0.006340579710144928,-0.1367816091954023,0.10990615224191866,-0.14851485148514854,2019
2019-09-30,3,11061,6624,870,9590,1.01,0.007468804080517351,-0.006747638326585695,-0.07348242811501597,0.016105107014197925,-0.0733944954128441,2019
2019-06-30,2,10979,6669,939,9438,1.09,-0.00911552346570397,0.02316661552623504,0.034140969162995596,-0.017284464806330696,0.028301886792452855,2019
2019-03-31,1,11080,6518,908,9604,1.06,-0.031891655744866756,0.03872509960159363,0.41875,-0.0682964687621265,0.45205479452054803,2019
2018-12-31,4,11445,6275,640,10308,0.73,0.05590921671740935,-0.01815052417462056,-0.1949685534591195,0.0967124162144909,-0.21505376344086027,2018
2018-09-30,3,10839,6391,795,9399,0.93,0.025352379150506102,0.01946083904929016,0.016624040920716114,0.030479114132222342,0.010869565217391313,2018
2018-06-30,2,10571,6269,782,9121,0.92,0.011095169775227164,0.041189171234014284,0.16542473919523099,-0.005668810639921509,0.1794871794871795,2018
2018-03-31,1,10455,6021,671,9173,0.78,-0.02825541407193977,0.05262237762237762,-0.7508354994430003,-0.04913444594174355,-0.7483870967741936,2018
2017-12-31,4,10759,5720,2693,9647,3.1,0.07385966663339655,-0.015151515151515152,4.01489757914339,0.109360625574977,3.920634920634921,2017
2017-09-30,3,10019,5808,537,8696,0.63,-0.01899539802212866,-0.007009745255599248,-0.05291005291005291,-0.011481186768216438,-0.05970149253731348,2017
2017-06-30,2,10213,5849,567,8797,0.67,0.062415479038801625,0.059793440840732015,-0.17105263157894737,0.025769589552238806,-0.1625,2017
2017-03-31,1,9613,5519,684,8576,0.8,-0.06068008598788353,0.0030897855325336242,0.8191489361702128,-0.07115780353081338,0.7391304347826088,2017
2016-12-31,4,10234,5502,376,9233,0.46,0.09983879634605052,0.03227016885553471,0.06515580736543909,0.11820273707157564,0.09523809523809533,2016
2016-09-30,3,9305,5330,353,8257,0.42,0.0019381931732529343,0.017369727047146403,0.6729857819905213,-0.023302578660988883,0.6799999999999999,2016
2016-06-30,2,9287,5239,211,8454,0.25,0.0719067405355494,0.07599096323680427,-0.546236559139785,0.12780149413020278,-0.5535714285714286,2016
2016-03-31,1,8664,4869,465,7496,0.56,0.00034638032559750607,-0.07398250285279574,0.6431095406360424,0.011742475367795924,0.6470588235294118,2016
2015-12-31,4,8661,5258,283,7409,0.34,0.10345266912982545,0.17209094962104324,1.264,0.00995092693565976,1.2666666666666668,2015
2015-09-30,3,7849,4486,125,7336,0.15,-0.04034723071280107,0.08857073525843243,-0.6397694524495677,-0.03244526510155632,-0.6428571428571429,2015
2015-06-30,2,8179,4121,347,7582,0.42,0.05155566983800463,0.11258099352051835,-5.5064935064935066,-0.01031196971674716,-5.666666666666667,2015
2015-03-31,1,7778,3704,-77,7661,-0.09,-0.04611233750306598,-0.06441020459712049,-1.7623762376237624,-0.0077710141173423135,-1.6923076923076923,2015
2014-12-31,4,8154,3959,101,7721,0.13,0.10938775510204081,0.11395610579628587,-2.074468085106383,0.05752636625119847,-2.0833333333333335,2014
2014-09-30,3,7350,3554,-94,7301,-0.12,0.022964509394572025,0.010520329826556724,-1.2404092071611252,0.1732283464566929,-1.25,2014
2014-06-30,2,7185,3517,391,6223,0.48,0.04509090909090909,0.12544,-3.589403973509934,-0.09850789511806461,-3.5263157894736836,2014
2014-03-31,1,6875,3125,-151,6903,-0.19,0.007030906694009082,-0.049863180297962904,6.55,0.03214712918660287,1.375,2014
2013-12-31,4,6827,3289,-20,6688,-0.08,0.020783492822966508,0.018581604211830288,-0.4444444444444444,0.04647160068846816,0.6,2013
2013-09-30,3,6688,3229,-36,6391,-0.05,0.07385998715478484,0.08903878583473862,1.25,0.056887712915495284,1.5,2013
2013-06-30,2,6228,2965,-16,6047,-0.02,0.33162283515073765,0.10551826994780016,-1.1495327102803738,0.4069334574220568,-1.0999999999999999,2013
2013-03-31,1,4677,2682,107,4298,0.2,-0.0472601344469342,-0.035945363048166784,-14.375,-0.07807807807807808,-21.0,2013
2012-12-31,4,4909,2782,-8,4662,-0.01,0.0032699775189045576,-0.036036036036036036,-0.9989657401422107,-0.6266218164344065,-0.9993079584775086,2012
2012-09-30,3,4893,2886,-7735,12486,-14.45,0.0020479213598197828,-0.025,-38.367149758454104,1.8178740690589033,-38.05128205128205,2012
2012-06-30,2,4883,2960,207,4431,0.39,2.8238057948316366,5.8997668997669,8.857142857142858,2.761460101867572,2.2500000000000004,2012
2012-03-31,1,1277,429,21,1178,0.12,0.03150242326332795,-0.15717092337917485,-0.7692307692307693,0.15151515151515152,-0.76,2012
2011-12-31,4,1238,509,91,1023,0.5,0.027385892116182572,0.06041666666666667,0.3188405797101449,-0.0058309037900874635,0.3157894736842105,2011
2011-09-30,3,1205,480,69,1029,0.38,-0.0033085194375516956,-0.041916167664670656,-0.17857142857142858,0.03003003003003003,-0.1739130434782609,2011
2011-06-30,2,1209,501,84,999,0.46,0.01256281407035176,0.12837837837837837,0.5,-0.047664442326024785,0.5333333333333334,2011
2011-03-31,1,1194,444,56,1049,0.3,0.1200750469043152,-0.034782608695652174,3.0,0.22261072261072262,2.7499999999999996,2011
2010-12-31,4,1066,460,14,858,0.08,0.04407443682664055,0.019955654101995565,-0.8181818181818182,0.055350553505535055,-0.8181818181818181,2010
2010-09-30,3,1021,451,77,813,0.44,0.007897334649555774,-0.03837953091684435,-0.0375,-0.0012285012285012285,0.0,2010
2010-06-30,2,1013,469,80,814,0.44,0.04325437693099897,0.260752688172043,2.4782608695652173,-0.058959537572254334,2.666666666666667,2010
