Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,21454.0,5382,3292.0,17766,0.95,0.2669186252509744,0.27113840340103923,0.4572819831783975,0.2277816171389081,0.4615384615384614,2022
2022-06-30,2,16934.0,4234,2259.0,14470,0.65,-0.09714224781403284,-0.22454212454212455,-0.3191681735985534,-0.045073582788886686,-0.31578947368421045,2022
2022-03-31,1,18756.0,5460,3318.0,15153,0.95,0.05852474744624415,0.12646998143181348,0.42955622576475655,0.003111346484840461,0.3970588235294116,2022
2021-12-31,4,17719.0,4847,2321.0,15106,0.68,0.28799883695573164,0.32431693989071037,0.43448702101359704,0.285288862418106,0.4166666666666668,2021
2021-09-30,3,13757.0,3660,1618.0,11753,0.48,0.15044321792941964,0.26907073509015256,0.4168126094570928,0.10398271651324441,0.4117647058823528,2021
2021-06-30,2,11958.0,2884,1142.0,10646,0.34,0.15102512272596014,0.30203160270880364,1.6073059360730593,0.08688106176620725,1.6153846153846154,2021
2021-03-31,1,10389.0,2215,438.0,9795,0.13,-0.03304169769173492,0.07212003872216845,0.45514950166112955,-0.03677844429147409,0.625,2021
2020-12-31,4,10744.0,2066,301.0,10169,0.08,0.22494584425949152,0.001454192922927775,0.0033333333333333335,0.27719166038683746,-0.11111111111111106,2020
2020-09-30,3,8771.0,2063,300.0,7962,0.09,0.4531146454605699,0.6282557221783741,1.8846153846153846,0.394640042038886,2.0,2020
2020-06-30,2,6036.0,1267,104.0,5709,0.03,0.008521303258145364,0.02674230145867099,5.5,0.001227639424763241,1.9999999999999996,2020
2020-03-31,1,5985.0,1234,16.0,5702,0.01,-0.18946370530877574,-0.11286843997124371,-0.8584070796460177,-0.1883274021352313,-0.7999999999999999,2020
2019-12-31,4,7384.0,1391,113.0,7025,0.05,0.17150563223861653,0.16792611251049538,-0.2097902097902098,0.16269447202912943,0.0,2019
2019-09-30,3,6303.0,1191,143.0,6042,0.05,-0.007401574803149606,0.2931596091205212,-1.3504901960784315,-0.0728862973760933,-1.3333333333333335,2019
2019-06-30,2,6350.0,921,-408.0,6517,-0.15,0.39837040299493504,0.627208480565371,-0.4253521126760563,0.2871815129369939,-0.4444444444444445,2019
2019-03-31,1,4541.0,566,-710.0,5063,-0.27,-0.37157486853030725,-0.6077616077616078,-6.071428571428571,-0.2567527891955373,-5.500000000000001,2019
2018-12-31,4,7226.0,1443,140.0,6812,0.06,0.058909730363423216,-0.0531496062992126,-0.5498392282958199,0.06304619225967541,-0.5,2018
2018-09-30,3,6824.0,1524,311.0,6408,0.12,0.7051474262868566,1.4620355411954766,-1.4331476323119776,0.38581314878892736,-1.4285714285714286,2018
2018-06-30,2,4002.0,619,-718.0,4624,-0.28,0.17395130536814316,0.3544857768052516,0.011267605633802818,0.15426859710434349,-0.0,2018
2018-03-31,1,3409.0,457,-710.0,4006,-0.28,0.03680048661800486,0.04100227790432802,0.05029585798816568,0.030614870079753023,0.03703703703703707,2018
2017-12-31,4,3288.0,439,-676.0,3887,-0.27,0.10150753768844221,-0.022271714922048998,0.09208400646203554,0.10426136363636364,0.08000000000000007,2017
2017-09-30,3,2985.0,449,-619.0,3520,-0.25,0.06989247311827956,-0.3268365817091454,0.8422619047619048,0.1617161716171617,0.7857142857142856,2017
2017-06-30,2,2790.0,667,-336.0,3030,-0.14,0.034866468842729974,-0.0014970059880239522,0.01818181818181818,0.025727826675693975,-0.0,2017
2017-03-31,1,2696.0,668,-330.0,2954,-0.14,0.1798687089715536,0.535632183908046,1.7272727272727273,0.15797726381811056,2.5,2017
2016-12-31,4,2285.0,435,-121.0,2551,-0.04,-0.005657093124456049,-0.31711145996860285,-6.5,0.1527338454586534,-5.0,2016
2016-09-30,3,2298.0,637,22.0,2213,0.01,0.8094488188976378,1.3163636363636364,-1.075085324232082,0.46750663129973474,-1.0714285714285714,2016
2016-06-30,2,1270.0,275,-293.0,1508,-0.14,0.10723626852659111,0.09126984126984126,0.03900709219858156,0.08100358422939068,-0.0,2016
2016-03-31,1,1147.0,252,-282.0,1395,-0.14,-0.05518945634266886,0.1506849315068493,-0.11875,-0.05423728813559322,-0.1764705882352941,2016
2015-12-31,4,1214.0,219,-320.0,1475,-0.17,0.29562433297758806,-0.05194805194805195,0.391304347826087,0.3169642857142857,0.4166666666666668,2015
2015-09-30,3,937.0,231,-230.0,1120,-0.12,-0.018848167539267015,0.08450704225352113,0.25,-0.0044444444444444444,0.1999999999999999,2015
2015-06-30,2,955.0,213,-184.0,1125,-0.1,0.015957446808510637,-0.18076923076923077,0.19480519480519481,0.07965451055662189,0.25000000000000006,2015
2015-03-31,1,940.0,260,-154.0,1042,-0.08,-0.017763845350052248,-0.007633587786259542,0.42592592592592593,0.009689922480620155,0.3333333333333334,2015
2014-12-31,4,957.0,262,-108.0,1032,-0.06,0.12323943661971831,0.03968253968253968,0.44,0.15824915824915825,0.4999999999999999,2014
2014-09-30,3,852.0,252,-75.0,891,-0.04,0.10793237971391417,0.18309859154929578,0.20967741935483872,0.11654135338345864,0.3333333333333334,2014
2014-06-30,2,769.0,213,-62.0,798,-0.03,0.23832528180354268,0.3741935483870968,0.24,0.2,-0.0,2014
2014-03-31,1,621.0,155,-50.0,665,-0.03,0.00975609756097561,-0.012738853503184714,2.125,0.057233704292527825,0.1999999999999999,2014
2013-12-31,4,615.0,157,-16.0,629,-0.025,0.42691415313225056,0.5242718446601942,-0.5789473684210527,0.36147186147186144,0.25000000000000006,2013
2013-09-30,3,431.0,103,-38.0,462,-0.02,0.06419753086419754,0.03,0.22580645161290322,0.1079136690647482,-0.0,2013
2013-06-30,2,405.0,100,-31.0,417,-0.02,-0.2793594306049822,0.041666666666666664,-3.8181818181818183,-0.26455026455026454,-0.5,2013
2013-03-31,1,562.0,96,11.0,567,-0.04,0.8366013071895425,3.0,-1.1222222222222222,0.4282115869017632,-0.20000000000000004,2013
2012-12-31,4,306.0,24,-90.0,397,-0.05,5.12,-3.6666666666666665,-0.1891891891891892,1.4968553459119496,-0.28571428571428575,2012
2012-09-30,3,50.0,-9,-111.0,159,-0.07,0.8518518518518519,-2.8,0.04716981132075472,0.19548872180451127,-0.0,2012
2012-06-30,2,27.0,5,-106.0,133,-0.07,-0.1,-0.5,0.17777777777777778,0.11764705882352941,0.16666666666666682,2012
2012-03-31,1,30.0,10,-90.0,119,-0.06,-0.23076923076923078,0.25,0.1111111111111111,-0.008333333333333333,0.1999999999999999,2012
2011-12-31,4,39.0,8,-81.0,120,-0.05,-0.3275862068965517,-0.5294117647058824,0.24615384615384617,-0.01639344262295082,0.25000000000000006,2011
2011-09-30,3,58.0,17,-65.0,122,-0.04,0.0,-0.10526315789473684,0.1016949152542373,0.042735042735042736,-0.0,2011
2011-06-30,2,58.0,19,-59.0,117,-0.04,0.1836734693877551,0.05555555555555555,0.20408163265306123,0.21875,0.3333333333333334,2011
2011-03-31,1,49.0,18,-49.0,96,-0.03,0.3611111111111111,0.6363636363636364,-0.0392156862745098,0.09090909090909091,-1.069767441860465,2011
2010-12-31,4,36.0,11,-51.0,88,0.43,0.16129032258064516,0.2222222222222222,0.45714285714285713,0.2753623188405797,-15.333333333333332,2010
2010-09-30,3,31.0,9,-35.0,69,-0.03,0.10714285714285714,0.5,-0.10256410256410256,0.15,-0.911764705882353,2010
2010-06-30,2,28.0,6,-39.0,60,-0.34,0.3333333333333333,0.5,0.3,0.2765957446808511,0.25925925925925924,2010
2010-03-31,1,21.0,4,-30.0,47,-0.27,-0.3114754098360656,-0.2,0.4117647058823529,-0.020833333333333332,0.4399999999999999,2010
2009-12-31,4,30.5,5,-21.25,48,-0.18750000000000003,-0.33695652173913043,-0.375,3.25,-0.04,3.6875000000000004,2009
2009-09-30,3,46.0,8,-5.0,50,-0.04,0.7037037037037037,3.0,-0.5454545454545454,0.42857142857142855,-0.6,2009
2009-06-30,2,27.0,2,-11.0,35,-0.1,0.0,0.0,0.0,0.0,0.0,2009
