Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,5241,3617,2284,2563,2.47,0.005564082885648503,-0.002206896551724138,0.00131521262604121,0.029730815588589796,0.008163265306122455,2022
2022-06-30,2,5212,3625,2281,2489,2.45,0.06258919469928645,0.05316676350958745,0.0406021897810219,0.0627668659265585,0.042553191489361736,2022
2022-03-31,1,4905,3442,2192,2342,2.35,0.015107615894039736,0.02746268656716418,0.02959135744480977,0.0055817947617003,0.03524229074889871,2022
2021-12-31,4,4832,3350,2129,2329,2.27,0.04070643980185225,0.06281725888324872,0.09855521155830753,-0.003849443969204448,0.0966183574879228,2021
2021-09-30,3,4643,3152,1938,2338,2.07,0.013755458515283843,0.024374390640233994,0.007276507276507277,-0.0122517955217575,0.009756097560975618,2021
2021-06-30,2,4580,3077,1924,2367,2.05,0.06784798321287014,0.10010725777618877,0.10257879656160458,0.00723404255319149,0.09625668449197845,2021
2021-03-31,1,4289,2797,1745,2350,1.87,0.05225711481844946,0.057067271352985637,0.046163069544364506,0.03844454264250994,0.038888888888888924,2021
2020-12-31,4,4076,2646,1668,2263,1.8,0.06785433586586324,0.07867916836526702,0.2328159645232816,0.024909420289855072,0.24137931034482765,2020
2020-09-30,3,3817,2453,1353,2208,1.45,0.17845013893176906,0.1781940441882805,-0.014566642388929352,0.09796121332670313,-0.02027027027027029,2020
2020-06-30,2,3239,2082,1373,2011,1.48,-0.027035145689396214,-0.0028735632183908046,0.1695059625212947,-0.035491606714628296,0.1935483870967742,2020
2020-03-31,1,3329,2088,1174,2085,1.24,-0.00626865671641791,-0.004291845493562232,0.12237093690248566,-0.007615421227986673,0.09734513274336293,2020
2019-12-31,4,3350,2097,1046,2101,1.13,-0.11164147440997083,-0.142681929681112,-0.26596491228070174,-0.03712190650779102,-0.24161073825503362,2019
2019-09-30,3,3771,2446,1425,2182,1.49,0.02808069792802617,0.036440677966101696,0.09195402298850575,0.009250693802035153,0.09558823529411756,2019
2019-06-30,2,3668,2360,1305,2162,1.36,0.020589872008903727,0.0437859354268023,0.0794044665012407,-0.023927765237020317,0.07936507936507943,2019
2019-03-31,1,3594,2261,1209,2215,1.26,-0.033091202582728005,-0.060656418778562524,0.010869565217391304,0.006360745115856429,0.0,2019
2018-12-31,4,3717,2407,1196,2201,1.26,-0.1276695611358836,-0.14158345221112695,-0.23821656050955414,-0.052925989672977625,-0.20253164556962028,2018
2018-09-30,3,4261,2804,1570,2324,1.58,0.06074184714961414,0.07063764795723558,0.11743772241992882,0.00824295010845987,0.1285714285714287,2018
2018-06-30,2,4017,2619,1405,2305,1.4,0.060174188440221696,0.07029015120555783,0.02855051244509517,0.0285586791610888,0.0370370370370369,2018
2018-03-31,1,3789,2447,1366,2241,1.35,0.0104,0.0028688524590163933,3.4064516129032256,0.024691358024691357,2.857142857142857,2018
2017-12-31,4,3750,2440,310,2187,0.35,-0.08892128279883382,-0.08132530120481928,-0.7587548638132295,-0.06056701030927835,-0.7222222222222222,2017
2017-09-30,3,4116,2656,1285,2328,1.26,0.11454102355808286,0.11878685762426285,0.2168560606060606,0.051965657478535925,0.2233009708737864,2017
2017-06-30,2,3693,2374,1056,2213,1.03,0.0855379188712522,0.10727611940298508,0.05917753259779338,0.02930232558139535,0.06185567010309284,2017
