Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,0.0,0,0,0.0,0.0,,,,,,2022
2022-06-30,2,0.0,0,0,0.0,0.0,,,,,,2022
2021-12-31,4,0.0,0,0,0.0,0.0,,,,,,2021
2021-06-30,2,0.0,0,0,0.0,0.0,,,,,,2021
2020-12-31,4,0.0,0,0,0.0,0.0,,,,,,2020
2020-06-30,2,0.0,0,0,0.0,0.0,,,,,,2020
2019-12-31,4,0.0,0,0,0.0,0.0,,,,,,2019
2019-06-30,2,0.0,0,0,0.0,0.0,,,,,,2019
2018-12-31,4,0.0,0,0,0.0,0.0,,,,,,2018
2018-06-30,2,0.0,0,0,0.0,0.0,,,,,,2018
2017-12-31,4,0.0,0,0,0.0,0.0,,,,,,2017
2017-06-30,2,0.0,0,0,0.0,0.0,,,,,,2017
2016-12-31,4,0.0,0,0,0.0,0.0,,,,,,2016
2016-06-30,2,0.0,0,0,0.0,0.0,,,,,,2016
2015-12-31,4,0.0,0,0,0.0,0.0,,,,,,2015
2015-06-30,2,0.0,0,0,0.0,0.0,,,,,,2015
2014-12-31,4,0.0,0,0,0.0,0.0,,,,,,2014
2014-06-30,2,0.0,0,0,0.0,0.0,,,,,,2014
2013-12-31,4,0.0,0,0,0.0,0.0,,,,,,2013
2013-06-30,2,0.0,0,0,0.0,0.0,,,,,,2013
2012-12-31,4,0.0,0,0,0.0,0.0,,,,,,2012
2012-06-30,2,0.0,0,0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2012
2011-12-31,4,3738.0,418,330,3320.0,0.1175,-0.554854267766233,-0.638095238095238,-0.6103896103896104,-0.5415789292001795,-0.5904139433551199,2011
2011-06-30,2,8397.25,1155,847,7242.25,0.286875,-0.43838616907437133,-0.3092105263157895,-0.35833333333333334,-0.45464984939759034,-0.38962765957446804,2011
2010-12-31,4,14952.0,1672,1320,13280.0,0.47,0.0035572857238740855,-0.3391304347826087,-0.24050632911392406,0.07365187161452016,-0.16071428571428584,2010
2010-09-30,3,14899.0,2530,1738,12369.0,0.56,-0.006534640261385611,0.15,0.17990495587236932,-0.03344533875126983,0.21739130434782614,2010
2010-06-30,2,14997.0,2200,1473,12797.0,0.46,0.12101958439228584,0.5006821282401092,0.1480904130943102,0.07429482874412358,0.02222222222222224,2010
2010-03-31,1,13378.0,1466,1283,11912.0,0.45,-0.062245899341090705,1.290625,-0.04110612855007474,-0.12578893292235432,0.046511627906976785,2010
2009-12-31,4,14266.0,640,1338,13626.0,0.43,-0.05303684035844673,-0.7820905686074225,-0.1890909090909091,0.12351583113456464,-0.24561403508771926,2009
2009-09-30,3,15065.0,2937,1650,12128.0,0.57,6.638343069569835e-05,0.014858327574291638,0.375,-0.003451109285127362,0.46153846153846134,2009
2009-06-30,2,15064.0,2894,1200,12170.0,0.39,0.19120670567768464,0.42281219272369713,0.12359550561797752,0.1468149264983038,0.1142857142857144,2009
2009-03-31,1,12646.0,2034,1068,10612.0,0.35,0.0,0.0,0.0,0.0,0.0,2009
