Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2023-03-31,1,91931,91931,5611,83845,5.95,0.11045212412576853,3.4024039842926923,0.17853392144507457,0.10473542742700538,0.18525896414342644,2023
2022-12-31,4,82787,20882,4761,75896,5.02,0.02340099389324301,0.04655941462436726,-0.0952109464082098,0.03355485346987689,-0.09549549549549555,2022
2022-09-30,3,80894,19953,5262,73432,5.55,0.0069959667380371455,0.015781703405793414,0.0378698224852071,0.003169398907103825,0.039325842696629205,2022
2022-06-30,2,80332,19643,5070,73200,5.34,0.0022832474516213553,0.026333664245780868,0.008553809429082952,1.3661388816787115e-05,0.013282732447817892,2022
2022-03-31,1,80149,19139,5027,73199,5.27,0.08686926216725656,0.0884326660600546,0.23483173667403587,0.07326764611008475,0.23708920187793422,2022
2021-12-31,4,73743,17584,4071,68202,4.26,0.019436802742718112,0.020367898798816224,-0.003671071953010279,0.023669793621013135,-0.00467289719626179,2021
2021-09-30,3,72337,17233,4086,66625,4.28,0.014245453653201722,0.006894536955886649,-0.04219409282700422,0.019619546087568676,-0.04035874439461877,2021
2021-06-30,2,71321,17115,4266,65343,4.46,0.016026554219613652,-0.03414221218961625,-0.12258329905388729,0.029720913374411018,-0.12204724409448821,2021
2021-03-31,1,70196,17720,4862,63457,5.08,0.0722348664212504,0.12415149400494829,1.198010849909584,0.024326069410815172,1.2086956521739132,2021
2020-12-31,4,65467,15763,2212,61950,2.3,0.005405820471473546,0.014089037570766856,-0.3026481715006305,0.02457660756813972,-0.30303030303030304,2020
2020-09-30,3,65115,15544,3172,60464,3.3,0.047909491776368725,-0.22120346710757052,-0.522073225855055,0.14305159082745714,-0.5224312590448625,2020
2020-06-30,2,62138,19959,6637,52897,6.91,-0.03543875444342683,0.2685267573407906,0.962448255470136,-0.10985275557425327,0.9630681818181819,2020
2020-03-31,1,64421,15734,3382,59425,3.52,0.057798722516871646,0.04102156940584888,-0.044902569895509746,0.06484965774289503,-0.04347826086956525,2020
2019-12-31,4,60901,15114,3541,55806,3.68,0.009113353548408478,0.02935367431723762,0.0008479366873940079,0.008475341995409943,0.0027247956403270383,2019
2019-09-30,3,60351,14683,3538,55337,3.67,-0.004026734879115439,0.06298414537030333,0.07440024293956879,-0.009203058136828347,0.07309941520467836,2019
2019-06-30,2,60595,13813,3293,55851,3.42,0.004758904291304636,-0.012510723477266228,-0.05018748197288722,0.006759679861561756,-0.03932584269662925,2019
2019-03-31,1,60308,13988,3467,55476,3.56,0.032370714004485,0.0109127701091277,0.14046052631578948,0.028857566765578636,0.14838709677419354,2019
2018-12-31,4,58417,13837,3040,53920,3.1,0.03290543885706203,0.011476608187134503,-0.04642409033877039,0.03760150867875149,-0.04320987654320991,2018
