Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-12-31,4,6180,3520,1638,3768,2.66,-0.05878769418215047,-0.05630026809651475,-0.13562005277044856,-0.041952707856598014,-0.1278688524590163,2022
2022-09-30,3,6566,3730,1895,3933,3.05,0.04737597702982932,0.0318118948824343,0.0326975476839237,0.04213036565977742,0.04095563139931729,2022
2022-06-30,2,6269,3615,1835,3774,2.93,0.06979522184300341,0.037600459242250285,0.12576687116564417,0.08354866494401378,0.1400778210116733,2022
2022-03-31,1,5860,3484,1630,3483,2.57,0.022152450723879294,-0.012471655328798186,-0.04734073641145529,0.057698147585788034,-0.03383458646616552,2022
2021-12-31,4,5733,3528,1711,3293,2.66,0.030003593244699964,0.016129032258064516,0.022713687985654513,0.05073388640714742,0.035019455252918406,2021
2021-09-30,3,5566,3472,1673,3134,2.57,0.01126453488372093,-0.00998003992015968,-0.06952169076751946,0.03398218409765754,-0.055147058823529535,2021
2021-06-30,2,5504,3507,1798,3031,2.72,0.10057988402319536,0.14085881587508134,0.3407904548844146,0.007646276595744681,0.3600000000000001,2021
2021-03-31,1,5001,3074,1341,3008,2.0,-0.027232056020229527,-0.06735436893203883,-0.02826086956521739,-0.0405103668261563,-0.02439024390243894,2021
2020-12-31,4,5141,3296,1380,3135,2.05,0.045131124212238256,0.06254029658284978,0.012472487160674981,0.08552631578947369,0.01990049751243783,2020
2020-09-30,3,4919,3102,1363,2888,2.01,0.15904806786050896,0.17012448132780084,0.2040636042402827,0.11505791505791506,0.2035928143712574,2020
2020-06-30,2,4244,2651,1132,2590,1.67,-0.18837253777012813,-0.17542768273716952,-0.23202170963364993,-0.1607258587167855,-0.22325581395348837,2020
2020-03-31,1,5229,3215,1474,3086,2.15,0.003261703760552571,0.030448717948717948,0.05060584461867427,-0.008354755784061696,0.06965174129353241,2020
2019-12-31,4,5212,3120,1403,3112,2.01,-0.05511240029006526,-0.05569007263922518,-0.0977491961414791,-0.0517976843388178,-0.09459459459459477,2019
2019-09-30,3,5516,3304,1555,3282,2.22,-0.014295925661186561,-0.004219409282700422,-0.009554140127388535,-0.01618705035971223,0.0,2019
2019-06-30,2,5596,3318,1570,3336,2.22,0.03937592867756315,0.080078125,0.1286843997124371,-0.02570093457943925,0.1502590673575131,2019
2019-03-31,1,5384,3072,1391,3424,1.93,-0.06479068959527531,-0.05622119815668203,-0.1048906048906049,-0.03467719199323372,-0.08095238095238103,2019
2018-12-31,4,5757,3255,1554,3547,2.1,-0.028846153846153848,-0.035555555555555556,-0.02448210922787194,-0.030609456135556164,-0.023255813953488292,2018
2018-09-30,3,5928,3375,1593,3659,2.15,0.045133991537376586,0.06871437618746042,0.055666003976143144,0.02406940945983767,0.08585858585858583,2018
2018-06-30,2,5672,3158,1509,3573,1.98,0.035981735159817355,0.047777040477770406,0.15190839694656488,0.010463800904977375,0.1785714285714286,2018
2018-03-31,1,5475,3014,1310,3536,1.68,0.0045871559633027525,-0.022063595068137574,-0.8200054960153889,0.1039650327817671,-0.8151815181518152,2018
2017-12-31,4,5450,3082,7278,3203,9.09,0.007766272189349112,-0.0077269800386349004,5.0954773869346734,-0.039580209895052475,5.06,2017
2017-09-30,3,5408,3106,1194,3335,1.5,0.030095238095238095,0.030182421227197345,0.02226027397260274,0.025522755227552277,0.03448275862068969,2017
2017-06-30,2,5250,3015,1168,3252,1.45,0.02299298519095869,0.060126582278481014,0.08955223880597014,-0.02751196172248804,0.0984848484848484,2017
2017-03-31,1,5132,2844,1072,3344,1.32,-0.00696594427244582,-0.04210171775008421,-0.06293706293706294,0.034653465346534656,-0.0434782608695651,2017
2016-12-31,4,5168,2969,1144,3232,1.38,-0.0011596443757247777,-0.018512396694214877,0.011494252873563218,0.005600497822028625,0.014705882352941025,2016
2016-09-30,3,5174,3025,1131,3214,1.36,0.08469601677148847,0.1228656273199703,0.15526046986721145,0.033440514469453377,0.16239316239316254,2016
2016-06-30,2,4770,2694,979,3110,1.17,-0.012217850486643197,-0.0121012101210121,0.0,-0.010184595798854232,0.008620689655172422,2016
2016-03-31,1,4829,2727,979,3142,1.16,-0.0727726574500768,-0.08336134453781513,-0.12354521038495972,-0.044984802431610946,-0.11450381679389322,2016
