Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,24161,17819,2584,21048,2.96,-0.02442865218444642,-0.012305304584003104,-0.09301509301509302,-0.008619471527483397,-0.08923076923076924,2022
2022-06-30,2,24766,18041,2849,21231,3.25,0.0159159898268931,0.006078518848985055,0.07024793388429752,0.004922610877076726,0.07260726072607268,2022
2022-03-31,1,24378,17932,2662,21127,3.03,-0.12217781138597818,-0.11486253023347648,-0.13934691238279986,-0.11528475711892797,-0.13675213675213677,2022
2021-12-31,4,27771,20259,3093,23880,3.51,0.19785196687370601,0.19332037462449195,0.32803778445684845,0.17705047318611988,0.32452830188679244,2021
2021-09-30,3,23184,16977,2329,20288,2.65,-0.010245901639344262,-0.02788593678424187,-0.1296711509715994,0.006049786769810573,-0.13114754098360654,2021
2021-06-30,2,23424,17464,2676,20166,3.05,0.022524882137244632,0.0130518011485585,-0.44156928213689484,0.0011418358735044432,-0.4424131627056673,2021
2021-03-31,1,22908,17239,4792,20143,5.47,-0.0798521850899743,-0.06680019487901262,-2.431729907379743,-0.11881534625311693,-2.4244791666666665,2021
2020-12-31,4,24896,18473,-3347,22859,-3.84,0.17223844053112347,0.14689265536723164,-2.7102708226877876,0.2110728476821192,-2.714285714285714,2020
2020-09-30,3,21238,16107,1957,18875,2.24,0.03807615230460922,0.026577437858508603,0.10690045248868778,0.0344166164300981,0.10344827586206917,2020
2020-06-30,2,20459,15690,1768,18247,2.03,0.13440532298308844,0.1386066763425254,0.8321243523316062,0.07569415787301774,0.8288288288288285,2020
2020-03-31,1,18035,13780,965,16963,1.11,-0.12315246985608713,-0.11915111224750703,-10.10377358490566,-0.07984811499864389,-10.25,2020
2019-12-31,4,20568,15644,-106,18435,-0.12,0.12283000327546675,0.11543672014260249,-1.0605714285714285,0.13866584311303273,-1.0597014925373134,2019
2019-09-30,3,18318,14025,1750,16190,2.01,0.014960106382978724,0.022379355591194052,0.03857566765578635,0.017918893429739076,0.036082474226804044,2019
2019-06-30,2,18048,13718,1685,15905,1.94,0.05174825174825175,0.05604311008468053,0.5166516651665166,0.008816440441456299,0.5156249999999999,2019
2019-03-31,1,17160,12990,1111,15766,1.28,-0.1354292623941959,-0.11106548963251898,1.4525386313465785,-0.11645370993050885,1.4615384615384615,2019
2018-12-31,4,19848,14613,453,17844,0.52,0.13781242834212337,0.13068709377901577,-0.6996021220159151,0.13533117007062417,-0.6994219653179191,2018
2018-09-30,3,17444,12924,1508,15717,1.73,-0.000687442713107241,-0.0037002775208140612,0.015488215488215488,0.00216795256009692,0.01169590643274855,2018
2018-06-30,2,17456,12972,1485,15683,1.71,0.020043241979781454,0.014705882352941176,0.10408921933085502,0.005771820688770603,0.10322580645161285,2018
2018-03-31,1,17113,12784,1345,15593,1.55,-0.09812911725955205,-0.0890044894178009,0.2271897810218978,-0.07799195837275308,0.23015873015873017,2018
2017-12-31,4,18975,14033,1096,16912,1.26,0.1732517158226674,0.1403380464813912,-0.12946783161239078,0.17763386950769444,-0.12499999999999996,2017
2017-09-30,3,16173,12306,1259,14361,1.44,0.01544546995667734,8.126777732629012e-05,-0.09031791907514451,0.03390928725701944,-0.08860759493670893,2017
2017-06-30,2,15927,12305,1384,13890,1.58,0.026885880077369438,0.029362556466454744,0.18696397941680962,-0.00021593608291945585,0.18796992481203006,2017
2017-03-31,1,15510,11954,1166,13893,1.33,-0.12049900765523107,-0.08489627191303682,-5.701612903225806,-0.12302739553086732,-5.75,2017
2016-12-31,4,17635,13063,-248,15842,-0.28,0.18133708467309753,0.10806684197132921,-1.1952755905511812,0.2286334729331472,-1.1944444444444444,2016
2016-09-30,3,14928,11789,1270,12894,1.44,0.020438854330439536,0.010110530374432354,0.0007880220646178094,0.024064808196330712,0.006993006993007,2016
2016-06-30,2,14629,11671,1269,12591,1.43,0.014634484671937856,0.007945418429916227,0.1220159151193634,-0.00031758634378721714,0.12598425196850388,2016
2016-03-31,1,14418,11579,1131,12595,1.27,-0.10190606702379469,-0.08502568154879495,-0.15026296018031554,-0.10054988216810684,-0.14765100671140938,2016
2015-12-31,4,16054,12655,1331,14003,1.49,0.12762520193861066,0.11674902929756442,0.0588703261734288,0.14282216600016323,0.07194244604316553,2015
2015-09-30,3,14237,11332,1257,12253,1.39,0.010074494501596311,0.0008832361773538244,0.02195121951219512,0.009723939019365472,0.02962962962962949,2015
2015-06-30,2,14095,11322,1230,12135,1.35,0.008442441153323316,0.01734207925240363,0.19883040935672514,-0.013735370611183354,0.20535714285714282,2015
2015-03-31,1,13977,11129,1026,12304,1.12,-0.12066687637621894,-0.07773265931880335,1.2649006622516556,-0.187372036193118,1.285714285714286,2015
2014-12-31,4,15895,12067,453,15141,0.49,0.11231630510846746,0.10483427943600074,-0.6268533772652389,0.22738326848249027,-0.6287878787878788,2014
2014-09-30,3,14290,10922,1214,12336,1.32,0.0015419119708438463,-0.003376220458070992,1.6740088105726871,-0.08764144663856224,1.6938775510204083,2014
2014-06-30,2,14268,10959,454,13521,0.49,0.035488787284998914,0.036802270577105015,-0.5016465422612514,0.10231534322517528,-0.5,2014
2014-03-31,1,13779,10570,911,12266,0.98,-0.07992788461538461,-0.0736196319018405,-0.21936589545844046,-0.06137128864401592,-0.20967741935483872,2014
2013-12-31,4,14976,11410,1167,13068,1.24,0.10761038384734857,0.09071790459803078,0.06381039197812215,0.1153025518477426,0.06896551724137938,2013
